step,veh_id,ttime
55,8,40
57,7,45
57,13,34
70,16,42
71,18,39
75,20,40
86,19,52
88,0,88
92,4,85
92,31,37
94,14,69
98,15,70
102,23,61
102,35,40
105,24,61
115,41,42
119,44,41
128,47,44
141,56,41
142,57,39
151,62,41
159,67,40
163,69,40
174,74,42
179,2,175
180,12,158
180,28,130
181,3,174
182,1,181
185,39,116
186,25,142
187,29,134
187,65,69
188,5,178
189,11,170
189,64,74
190,71,62
191,32,134
192,49,105
193,40,121
193,54,97
195,60,88
195,66,74
197,63,85
197,70,72
198,86,45
200,89,41
201,77,64
210,96,39
217,97,43
219,99,42
242,111,44
258,122,40
258,125,34
263,123,42
267,129,37
278,132,42
285,141,33
298,6,288
299,21,262
300,30,247
302,9,286
302,36,238
303,42,228
303,59,197
304,10,285
305,17,275
305,45,225
305,61,196
307,22,267
307,88,150
309,33,250
309,55,211
309,102,127
310,107,119
311,58,208
313,76,177
313,110,117
314,48,229
314,135,73
316,137,71
317,85,165
318,50,229
319,80,176
321,82,175
321,104,135
322,159,38
323,83,174
323,115,118
324,117,115
325,87,170
331,37,265
332,27,283
332,34,272
332,38,263
333,26,287
334,46,252
335,43,259
335,51,244
335,84,185
338,68,217
339,52,245
340,92,176
341,53,244
341,75,207
341,134,102
342,100,163
343,98,168
344,72,216
344,139,96
346,73,215
346,165,51
347,103,163
347,170,40
348,90,187
349,109,154
351,95,181
351,114,147
351,168,47
352,121,136
352,145,93
355,124,134
355,166,57
359,174,48
359,177,41
362,127,135
362,182,37
364,142,110
365,147,102
367,162,78
369,167,68
371,176,56
375,184,46
378,185,46
379,192,36
384,191,43
385,194,38
398,200,39
400,199,44
403,204,35
408,201,46
409,202,44
416,212,37
430,214,47
432,79,290
432,81,287
433,78,294
435,93,269
435,101,255
436,91,274
436,136,193
437,106,247
438,94,269
438,108,245
439,105,252
440,112,240
440,148,176
441,138,194
442,116,235
442,154,167
443,144,186
443,155,165
444,163,153
445,119,232
446,161,158
446,175,133
449,126,224
449,195,100
450,156,169
450,171,144
450,207,79
451,181,128
453,164,159
453,183,126
455,179,135
456,220,63
459,206,91
460,210,85
465,239,38
469,240,39
473,244,37
480,249,35
507,261,40
509,255,53
515,152,243
517,146,256
517,158,233
518,157,237
519,173,210
520,153,245
520,198,166
521,196,171
522,160,235
522,229,111
524,211,147
524,237,100
525,208,153
525,213,144
526,243,92
527,219,135
527,248,82
528,225,126
529,226,124
529,247,87
529,272,43
530,228,122
535,251,86
536,256,78
537,262,69
538,257,77
538,260,73
543,274,53
545,281,43
551,289,34
562,294,36
569,128,340
572,113,370
572,169,270
573,130,341
575,118,363
575,131,340
575,172,268
576,205,210
577,133,339
578,209,204
579,120,365
579,224,179
580,140,330
581,149,315
581,232,164
582,143,327
583,151,312
583,231,169
584,235,159
585,150,316
586,250,139
587,178,269
587,188,249
588,252,137
589,269,108
590,180,268
590,285,80
591,197,239
592,291,72
593,186,261
593,230,182
594,233,174
594,292,71
595,296,66
596,242,163
597,307,48
598,187,263
598,311,42
599,189,258
599,245,161
602,190,258
604,193,257
604,259,141
605,203,242
606,270,122
607,221,212
607,273,119
607,317,40
610,301,72
614,222,216
616,234,193
617,236,189
