step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
83,0,25,1,58,57,0
139,0,87,2,52,37,0
186,0,143,3,43,26,0
266,0,190,0,76,53,0
328,0,270,1,58,31,0
405,0,332,2,73,46,0
446,0,409,3,37,18,0
526,0,450,0,76,37,0
576,0,530,1,46,23,0
686,0,580,2,106,92,0
775,0,690,3,85,54,0
876,0,779,0,97,59,0
959,0,880,1,79,46,0
1030,0,963,2,67,28,0
1092,0,1034,3,58,17,0
1202,0,1096,0,106,82,0
1237,0,1206,1,31,3,0
1347,0,1241,2,106,72,0
1388,0,1351,3,37,12,0
1453,0,1392,0,61,40,0
1572,0,1457,1,115,55,0
1694,0,1576,2,118,81,0
1711,0,1698,3,13,0,14
1761,0,1715,0,46,11,0
1808,0,1765,1,43,19,0
1831,0,1812,2,19,2,0
1944,0,1835,3,109,63,0
2024,0,1948,0,76,48,0
2146,0,2028,1,118,98,0
2235,0,2150,2,85,45,0
2252,0,2239,3,13,0,14
2296,0,2256,0,40,1,0
2385,0,2300,1,85,63,0
2486,0,2389,2,97,81,0
2545,0,2490,3,55,0,5
2634,0,2549,0,85,46,0
2672,0,2638,1,34,5,0
2719,0,2676,2,43,16,0
2838,0,2723,3,115,70,0
2927,0,2842,0,85,58,0
3016,0,2931,1,85,42,0
3048,0,3020,2,28,0,6
3071,0,3052,3,19,0,5
3100,0,3075,0,25,2,0
3147,0,3104,1,43,29,0
3227,0,3151,2,76,40,0
3292,0,3231,3,61,39,0
3408,0,3296,0,112,81,0
3452,0,3412,1,40,16,0
3478,0,3456,2,22,0,5
3513,0,3482,3,31,10,0
3635,0,3517,0,118,111,0
3667,0,3639,1,28,0,1
3735,0,3671,2,64,35,0
3746,0,3739,3,7,0,9
3772,0,3750,0,22,10,0
3822,0,3776,1,46,26,0
3941,0,3826,2,115,95,0
4063,0,3945,3,118,69,0
4176,0,4067,0,109,57,0
4265,0,4180,1,85,48,0
4297,0,4269,2,28,0,5
4407,0,4301,3,106,72,0
4418,0,4411,0,7,0,10
4432,0,4422,1,10,0,6
4455,0,4436,2,19,0,5
4499,0,4459,3,40,27,0
4600,0,4503,0,97,61,0
4671,0,4604,1,67,23,0
4733,0,4675,2,58,7,0
4834,0,4737,3,97,69,0
4917,0,4838,0,79,48,0
4973,0,4921,1,52,28,0
5092,0,4977,2,115,82,0
5160,0,5096,3,64,24,0
5195,0,5164,0,31,8,0
5299,0,5199,1,100,72,0
5352,0,5303,2,49,20,0
5369,0,5356,3,13,0,8
5386,0,5373,0,13,0,7
5436,0,5390,1,46,31,0
5516,0,5440,2,76,64,0
5530,0,5520,3,10,0,13
5643,0,5534,0,109,81,0
5672,0,5647,1,25,0,4
5698,0,5676,2,22,0,3
5757,0,5702,3,55,13,0
5780,0,5761,0,19,0,3
5866,0,5784,1,82,65,0
5967,0,5870,2,97,71,0
6008,0,5971,3,37,18,0
6049,0,6012,0,37,3,0
6060,0,6053,1,7,0,7
6161,0,6064,2,97,81,0
6250,0,6165,3,85,75,0
6366,0,6254,0,112,79,0
6434,0,6370,1,64,5,0
6487,0,6438,2,49,4,0
6558,0,6491,3,67,41,0
6680,0,6562,0,118,95,0
6691,0,6684,1,7,0,15
6789,0,6695,2,94,69,0
6896,0,6793,3,103,62,0
6934,0,6900,0,34,15,0
7011,0,6938,1,73,17,0
7040,0,7015,2,25,0,1
7093,0,7044,3,49,17,0
7152,0,7097,0,55,35,0
7250,0,7156,1,94,76,0
7288,0,7254,2,34,10,0
7365,0,7292,3,73,45,0
