step,tl_id,start_at_step,cycle_time
201,0,-1,206
506,0,205,305
709,0,510,203
1089,0,713,380
1196,0,1093,107
1369,0,1200,173
1734,0,1373,365
1871,0,1738,137
2059,0,1875,188
2181,0,2063,122
2378,0,2185,197
2677,0,2382,299
2928,0,2681,251
3194,0,2932,266
3427,0,3198,233
3582,0,3431,155
3917,0,3586,335
4225,0,3921,308
4458,0,4229,233
4745,0,4462,287
5050,0,4749,305
5316,0,5054,266
5573,0,5320,257
5881,0,5577,308
6129,0,5885,248
6383,0,6133,254
6640,0,6387,257
6924,0,6644,284
7091,0,6928,167
7501,0,7095,410
