step,tl_id,previous_state,current_state,action,reward
25,0,1_0_0_0_0,0_0_1_1_1,17,0.7344203159428966
72,0,0_0_1_1_1,2_1_2_2_2,14,0.28884225466947366
110,0,2_1_2_2_2,2_1_0_2_3,11,0.6831801055748277
139,0,2_1_0_2_3,3_2_1_0_0,8,0.7952606678201785
159,0,3_2_1_0_0,1_3_1_1_1,5,0.8583558063471295
209,0,1_3_1_1_1,2_0_2_2_2,15,0.4901455161953991
253,0,2_0_2_2_2,3_2_0_3_3,13,0.5719428966283495
309,0,3_2_0_3_3,4_3_2_0_0,17,0.4164518598589732
428,0,4_3_2_0_0,0_6_3_2_1,38,-0.17530496719183808
493,0,0_6_3_2_1,3_0_4_3_2,20,0.5760348817958092
519,0,3_0_4_3_2,3_1_1_3_3,7,0.8027144862142928
599,0,3_1_1_3_3,4_3_2_0_0,25,-0.018220426336493678
667,0,4_3_2_0_0,0_4_4_2_1,21,0.26540672086959216
762,0,0_4_4_2_1,3_0_5_4_2,30,-0.12846083585951196
788,0,3_0_5_4_2,3_1_1_4_3,7,0.7856746854816511
823,0,3_1_1_4_3,3_2_4_1_0,10,0.8005959912390364
888,0,3_2_4_1_0,0_2_4_3_1,20,0.22532334574537294
986,0,0_2_4_3_1,3_0_7_4_2,31,-0.19809463256169213
1078,0,3_0_7_4_2,4_3_0_6_3,29,0.34813472902685577
1092,0,4_3_0_6_3,4_3_1_3_0,3,0.7689869582492311
1199,0,4_3_1_3_0,0_4_3_7_1,34,-0.21230788098048714
1261,0,0_4_3_7_1,2_0_4_7_2,19,0.3380125168182868
1377,0,2_0_4_7_2,3_4_1_8_3,37,-0.24807524255187496
1448,0,3_4_1_8_3,3_6_2_1_0,22,0.705315425291137
1504,0,3_6_2_1_0,0_8_3_2_1,17,0.4280462882475227
1524,0,0_8_3_2_1,1_4_4_2_2,5,0.7549080295880273
1553,0,1_4_4_2_2,1_6_1_3_3,8,0.784558061633287
1588,0,1_6_1_3_3,2_6_1_0_0,10,0.7162086223646732
1605,0,2_6_1_0_0,1_6_2_1_1,4,0.8066244061520422
1628,0,1_6_2_1_1,2_1_2_2_2,6,0.8282724508447796
1666,0,2_1_2_2_2,2_4_0_2_3,11,0.5772946978321611
1761,0,2_4_0_2_3,5_6_3_0_0,30,-0.17479624374394742
1844,0,5_6_3_0_0,0_6_4_2_1,26,0.11704962412397468
1954,0,0_6_4_2_1,3_0_6_5_2,35,-0.14993299826366913
1986,0,3_0_6_5_2,4_1_1_5_3,9,0.7475107234350076
2003,0,4_1_1_5_3,4_1_3_2_0,4,0.7537457593488144
2083,0,4_1_3_2_0,0_3_4_5_1,25,0.01809120027782285
2139,0,0_3_4_5_1,1_0_5_7_2,17,0.27020961657833165
2168,0,1_0_5_7_2,2_1_1_8_3,8,0.7532608121110738
2260,0,2_1_1_8_3,5_2_3_0_0,29,0.30171207258468813
2376,0,5_2_3_0_0,0_5_4_3_1,37,-0.18582151277153858
2429,0,0_5_4_3_1,1_0_5_4_2,16,0.6550950757695619
2515,0,1_0_5_4_2,3_2_0_6_3,27,-0.0036980276041427285
