step,veh_id,ttime
40,1,39
47,0,47
49,5,44
55,9,45
63,17,43
67,4,63
68,23,41
69,13,54
73,20,50
74,26,44
75,30,40
77,31,39
79,32,38
83,37,39
88,39,41
92,40,42
93,43,40
96,44,40
100,53,36
103,52,42
105,54,38
111,55,41
111,57,38
111,60,35
116,62,37
123,63,41
125,68,37
129,66,44
133,73,42
135,77,41
136,79,39
140,3,135
141,2,139
142,10,130
143,8,134
143,14,125
144,12,129
145,34,105
147,15,126
147,25,118
148,41,100
149,42,98
149,59,79
149,61,77
150,29,116
153,95,40
156,50,97
158,69,76
158,99,39
159,70,74
161,74,73
163,76,72
164,103,42
167,97,51
169,106,43
170,107,42
170,108,39
171,116,33
185,122,40
186,125,38
191,126,40
192,129,38
200,135,40
215,6,208
215,11,200
216,19,194
217,16,198
218,21,193
219,7,209
219,22,191
219,35,177
221,33,182
221,75,132
223,24,192
224,49,164
224,91,112
225,36,180
225,100,106
226,56,160
227,38,179
227,101,105
228,45,175
228,72,143
228,102,103
230,83,132
230,119,87
232,84,131
232,120,86
232,152,52
235,48,178
235,86,131
236,87,129
237,118,97
238,89,129
238,128,86
239,168,40
240,105,112
243,132,86
244,134,84
244,165,48
245,110,114
246,145,74
248,111,115
248,172,42
248,173,39
249,123,100
251,131,96
253,136,89
255,174,43
256,177,41
259,171,56
259,179,41
262,182,41
266,184,42
267,185,40
270,192,40
271,194,38
280,200,42
282,203,41
289,28,254
290,27,258
290,47,233
291,18,268
291,51,231
292,85,191
293,46,239
295,104,172
296,58,227
296,109,167
297,64,221
298,112,165
299,67,217
299,121,156
300,65,221
301,71,216
301,82,204
301,117,162
302,114,166
303,78,211
303,124,156
305,138,141
306,93,194
307,92,198
308,94,193
309,127,158
309,160,118
310,169,109
311,96,193
311,141,141
312,133,154
312,149,134
312,191,84
313,198,77
314,158,126
315,139,148
315,181,100
316,143,143
316,215,61
319,187,97
319,201,80
320,189,95
321,236,41
322,146,146
323,167,125
323,207,77
325,176,116
325,216,67
327,183,109
327,221,64
329,193,98
331,225,64
332,238,49
333,196,99
334,204,92
335,245,44
339,219,78
340,227,70
340,251,42
342,239,56
343,252,42
348,256,44
349,261,38
352,259,44
356,80,256
357,81,254
357,88,251
358,98,242
359,90,250
359,130,205
360,140,194
361,137,198
362,113,228
363,142,194
364,150,185
365,159,176
366,115,229
366,164,171
367,170,165
367,205,124
368,148,192
368,212,116
369,154,186
369,213,116
370,217,111
371,162,178
377,186,156
378,147,204
380,151,201
380,153,198
382,144,211
382,155,197
382,156,194
382,197,147
383,202,143
384,157,193
384,161,189
385,211,131
387,166,189
387,234,107
388,175,180
388,247,95
389,178,178
390,180,176
390,262,77
392,190,166
393,265,77
394,206,149
394,260,84
396,208,148
396,276,67
397,266,78
398,195,166
399,231,125
401,226,128
403,223,136
404,230,125
405,229,129
406,264,92
407,222,143
407,298,53
408,224,138
409,306,45
410,253,109
411,268,93
412,269,92
414,271,90
414,308,47
415,285,76
416,273,89
417,295,66
417,302,58
419,315,45
421,316,44
425,324,40
430,331,37
431,326,43
442,335,44
