step,tl_id,start_at_step,cycle_time
153,0,-1,158
365,0,157,212
727,0,369,362
981,0,731,254
1310,0,985,329
1642,0,1314,332
1911,0,1646,269
2027,0,1915,116
2176,0,2031,149
2469,0,2180,293
2780,0,2473,311
3109,0,2784,329
3270,0,3113,161
3479,0,3274,209
3652,0,3483,173
3945,0,3656,293
4223,0,3949,278
4489,0,4227,266
4848,0,4493,359
5096,0,4852,248
5320,0,5100,224
5715,0,5324,395
5990,0,5719,275
6211,0,5994,221
6546,0,6215,335
6824,0,6550,278
7054,0,6828,230
7254,0,7058,200
7553,0,7258,299
7726,0,7557,173
