step,tl_id,new_state
21,0,1
92,0,2
118,0,3
153,0,0
212,0,1
235,0,2
354,0,3
365,0,0
409,0,1
516,0,2
608,0,3
727,0,0
837,0,1
854,0,2
907,0,3
981,0,0
1001,0,1
1102,0,2
1221,0,3
1310,0,0
1393,0,1
1500,0,2
1535,0,3
1642,0,0
1656,0,1
1751,0,2
1816,0,3
1911,0,0
1922,0,1
2002,0,2
2013,0,3
2027,0,0
2107,0,1
2148,0,2
2159,0,3
2176,0,0
2253,0,1
2357,0,2
2416,0,3
2469,0,0
2546,0,1
2653,0,2
2721,0,3
2780,0,0
2896,0,1
2922,0,2
2990,0,3
3109,0,0
3153,0,1
3191,0,2
3226,0,3
3270,0,0
3308,0,1
3349,0,2
3432,0,3
3479,0,0
3571,0,1
3624,0,2
3641,0,3
3652,0,0
3774,0,1
3824,0,2
3916,0,3
3945,0,0
4034,0,1
4129,0,2
4146,0,3
4223,0,0
4321,0,1
4422,0,2
4436,0,3
4489,0,0
4605,0,1
4712,0,2
4831,0,3
4848,0,0
4877,0,1
4906,0,2
5019,0,3
5096,0,0
5158,0,1
5226,0,2
5282,0,3
5320,0,0
5409,0,1
5507,0,2
5608,0,3
5715,0,0
5741,0,1
5812,0,2
5898,0,3
5990,0,0
6028,0,1
6090,0,2
6179,0,3
6211,0,0
6267,0,1
6383,0,2
6478,0,3
6546,0,0
6602,0,1
6625,0,2
6744,0,3
6824,0,0
6871,0,1
6897,0,2
6992,0,3
7054,0,0
7086,0,1
7160,0,2
7216,0,3
7254,0,0
7271,0,1
7378,0,2
7446,0,3
7553,0,0
7609,0,1
7644,0,2
7703,0,3
7726,0,0
