step,tl_id,max_length
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,1
16,0,1
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
32,0,1
33,0,2
34,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,3
44,0,3
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
50,0,3
51,0,3
52,0,3
53,0,3
54,0,3
55,0,3
56,0,3
57,0,4
58,0,4
59,0,4
60,0,4
61,0,4
62,0,4
63,0,4
64,0,4
65,0,4
66,0,5
67,0,5
68,0,6
69,0,6
70,0,6
71,0,6
72,0,7
73,0,7
74,0,7
75,0,7
76,0,7
77,0,8
78,0,8
79,0,8
80,0,8
81,0,8
82,0,8
83,0,8
84,0,8
85,0,8
86,0,8
87,0,8
88,0,8
89,0,8
90,0,8
91,0,8
92,0,8
93,0,8
94,0,8
95,0,8
96,0,8
97,0,8
98,0,8
99,0,8
100,0,8
101,0,8
102,0,8
103,0,8
104,0,8
105,0,8
106,0,8
107,0,9
108,0,9
109,0,9
110,0,9
111,0,10
112,0,10
113,0,10
114,0,10
115,0,10
116,0,10
117,0,10
118,0,10
119,0,10
120,0,10
121,0,10
122,0,10
123,0,10
124,0,10
125,0,10
126,0,10
127,0,10
128,0,10
129,0,10
130,0,10
131,0,10
132,0,10
133,0,10
134,0,10
135,0,11
136,0,11
137,0,11
138,0,11
139,0,11
140,0,11
141,0,11
142,0,11
143,0,11
144,0,11
145,0,12
146,0,11
147,0,12
148,0,12
149,0,12
150,0,11
151,0,11
152,0,12
153,0,12
154,0,13
155,0,13
156,0,13
157,0,13
158,0,13
159,0,13
160,0,13
161,0,13
162,0,13
163,0,13
164,0,14
165,0,13
166,0,13
167,0,13
168,0,14
169,0,14
170,0,14
171,0,14
172,0,15
173,0,15
174,0,15
175,0,15
176,0,15
177,0,15
178,0,15
179,0,16
180,0,16
181,0,16
182,0,16
183,0,16
184,0,16
185,0,16
186,0,16
187,0,16
188,0,16
189,0,16
190,0,16
191,0,16
192,0,16
193,0,16
194,0,16
195,0,16
196,0,16
197,0,16
198,0,16
199,0,16
200,0,16
201,0,16
202,0,16
203,0,16
204,0,16
205,0,16
206,0,16
207,0,16
208,0,16
209,0,16
210,0,16
211,0,16
212,0,16
213,0,16
214,0,16
215,0,17
216,0,16
217,0,16
218,0,16
219,0,16
220,0,17
221,0,16
222,0,16
223,0,15
224,0,14
225,0,14
226,0,15
227,0,15
228,0,15
229,0,15
230,0,15
231,0,15
232,0,15
233,0,15
234,0,15
235,0,16
236,0,16
237,0,16
238,0,16
239,0,16
240,0,16
241,0,16
242,0,16
243,0,16
244,0,16
245,0,16
246,0,16
247,0,17
248,0,17
249,0,18
250,0,18
251,0,18
252,0,18
253,0,18
254,0,18
255,0,18
256,0,18
257,0,19
258,0,19
259,0,19
260,0,19
261,0,19
262,0,19
263,0,19
264,0,19
265,0,19
266,0,19
267,0,19
268,0,19
269,0,19
270,0,19
271,0,19
272,0,19
273,0,19
274,0,19
275,0,19
276,0,20
277,0,20
278,0,20
279,0,20
280,0,20
281,0,20
282,0,20
283,0,20
284,0,20
285,0,21
286,0,21
287,0,21
288,0,21
289,0,21
290,0,21
291,0,21
292,0,21
293,0,21
294,0,21
295,0,21
296,0,21
297,0,21
298,0,21
299,0,21
300,0,22
301,0,22
302,0,22
303,0,22
304,0,22
305,0,22
306,0,22
307,0,22
308,0,22
309,0,22
310,0,22
311,0,22
312,0,22
313,0,22
314,0,22
315,0,22
316,0,22
317,0,23
318,0,23
319,0,23
320,0,23
321,0,23
322,0,23
323,0,23
324,0,23
325,0,24
326,0,24
327,0,24
328,0,24
329,0,24
330,0,24
331,0,23
332,0,23
333,0,22
334,0,22
335,0,21
336,0,20
337,0,20
338,0,19
339,0,18
340,0,17
341,0,17
342,0,16
343,0,15
344,0,14
345,0,14
346,0,14
347,0,14
348,0,14
349,0,14
350,0,14
351,0,14
352,0,14
353,0,14
354,0,14
355,0,15
356,0,15
357,0,15
358,0,15
359,0,15
360,0,15
361,0,15
362,0,15
363,0,16
364,0,16
365,0,16
366,0,16
367,0,16
368,0,16
369,0,16
370,0,16
371,0,16
372,0,16
373,0,16
374,0,16
375,0,16
376,0,16
377,0,17
378,0,17
379,0,17
380,0,17
381,0,17
382,0,17
383,0,17
384,0,17
385,0,17
386,0,17
387,0,17
388,0,18
389,0,18
390,0,18
391,0,18
392,0,18
393,0,18
394,0,18
395,0,18
396,0,18
397,0,18
398,0,18
399,0,18
400,0,19
401,0,19
402,0,19
403,0,19
404,0,20
405,0,20
406,0,20
407,0,20
408,0,20
409,0,20
410,0,20
411,0,19
412,0,19
413,0,19
414,0,19
415,0,19
416,0,19
417,0,19
418,0,19
419,0,19
420,0,19
421,0,19
422,0,19
423,0,19
424,0,20
425,0,20
426,0,20
427,0,20
428,0,20
429,0,20
430,0,20
431,0,20
432,0,20
433,0,20
434,0,20
435,0,20
436,0,20
437,0,20
438,0,20
439,0,21
440,0,21
441,0,21
442,0,21
443,0,21
444,0,21
445,0,21
446,0,21
447,0,21
448,0,21
449,0,21
450,0,21
451,0,21
452,0,21
453,0,21
454,0,22
455,0,22
456,0,22
457,0,22
458,0,22
459,0,22
460,0,22
461,0,22
462,0,22
463,0,22
464,0,22
465,0,23
466,0,23
467,0,23
468,0,23
469,0,23
470,0,23
471,0,23
472,0,23
473,0,24
474,0,24
475,0,24
476,0,24
477,0,24
478,0,24
479,0,24
480,0,24
481,0,24
482,0,24
483,0,25
484,0,25
485,0,25
486,0,25
487,0,25
488,0,25
489,0,25
490,0,25
491,0,25
492,0,25
493,0,25
494,0,24
495,0,23
496,0,23
497,0,22
498,0,21
499,0,20
500,0,20
501,0,19
502,0,18
503,0,17
504,0,17
505,0,16
506,0,15
507,0,14
508,0,15
509,0,14
510,0,14
511,0,13
512,0,13
513,0,13
514,0,14
515,0,14
516,0,14
517,0,14
518,0,14
519,0,14
520,0,14
521,0,14
522,0,14
523,0,14
524,0,14
525,0,14
526,0,14
527,0,14
528,0,14
529,0,14
530,0,14
531,0,14
532,0,14
533,0,14
534,0,14
535,0,14
536,0,14
537,0,14
538,0,14
539,0,14
540,0,14
541,0,15
542,0,15
543,0,16
544,0,16
545,0,16
546,0,16
547,0,16
548,0,16
549,0,16
550,0,16
551,0,16
552,0,16
553,0,17
554,0,17
555,0,17
556,0,17
557,0,17
558,0,17
559,0,17
560,0,17
561,0,17
562,0,17
563,0,17
564,0,17
565,0,17
566,0,17
567,0,17
568,0,17
569,0,17
570,0,17
