step,tl_id,previous_state,current_state,action,reward
39,0,0_1_0_1_1,1_0_1_1_2,3,0.9934936245603145
143,0,1_0_1_1_2,4_4_0_4_3,33,0.7082484675667285
220,0,4_4_0_4_3,6_5_2_0_0,24,0.4525592282226357
330,0,6_5_2_0_0,0_8_5_4_1,35,0.149509233395406
410,0,0_8_5_4_1,2_1_7_7_2,25,0.2755292390854537
493,0,2_1_7_7_2,4_3_0_9_3,26,0.16790813159528195
576,0,4_3_0_9_3,6_5_4_0_0,26,0.32460428305400335
698,0,6_5_4_0_0,0_7_8_6_1,39,-0.08565380586592242
757,0,0_7_8_6_1,3_1_10_7_2,18,-0.006643777157046005
798,0,3_1_10_7_2,3_2_1_8_3,12,0.2470596032484994
905,0,3_2_1_8_3,5_6_11_0_0,34,-0.046689103558866796
937,0,5_6_11_0_0,1_6_12_2_1,9,-0.055865921787710215
951,0,1_6_12_2_1,2_4_12_2_2,3,-0.06472025010345606
1043,0,2_4_12_2_2,4_9_1_4_3,29,0.18935653967514954
1102,0,4_9_1_4_3,5_10_5_0_0,18,-0.11106261638733783
1119,0,5_10_5_0_0,2_10_5_1_1,4,-0.07931150424167255
1214,0,2_10_5_1_1,6_1_6_3_2,30,0.21951783312642204
1336,0,6_1_6_3_2,10_6_0_6_3,39,-0.30462445685909456
1446,0,10_6_0_6_3,13_7_3_0_0,35,-0.9224755263294033
1490,0,13_7_3_0_0,2_9_4_1_1,13,-0.25535139276846763
1513,0,2_9_4_1_1,7_4_4_2_2,6,-0.058909773949928246
1587,0,7_4_4_2_2,11_8_0_4_3,23,-0.5348539662218095
1700,0,11_8_0_4_3,13_10_4_1_0,36,-1.6684852188081956
1810,0,13_10_4_1_0,1_12_7_4_1,35,-1.287618973722327
1905,0,1_12_7_4_1,6_1_9_7_2,30,-0.27900631078005467
1925,0,6_1_9_7_2,6_2_5_7_3,5,-0.14595941961514658
1963,0,6_2_5_7_3,8_3_8_1_0,11,-0.05995645173805153
2079,0,8_3_8_1_0,1_6_12_5_1,37,-0.8309789144941042
2150,0,1_6_12_5_1,3_0_13_7_2,22,-1.231601910045522
2227,0,3_0_13_7_2,5_4_3_8_3,24,-0.175085350713843
2262,0,5_4_3_8_3,6_5_5_1_0,10,0.1362588583695422
2309,0,6_5_5_1_0,1_7_6_6_1,14,0.044049374094764504
2326,0,1_7_6_6_1,2_4_6_7_2,4,0.02694043554727854
2442,0,2_4_6_7_2,5_9_0_9_3,37,-0.6301978261431833
2516,0,5_9_0_9_3,9_10_3_1_0,23,-0.40817766527001953
2572,0,9_10_3_1_0,1_13_5_4_1,17,-0.5157308801469076
2658,0,1_13_5_4_1,5_1_8_6_2,27,0.17733954712393907
2738,0,5_1_8_6_2,8_6_0_7_3,25,-0.07053072625698387
2779,0,8_6_0_7_3,9_6_2_1_0,12,0.07225309719635775
2877,0,9_6_2_1_0,0_8_4_6_1,31,-0.10686458979929725
2957,0,0_8_4_6_1,3_0_7_8_2,25,0.060722668373680344
3046,0,3_0_7_8_2,6_3_0_11_3,28,-0.25498364111318095
3090,0,6_3_0_11_3,7_4_3_1_0,13,0.1978883780777979
3167,0,7_4_3_1_0,0_6_5_7_1,24,0.09706784735154095
3187,0,0_6_5_7_1,1_2_6_8_2,5,0.1611188702669144
3300,0,1_2_6_8_2,5_7_0_11_3,36,-0.598446713997518
3332,0,5_7_0_11_3,6_8_1_3_0,9,-0.2765848075729369
3388,0,6_8_1_3_0,0_9_2_10_1,17,-0.5033517936581844
3450,0,0_9_2_10_1,3_1_3_12_2,19,-0.2421745680736611
3503,0,3_1_3_12_2,5_3_0_13_3,16,-0.5915442983136778
3565,0,5_3_0_13_3,6_5_3_2_0,19,0.27151791718394325
3591,0,6_5_3_2_0,1_6_3_7_1,7,0.2991388953548516
3704,0,1_6_3_7_1,7_0_6_9_2,36,-0.3688395535899036
3718,0,7_0_6_9_2,7_1_3_9_3,3,-0.3690941508897174
3795,0,7_1_3_9_3,11_3_7_1_0,24,-0.15826495577281263
3917,0,11_3_7_1_0,0_6_9_6_1,39,-0.3268027105317617
3985,0,0_6_9_6_1,2_1_11_9_2,21,-0.5457280997827447
4089,0,2_1_11_9_2,5_3_1_12_3,33,-0.013285937823298788
4145,0,5_3_1_12_3,6_4_2_1_0,17,0.36321820685909334
4240,0,6_4_2_1_0,0_6_5_9_1,30,0.12226732231533155
4320,0,0_6_5_9_1,2_0_6_11_2,25,-0.019543373680944054
4334,0,2_0_6_11_2,2_1_3_11_3,3,0.03126858964411272
4393,0,2_1_3_11_3,4_3_7_1_0,18,0.29916718394371977
4497,0,4_3_7_1_0,0_6_9_7_1,33,-0.4275610063625086
4589,0,0_6_9_7_1,2_0_13_7_2,29,-1.0183285808504046
4666,0,2_0_13_7_2,4_3_1_10_3,24,-0.1846695246223884
4788,0,4_3_1_10_3,7_7_8_1_0,39,-0.2781915994206505
4814,0,7_7_8_1_0,2_8_8_1_1,7,-0.1559396337678467
4930,0,2_8_8_1_1,7_0_10_4_2,37,-0.6666561594765166
4953,0,7_0_10_4_2,8_1_5_5_3,6,-0.3991479477032909
4967,0,8_1_5_5_3,8_2_6_2_0,3,-0.3963756659942075
5056,0,8_2_6_2_0,1_5_11_5_1,28,-0.6551879655493493
5136,0,1_5_11_5_1,4_0_13_8_2,25,-1.3758227938133678
5216,0,4_0_13_8_2,7_3_1_10_3,25,-0.3563756013345756
5320,0,7_3_1_10_3,9_7_8_0_0,33,-0.347877709238569
5331,0,9_7_8_0_0,7_7_8_1_1,2,-0.3165339527726059
5387,0,7_7_8_1_1,9_1_9_3_2,17,-0.4690377353610604
5467,0,9_1_9_3_2,11_3_1_5_3,25,-0.39224553201945045
5484,0,11_3_1_5_3,12_3_1_2_0,4,-0.42146764432029893
5513,0,12_3_1_2_0,6_4_2_4_1,8,0.0307084755845225
5593,0,6_4_2_4_1,11_0_5_7_2,25,-0.46758935961100856
5649,0,11_0_5_7_2,12_2_0_7_3,17,-0.84124767225326
5747,0,12_2_0_7_3,13_5_4_1_0,31,-1.1771520341920145
5782,0,13_5_4_1_0,4_5_5_2_1,10,-0.2390628232981593
5802,0,4_5_5_2_1,7_1_5_3_2,5,-0.19277703419201409
5825,0,7_1_5_3_2,10_3_1_3_3,6,-0.18318720256569487
5893,0,10_3_1_3_3,13_6_4_0_0,21,-0.7245119814297549
5919,0,13_6_4_0_0,7_7_5_2_1,7,-0.27848580074487983
5981,0,7_7_5_2_1,11_0_6_4_2,19,-0.3833176533726472
5995,0,11_0_6_4_2,12_1_3_4_3,3,-0.35930064142354734
6075,0,12_1_3_4_3,13_3_8_0_0,25,-1.0600372762776757
6149,0,13_3_8_0_0,4_4_9_4_1,23,-0.22974456212497496
6208,0,4_4_9_4_1,9_0_11_7_2,18,-0.6360988257810893
