step,tl_id,start_at_step,cycle_time
282,0,-1,287
659,0,286,377
904,0,663,245
1128,0,908,224
1520,0,1132,392
1747,0,1524,227
2016,0,1751,269
2261,0,2020,245
2572,0,2265,311
2682,0,2576,110
2924,0,2686,242
3199,0,2928,275
3480,0,3203,281
3773,0,3484,293
3949,0,3777,176
4179,0,3953,230
4472,0,4183,293
4648,0,4476,176
4935,0,4652,287
5168,0,4939,233
5302,0,5172,134
5592,0,5306,290
5918,0,5596,326
6097,0,5922,179
6465,0,6101,368
6719,0,6469,254
6991,0,6723,272
7260,0,6995,269
7493,0,7264,233
7696,0,7497,203
8055,0,7700,359
8321,0,8059,266
8575,0,8325,254
8862,0,8579,287
