step,veh_id,ttime
40,1,39
47,0,47
49,5,44
55,9,45
64,17,44
66,18,43
70,27,38
74,28,39
96,46,42
98,47,41
99,51,39
109,58,40
119,64,43
124,65,45
126,67,44
129,71,44
133,78,41
139,82,42
140,85,39
155,93,43
156,92,47
156,94,41
159,96,41
164,104,41
169,32,128
170,4,166
170,23,143
171,13,156
173,26,143
173,39,126
174,30,139
174,53,110
175,20,152
176,31,138
176,37,132
176,54,109
177,60,101
178,43,125
179,40,129
179,62,100
185,3,180
186,2,184
187,10,175
188,8,179
188,14,170
189,12,174
190,34,150
191,15,170
193,25,164
193,41,145
193,61,121
194,59,124
195,29,161
195,42,144
195,95,82
196,116,58
197,99,78
198,129,44
200,50,141
201,103,79
202,69,120
203,70,118
203,108,73
205,122,60
206,74,118
207,76,116
207,125,59
209,126,58
211,97,95
213,106,87
213,135,53
215,107,87
216,147,42
219,144,48
221,151,42
224,153,42
226,155,41
227,156,39
230,157,39
233,161,39
238,166,41
250,175,42
250,178,39
253,180,39
256,186,35
266,11,251
266,19,244
267,6,260
268,16,249
269,21,244
270,7,260
270,22,242
271,35,229
272,33,233
272,75,183
274,24,243
275,49,215
275,91,163
276,36,231
276,100,157
277,56,211
278,38,230
278,102,153
279,45,226
279,72,194
279,101,157
281,83,183
281,119,138
282,84,181
283,120,137
284,152,104
285,48,228
285,86,181
286,87,179
286,168,87
288,89,179
288,118,148
289,105,161
289,165,93
290,128,138
291,172,86
293,174,82
294,110,163
294,132,137
295,185,70
296,134,136
296,194,65
297,111,163
297,145,125
299,123,150
299,173,91
300,131,145
302,136,138
302,177,88
306,171,103
309,112,176
310,117,171
311,109,182
311,124,164
312,114,176
312,121,169
313,133,155
313,138,149
315,149,135
317,139,150
317,141,147
318,127,167
318,143,145
319,158,131
320,169,119
322,160,131
322,181,107
323,191,96
324,146,148
324,187,102
325,167,127
325,189,100
326,201,87
327,176,118
327,215,72
328,183,110
328,198,93
329,236,49
331,193,101
331,207,85
333,216,75
334,221,71
335,196,102
337,204,95
338,225,71
340,238,57
340,251,42
341,219,80
342,252,41
343,227,73
343,245,52
344,239,58
348,256,44
352,44,296
354,52,293
354,68,266
355,80,255
356,55,286
357,57,284
357,90,248
359,63,277
359,73,268
359,88,253
361,140,195
363,66,278
363,77,269
363,142,194
364,79,267
364,81,261
365,98,249
365,150,186
366,130,212
367,159,178
368,137,205
368,205,125
370,113,236
370,164,175
370,212,118
372,217,113
373,115,236
373,170,171
374,232,98
375,148,199
375,213,122
376,241,90
377,154,194
381,162,188
382,163,189
382,214,126
382,288,40
383,220,121
385,248,90
385,284,48
386,188,163
386,249,88
390,210,141
390,250,89
392,199,156
392,267,75
394,278,63
395,235,116
396,243,107
402,211,148
403,190,177
403,197,168
404,206,159
405,195,173
405,202,165
406,231,132
406,234,126
407,208,159
408,209,157
408,247,113
410,237,127
412,240,126
413,179,196
414,223,148
416,184,193
416,226,145
417,182,197
418,229,144
419,192,191
419,200,181
420,203,179
420,298,66
421,230,144
422,306,58
423,264,109
423,308,56
426,222,162
427,224,158
427,268,109
