step,tl_id,new_state
21,0,1
83,0,2
103,0,3
180,0,0
299,0,1
418,0,2
486,0,3
530,0,0
580,0,1
696,0,2
800,0,3
880,0,0
927,0,1
1010,0,2
1078,0,3
1107,0,0
1217,0,1
1279,0,2
1377,0,3
1469,0,0
1528,0,1
1548,0,2
1562,0,3
1675,0,0
1701,0,1
1739,0,2
1861,0,3
1944,0,0
2030,0,1
2125,0,2
2226,0,3
2330,0,0
2353,0,1
2415,0,2
2438,0,3
2533,0,0
2640,0,1
2753,0,2
2770,0,3
2847,0,0
2894,0,1
2953,0,2
3066,0,3
3122,0,0
3223,0,1
3285,0,2
3320,0,3
3418,0,0
3492,0,1
3575,0,2
3601,0,3
3708,0,0
3809,0,1
3910,0,2
3981,0,3
4079,0,0
4096,0,1
4179,0,2
4256,0,3
4291,0,0
4320,0,1
4373,0,2
4438,0,3
4464,0,0
4511,0,1
4549,0,2
4635,0,3
4748,0,0
4834,0,1
4932,0,2
4952,0,3
4981,0,0
5073,0,1
5168,0,2
5179,0,3
5295,0,0
5369,0,1
5410,0,2
5424,0,3
5474,0,0
5539,0,1
5643,0,2
5744,0,3
5770,0,0
5817,0,1
5894,0,2
5950,0,3
6021,0,0
6131,0,1
6193,0,2
6312,0,3
6374,0,0
6406,0,1
6522,0,2
6599,0,3
6688,0,0
6798,0,1
6917,0,2
7018,0,3
7080,0,0
7193,0,1
7240,0,2
7305,0,3
7346,0,0
7450,0,1
7548,0,2
7646,0,3
