step,tl_id,previous_state,current_state,action,reward
25,0,0_0_0_0_2,0_1_0_1_1,17,0.49376496408619314
42,0,0_1_0_1_1,1_0_1_1_2,4,0.5646282255919127
80,0,1_0_1_1_2,3_1_0_2_3,11,0.5001197126895451
121,0,3_1_0_2_3,3_3_2_0_0,12,0.5751496408619314
135,0,3_3_2_0_0,1_3_3_1_1,3,0.5907671588188348
254,0,1_3_3_1_1,5_0_5_5_2,38,0.4034467278531524
358,0,5_0_5_5_2,7_3_1_9_3,33,0.8004189944134078
411,0,7_3_1_9_3,8_5_3_1_0,16,0.7659766560255387
527,0,8_5_3_1_0,0_8_7_6_1,37,0.5160664405426976
649,0,0_8_7_6_1,4_1_10_10_2,39,0.7411562250598563
753,0,4_1_10_10_2,7_3_1_11_3,33,0.7910963687150838
875,0,7_3_1_11_3,8_6_5_0_0,39,0.7379189944134078
982,0,8_6_5_0_0,1_9_9_4_1,34,0.7817438148443736
1089,0,1_9_9_4_1,3_0_13_6_2,34,0.7192438148443736
1175,0,3_0_13_6_2,5_3_1_8_3,27,0.7691241021548285
1255,0,5_3_1_8_3,7_6_4_0_0,25,0.6816241021548284
1296,0,7_6_4_0_0,1_8_5_1_1,12,0.6815642458100558
1388,0,1_8_5_1_1,6_0_7_4_2,29,0.49724162011173184
1414,0,6_0_7_4_2,7_2_1_5_3,7,0.7315642458100559
1536,0,7_2_1_5_3,10_5_6_1_0,39,0.3973314046288906
1637,0,10_5_6_1_0,0_7_9_3_1,32,0.8160365123703113
1747,0,0_7_9_3_1,3_0_12_6_2,35,0.7035963687150838
1761,0,3_0_12_6_2,4_1_9_6_3,3,0.7566839584996009
1826,0,4_1_9_6_3,5_2_13_0_0,20,0.3535664405426975
1885,0,5_2_13_0_0,0_4_13_2_1,18,0.5754189944134078
1944,0,0_4_13_2_1,2_0_13_4_2,18,0.559771548284118
2054,0,2_0_13_4_2,6_3_1_5_3,35,0.5909467278531524
2125,0,6_3_1_5_3,7_6_5_0_0,22,0.772271548284118
2217,0,7_6_5_0_0,0_11_8_3_1,29,0.5817138866719872
2294,0,0_11_8_3_1,3_1_9_5_2,24,0.703506584197925
2305,0,3_1_9_5_2,4_4_7_6_3,2,0.6223014764565045
2382,0,4_4_7_6_3,5_7_11_0_0,24,0.3285963687150838
2456,0,5_7_11_0_0,0_8_13_2_1,23,0.597361332801277
