step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
80,0,25,1,55,54,0
196,0,84,2,112,100,0
270,0,200,3,70,35,0
374,0,274,0,100,51,0
460,0,378,1,82,20,0
507,0,464,2,43,0,4
599,0,511,3,88,39,0
670,0,603,0,67,24,0
756,0,674,1,82,53,0
857,0,760,2,97,18,0
931,0,861,3,70,9,0
996,0,935,0,61,29,0
1058,0,1000,1,58,8,0
1105,0,1062,2,43,0,7
1218,0,1109,3,109,73,0
1310,0,1222,0,88,41,0
1426,0,1314,1,112,45,0
1503,0,1430,2,73,16,0
1604,0,1507,3,97,44,0
1636,0,1608,0,28,0,11
1671,0,1640,1,31,0,2
1727,0,1675,2,52,10,0
1831,0,1731,3,100,73,0
1947,0,1835,0,112,50,0
2012,0,1951,1,61,6,0
2032,0,2016,2,16,0,22
2082,0,2036,3,46,13,0
2117,0,2086,0,31,1,0
2227,0,2121,1,106,81,0
2268,0,2231,2,37,0,16
2357,0,2272,3,85,49,0
2437,0,2361,0,76,32,0
2472,0,2441,1,31,0,8
2498,0,2476,2,22,0,25
2620,0,2502,3,118,96,0
2682,0,2624,0,58,10,0
2702,0,2686,1,16,0,21
2779,0,2706,2,73,0,3
2820,0,2783,3,37,8,0
2939,0,2824,0,115,78,0
2950,0,2943,1,7,0,34
3015,0,2954,2,61,0,1
3035,0,3019,3,16,0,14
3097,0,3039,0,58,39,0
3186,0,3101,1,85,0,3
3242,0,3190,2,52,0,5
3289,0,3246,3,43,0,7
3366,0,3293,0,73,25,0
3383,0,3370,1,13,0,22
3475,0,3387,2,88,44,0
3513,0,3479,3,34,0,17
3551,0,3517,0,34,0,5
3574,0,3555,1,19,0,24
3600,0,3578,2,22,0,0
3659,0,3604,3,55,9,0
3709,0,3663,0,46,9,0
3768,0,3713,1,55,0,16
3791,0,3772,2,19,0,7
3895,0,3795,3,100,59,0
3915,0,3899,0,16,0,11
4034,0,3919,1,115,45,0
4102,0,4038,2,64,0,0
4122,0,4106,3,16,0,19
4142,0,4126,0,16,0,22
4258,0,4146,1,112,90,0
4314,0,4262,2,52,16,0
4433,0,4318,3,115,28,0
4450,0,4437,0,13,0,34
4536,0,4454,1,82,34,0
4556,0,4540,2,16,0,12
4597,0,4560,3,37,20,0
4614,0,4601,0,13,0,34
4673,0,4618,1,55,44,0
4780,0,4677,2,103,41,0
4815,0,4784,3,31,0,1
4910,0,4819,0,91,8,0
4957,0,4914,1,43,0,9
4989,0,4961,2,28,0,0
5048,0,4993,3,55,16,0
5146,0,5052,0,94,20,0
5253,0,5150,1,103,32,0
5366,0,5257,2,109,60,0
5455,0,5370,3,85,27,0
5505,0,5459,0,46,0,8
5618,0,5509,1,109,64,0
5707,0,5622,2,85,32,0
5817,0,5711,3,106,58,0
5864,0,5821,0,43,0,13
5971,0,5868,1,103,56,0
5982,0,5975,2,7,0,18
6038,0,5986,3,52,23,0
6103,0,6042,0,61,0,10
6219,0,6107,1,112,90,0
6314,0,6223,2,91,12,0
6403,0,6318,3,85,23,0
6516,0,6407,0,109,39,0
6599,0,6520,1,79,22,0
6643,0,6603,2,40,0,13
6735,0,6647,3,88,43,0
6767,0,6739,0,28,0,14
6868,0,6771,1,97,68,0
6975,0,6872,2,103,26,0
7046,0,6979,3,67,16,0
7066,0,7050,0,16,0,28
7134,0,7070,1,64,37,0
7190,0,7138,2,52,14,0
7225,0,7194,3,31,9,0
7239,0,7229,0,10,0,34
7265,0,7243,1,22,7,0
7324,0,7269,2,55,40,0
7398,0,7328,3,70,69,0
7418,0,7402,0,16,0,29
7504,0,7422,1,82,81,0
7605,0,7508,2,97,96,0
7703,0,7609,3,94,93,0
7732,0,7707,0,25,0,17
7803,0,7736,1,67,66,0
7907,0,7807,2,100,99,0
8005,0,7911,3,94,93,0
8076,0,8009,0,67,20,0
