step,veh_id,ttime
40,1,39
47,0,47
49,5,44
55,9,45
64,17,44
66,18,43
70,27,38
74,28,39
96,46,42
98,47,41
99,51,39
109,58,40
119,64,43
124,65,45
126,67,44
129,71,44
133,78,41
139,82,42
140,85,39
155,93,43
156,92,47
156,94,41
159,96,41
163,4,159
163,32,122
164,23,137
165,13,150
166,26,136
166,39,119
168,30,133
168,53,104
169,20,146
169,31,131
169,54,102
170,37,126
171,60,95
172,40,122
172,43,119
173,62,94
174,68,86
175,44,119
176,52,115
176,80,76
177,55,107
177,90,68
178,57,105
179,88,73
180,63,98
180,73,89
183,66,98
183,77,89
188,3,183
189,2,187
189,10,177
191,8,182
191,14,173
192,12,177
193,34,153
194,15,173
195,25,166
195,41,147
196,61,124
197,42,146
197,59,127
197,95,84
198,29,164
199,99,80
199,116,61
200,129,46
204,103,82
205,50,146
205,108,75
206,69,124
208,70,123
208,122,63
209,125,61
210,74,122
212,76,121
213,126,62
214,135,54
217,97,101
218,106,92
219,144,48
220,107,92
223,147,49
225,151,46
225,153,43
227,155,42
227,156,39
232,157,41
233,161,39
238,166,41
250,178,39
251,175,43
253,180,39
256,186,35
271,190,45
277,197,43
278,195,46
279,202,39
284,6,277
284,11,269
284,19,262
286,16,267
286,21,261
288,7,278
288,22,260
288,35,246
290,33,251
290,75,201
292,24,261
293,49,233
293,91,181
294,36,249
294,100,175
296,38,248
296,56,230
296,102,171
297,45,244
297,72,212
297,101,175
299,83,201
299,119,156
301,84,200
301,120,155
302,152,122
303,48,246
304,86,200
304,168,105
305,87,198
306,118,166
306,165,110
307,89,198
308,105,180
308,128,156
308,172,103
310,174,99
311,185,86
312,132,155
313,110,182
313,134,153
313,194,82
314,223,48
315,145,143
316,173,108
316,226,45
317,111,183
318,229,44
319,123,170
320,131,165
320,177,106
322,136,157
322,179,105
326,171,123
326,182,106
327,184,104
328,192,100
329,200,91
330,230,53
331,203,90
337,222,73
339,224,70
345,112,212
346,109,217
348,104,225
348,114,212
348,117,209
349,121,206
349,124,202
350,133,192
351,138,187
351,141,181
352,139,185
353,127,202
353,143,180
353,149,174
356,160,165
357,158,169
358,169,157
358,181,143
359,146,183
360,167,162
360,191,133
361,198,126
362,176,153
362,187,140
363,189,138
363,215,108
364,183,146
364,236,84
367,193,137
367,201,128
367,251,69
368,207,122
368,252,67
369,196,136
370,216,112
371,204,129
372,221,108
372,259,64
372,275,45
375,225,108
376,219,115
377,238,94
378,227,108
378,289,35
379,239,93
380,245,89
382,256,78
384,261,73
387,270,66
388,290,42
388,294,36
390,296,35
392,291,43
394,299,33
401,297,43
403,300,39
409,307,42
413,313,41
415,317,38
418,319,38
427,79,330
429,81,326
429,98,313
429,140,263
430,130,276
433,113,299
433,137,270
433,142,264
435,150,256
435,164,240
436,159,247
437,115,300
437,170,235
438,205,195
439,148,263
439,213,186
440,212,188
441,154,258
441,217,182
443,162,250
443,232,167
445,163,252
445,241,159
446,214,190
447,220,185
448,188,225
449,248,154
451,249,153
452,284,115
453,288,111
454,199,218
454,304,93
455,250,155
456,210,207
456,320,75
