step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,113,176749.71428571417,0.9993606778915787
60,0,vehicle_cumulative_delay,113,6839,176749.71428571417,0.961306868146079
77,0,vehicle_cumulative_delay,6839,8154,176749.71428571417,0.953866969273743
145,0,vehicle_cumulative_delay,8154,49039,176749.71428571417,0.7225511780984895
177,0,vehicle_cumulative_delay,49039,52805,176749.71428571417,0.7012442129629628
248,0,vehicle_cumulative_delay,52805,95576,176749.71428571417,0.45925796606662495
370,0,vehicle_cumulative_delay,95576,208728,176749.71428571417,-0.1809241154562391
411,0,vehicle_cumulative_delay,208728,194035,176749.71428571417,-0.09779526820815287
509,0,vehicle_cumulative_delay,194035,275127,176749.71428571417,-0.5565909179081325
628,0,vehicle_cumulative_delay,275127,386919,176749.71428571417,-1.189078503258847
711,0,vehicle_cumulative_delay,386919,413703,176749.71428571417,-1.3406148161080091
773,0,vehicle_cumulative_delay,413703,235147,176749.71428571417,-0.33039536131802283
862,0,vehicle_cumulative_delay,235147,275673,176749.71428571417,-0.5596800318125399
903,0,vehicle_cumulative_delay,275673,285810,176749.71428571417,-0.617032316883924
995,0,vehicle_cumulative_delay,285810,411277,176749.71428571417,-1.3268891927891593
1057,0,vehicle_cumulative_delay,411277,280423,176749.71428571417,-0.5865541912373278
1071,0,vehicle_cumulative_delay,280423,286036,176749.71428571417,-0.6183109611007667
1109,0,vehicle_cumulative_delay,286036,267079,176749.71428571417,-0.5110576052658813
1183,0,vehicle_cumulative_delay,267079,435134,176749.71428571417,-1.4618653657148784
1293,0,vehicle_cumulative_delay,435134,551631,176749.71428571417,-2.120972513190567
1406,0,vehicle_cumulative_delay,551631,522832,176749.71428571417,-1.958035899027521
1447,0,vehicle_cumulative_delay,522832,450610,176749.71428571417,-1.5494242059797245
1461,0,vehicle_cumulative_delay,450610,451961,176749.71428571417,-1.5570677826919113
1559,0,vehicle_cumulative_delay,451961,630115,176749.71428571417,-2.5650128349368946
1603,0,vehicle_cumulative_delay,630115,705877,176749.71428571417,-2.993652848903375
1653,0,vehicle_cumulative_delay,705877,579946,176749.71428571417,-2.2811707919511712
1670,0,vehicle_cumulative_delay,579946,559333,176749.71428571417,-2.1645482554831386
1747,0,vehicle_cumulative_delay,559333,660633,176749.71428571417,-2.7376750659528266
1869,0,vehicle_cumulative_delay,660633,917331,176749.71428571417,-4.1899999030105555
1892,0,vehicle_cumulative_delay,917331,856869,176749.71428571417,-3.8479229709807603
1945,0,vehicle_cumulative_delay,856869,616958,176749.71428571417,-2.4905742421891186
2010,0,vehicle_cumulative_delay,616958,650986,176749.71428571417,-2.683095062590526
2066,0,vehicle_cumulative_delay,650986,774648,176749.71428571417,-3.382739757914342
2098,0,vehicle_cumulative_delay,774648,657247,176749.71428571417,-2.718518033571283
2163,0,vehicle_cumulative_delay,657247,515854,176749.71428571417,-1.918556344403064
2174,0,vehicle_cumulative_delay,515854,527824,176749.71428571417,-1.9862792261535298
2218,0,vehicle_cumulative_delay,527824,628812,176749.71428571417,-2.557640828677842
2238,0,vehicle_cumulative_delay,628812,576368,176749.71428571417,-2.2609274777570887
2324,0,vehicle_cumulative_delay,576368,660566,176749.71428571417,-2.7372959988619927
2347,0,vehicle_cumulative_delay,660566,638176,176749.71428571417,-2.610619697910203
2361,0,vehicle_cumulative_delay,638176,659434,176749.71428571417,-2.7308914623422327
2447,0,vehicle_cumulative_delay,659434,460199,176749.71428571417,-1.603676061711154
2563,0,vehicle_cumulative_delay,460199,716276,176749.71428571417,-3.0524874560314528
2646,0,vehicle_cumulative_delay,716276,631318,176749.71428571417,-2.571819069418583
2717,0,vehicle_cumulative_delay,631318,591793,176749.71428571417,-2.348197774415479
