step,veh_id,ttime
40,1,40
41,4,38
46,3,44
50,14,38
55,21,37
64,0,64
64,2,61
64,11,51
67,8,60
68,15,52
69,10,59
69,18,47
70,20,45
71,33,37
73,16,54
76,24,48
77,26,46
78,34,41
78,36,38
85,39,42
86,43,37
88,41,42
91,45,39
97,48,42
103,49,45
104,56,40
106,50,45
109,63,42
109,79,39
112,83,39
116,86,40
126,93,44
132,101,43
136,108,40
141,109,42
144,112,39
147,111,45
148,120,40
150,125,39
152,128,35
160,13,149
161,19,145
162,28,136
164,23,144
165,9,157
165,35,134
166,25,143
166,44,127
167,53,120
167,54,117
169,76,101
170,85,95
171,68,109
172,88,94
172,98,82
173,67,114
174,89,93
174,117,70
175,71,110
175,137,50
176,94,92
177,139,49
179,97,92
179,106,83
179,145,39
181,102,88
182,126,70
183,110,84
184,132,65
185,122,77
186,131,70
186,136,64
188,141,57
191,152,48
191,162,39
192,142,58
194,144,57
195,153,49
196,161,47
198,164,43
199,165,41
202,166,41
205,167,41
205,168,38
212,6,203
212,12,197
215,5,209
215,17,197
215,32,185
216,7,204
216,51,171
217,29,190
218,62,161
219,27,195
220,37,187
220,70,155
220,74,152
221,75,150
221,82,138
222,55,174
224,57,173
224,77,150
224,104,129
226,60,172
226,170,75
230,30,204
231,31,202
232,22,211
232,46,190
233,42,194
234,52,186
235,38,202
235,58,184
238,40,202
238,47,193
238,72,172
240,59,186
240,80,168
241,73,172
242,61,185
242,105,146
243,87,165
244,92,160
245,107,146
246,90,165
247,66,187
247,113,145
248,69,185
248,114,143
248,116,136
250,84,175
250,119,135
251,140,121
252,95,165
253,115,145
254,121,136
254,158,112
255,188,81
256,96,166
256,129,132
257,100,164
257,207,72
258,124,137
258,157,119
259,200,79
260,159,115
260,221,63
262,138,135
262,235,53
263,143,130
265,252,40
266,149,131
266,171,114
267,177,110
269,173,114
269,179,109
272,181,109
273,183,107
273,184,104
274,204,91
276,186,105
276,264,41
277,227,75
282,191,105
282,251,59
283,218,89
283,228,79
283,265,45
283,267,42
285,239,73
285,259,55
285,268,40
287,270,39
290,281,36
293,278,42
295,260,63
297,285,37
298,283,41
307,300,40
309,301,39
312,307,39
316,312,39
321,130,201
322,154,185
322,156,182
323,127,209
323,148,190
325,133,202
325,194,153
326,134,200
327,174,173
328,147,198
328,197,153
329,178,171
330,208,145
331,180,170
331,224,125
332,160,189
333,217,130
334,216,134
334,226,125
335,209,147
335,231,123
336,236,122
337,212,146
337,248,112
339,213,145
339,271,96
340,262,100
341,253,113
342,302,74
343,261,106
343,318,60
345,214,148
346,238,129
346,272,100
346,322,60
348,242,127
348,255,114
349,247,126
351,287,96
353,297,89
354,254,123
355,304,84
357,274,108
357,351,45
358,279,107
358,326,68
360,282,107
360,328,67
361,364,38
363,332,67
375,374,43
375,377,40
384,379,46
386,182,210
387,169,217
388,176,215
388,187,209
389,192,207
389,193,204
390,198,199
391,203,194
393,195,205
393,211,193
393,219,189
395,202,201
396,215,193
396,222,189
397,244,170
398,220,185
399,201,196
399,245,169
400,223,190
401,241,180
401,250,165
402,229,189
402,258,158
403,243,179
403,249,170
404,230,190
404,286,147
405,233,188
406,305,131
407,256,168
408,266,161
408,308,128
409,309,126
411,237,193
411,280,157
411,334,111
412,257,170
412,339,107
413,288,153
414,355,99
415,273,165
415,294,148
416,365,92
417,277,165
418,303,146
418,378,82
418,391,66
419,290,156
420,313,134
421,293,156
421,420,48
422,316,133
423,299,153
426,306,148
426,325,134
427,435,40
429,330,134
430,368,103
431,333,133
431,437,39
433,335,130
433,369,103
434,447,37
435,350,124
436,372,103
436,388,91
437,383,97
440,390,91
441,389,94
442,398,87
443,414,75
444,412,78
445,449,45
447,424,70
449,427,69
451,462,38
452,461,42
454,436,64
455,456,50
455,465,39
457,457,50
462,78,386
463,196,289
464,99,375
465,64,405
467,103,375
468,199,291
468,205,286
469,65,407
470,151,335
470,210,283
471,81,391
472,155,334
472,225,272
473,163,328
474,91,388
474,263,240
475,118,370
477,123,368
477,276,231
479,135,359
479,172,325
482,190,312
482,284,230
483,146,354
483,289,226
484,150,351
484,234,276
484,292,222
486,240,273
486,295,221
487,175,330
487,296,219
488,246,270
488,315,207
489,331,195
490,185,326
491,342,187
492,189,324
493,310,218
493,345,186
494,206,309
494,311,216
494,357,177
496,317,212
496,362,173
497,232,291
498,269,259
498,337,199
498,371,166
499,381,157
501,415,132
502,275,258
502,419,124
503,349,193
504,291,244
504,360,184
504,445,108
505,450,105
506,366,180
507,298,236
508,367,179
511,459,103
512,329,220
512,471,91
513,338,211
514,375,178
514,484,84
515,491,78
515,503,68
516,373,181
516,380,177
516,396,164
517,496,76
517,514,56
518,406,157
518,416,146
519,533,45
520,408,157
523,418,148
525,431,141
526,425,145
527,546,40
528,438,139
529,454,123
530,434,144
530,453,127
531,466,117
531,470,113
533,467,118
535,479,109
535,486,99
536,485,103
536,509,83
538,504,88
539,550,43
539,555,37
540,532,67
542,510,87
542,545,57
542,552,43
543,513,85
544,562,39
550,535,73
551,542,69
553,547,63
556,549,64
560,569,52
562,570,51
563,576,48
567,593,40
571,602,36
574,597,43
580,314,300
580,319,297
580,320,294
584,324,289
584,340,280
586,346,270
587,348,265
588,321,299
589,352,264
591,323,299
591,347,272
591,356,257
592,354,261
593,327,295
593,336,292
593,358,256
594,376,242
596,359,256
596,399,229
597,361,254
597,393,233
598,341,291
599,343,289
600,363,254
600,392,239
601,344,288
601,370,252
601,411,223
603,433,207
603,460,194
604,353,276
605,494,164
606,386,251
606,387,248
606,492,168
607,400,237
608,410,232
609,401,236
609,426,222
610,500,164
611,432,218
614,441,215
614,515,156
615,417,231
