step,tl_id,start_at_step,cycle_time
216,0,-1,221
467,0,220,251
748,0,471,281
1005,0,752,257
1253,0,1009,248
1498,0,1257,245
1731,0,1502,233
2084,0,1735,353
2380,0,2088,296
2616,0,2384,236
2879,0,2620,263
3103,0,2883,224
3339,0,3107,236
3617,0,3343,278
3958,0,3621,341
4287,0,3962,329
4418,0,4291,131
4726,0,4422,308
4932,0,4730,206
5207,0,4936,275
5569,0,5211,362
5862,0,5573,293
6107,0,5866,245
6445,0,6111,338
6705,0,6449,260
6950,0,6709,245
7375,0,6954,425
7740,0,7379,365
7922,0,7744,182
8194,0,7926,272
8517,0,8198,323
8792,0,8521,275
8911,0,8796,119
