step,veh_id,ttime
40,1,40
41,4,38
46,3,44
50,14,38
55,21,37
60,22,39
63,30,37
66,31,37
72,38,39
77,40,41
78,42,39
80,46,38
85,52,37
88,58,37
89,47,44
96,59,42
98,61,41
104,66,44
106,69,43
106,72,40
109,73,40
110,80,38
114,84,39
117,87,39
122,90,41
126,95,39
128,92,44
131,96,41
131,105,35
134,100,41
136,107,37
140,113,38
144,114,39
151,0,151
151,2,148
151,11,138
154,8,147
154,15,138
154,18,132
155,10,145
156,20,131
156,33,122
157,36,117
160,39,117
161,16,142
162,24,134
162,34,125
162,43,113
164,26,133
164,45,112
164,56,100
165,41,119
165,83,92
166,48,111
167,120,59
169,49,111
169,128,52
170,79,100
170,130,50
171,50,110
172,86,96
173,63,106
173,101,84
175,93,93
177,108,81
177,156,37
178,111,76
179,109,80
180,125,69
181,112,76
181,154,44
184,148,51
185,127,71
187,133,64
188,134,62
190,147,60
193,160,50
196,174,42
198,178,40
200,180,39
209,194,37
217,13,206
219,19,203
220,28,194
221,23,201
222,9,214
223,25,200
223,35,192
223,44,184
224,53,177
225,54,175
226,68,164
227,76,159
227,98,137
229,85,154
229,117,125
230,67,171
231,88,153
231,139,103
232,71,167
232,137,107
234,89,153
234,145,94
235,94,151
235,97,148
235,162,85
237,102,144
238,126,126
239,106,143
239,165,83
240,168,75
241,132,122
242,110,143
242,182,68
243,136,121
244,122,136
244,187,67
245,131,129
246,192,67
247,141,116
247,198,58
248,152,105
249,203,54
251,219,47
252,142,118
252,144,115
252,153,107
254,161,106
254,166,95
254,222,47
256,164,103
257,169,89
258,167,96
259,176,88
260,193,77
265,195,80
266,201,81
266,202,74
266,244,39
267,211,69
268,220,68
269,215,69
269,223,59
269,245,39
271,229,59
271,249,38
272,241,51
273,230,59
274,233,58
274,243,50
281,237,62
281,250,45
282,256,43
282,258,37
283,257,41
291,266,43
294,273,43
295,277,41
298,280,41
298,286,38
302,288,39
308,290,42
309,293,40
311,294,39
312,299,37
319,12,304
320,6,311
323,5,317
323,17,305
323,32,293
324,7,312
324,51,279
325,29,298
326,62,269
327,27,303
328,37,295
328,70,262
328,74,259
330,75,258
330,82,246
331,55,283
332,77,257
333,57,282
333,104,237
335,78,258
335,170,184
336,60,282
336,99,246
336,196,162
339,199,162
340,64,280
341,103,248
341,205,159
342,151,207
342,210,155
343,65,280
344,155,206
344,225,144
345,81,264
346,163,201
346,263,112
348,91,261
348,276,102
349,118,244
351,123,242
352,172,198
352,284,100
353,289,96
354,135,234
354,190,185
354,292,92
356,295,91
357,234,149
357,315,76
358,331,64
359,146,230
359,240,146
360,150,227
360,342,56
361,246,143
361,362,38
362,345,55
363,175,206
364,357,47
365,185,201
365,296,97
365,366,39
367,189,199
367,310,92
369,206,184
369,311,91
371,317,87
372,232,166
373,269,134
374,337,75
374,371,42
377,275,133
378,349,68
379,291,119
379,360,59
381,298,110
382,367,53
383,380,43
385,381,42
386,329,94
387,338,85
388,375,51
390,373,55
393,396,41
403,406,42
405,408,41
405,415,36
411,416,39
415,419,37
418,418,43
426,425,45
428,116,316
430,119,315
431,115,323
431,124,310
431,140,301
432,121,314
434,129,310
435,157,295
435,158,292
436,138,309
437,143,304
437,159,291
437,188,261
439,200,257
440,149,303
440,207,252
442,173,287
442,221,245
443,171,291
444,177,286
444,235,235
445,252,220
446,179,285
447,184,277
447,265,208
448,181,284
448,204,263
449,264,213
450,183,283
450,227,248
450,268,205
452,270,204
453,186,280
453,281,200
455,285,197
456,251,233
457,301,188
458,191,279
458,267,216
459,218,265
459,259,229
460,320,174
461,228,257
461,278,210
461,324,168
462,239,250
462,283,206
462,348,146
463,346,153
465,300,198
466,352,147
467,307,194
468,312,191
468,358,139
469,314,189
470,376,126
471,260,238
471,319,188
472,340,170
472,392,121
473,393,119
475,399,118
477,411,110
478,321,189
478,347,165
478,354,155
478,426,99
480,432,95
481,356,155
482,323,191
482,441,90
484,327,188
484,460,75
485,336,186
485,359,153
485,492,47
487,361,152
487,494,46
488,500,43
489,341,184
489,370,148
490,363,152
490,433,102
491,343,184
492,344,184
494,353,172
495,387,147
496,400,136
497,386,150
498,410,132
504,208,319
504,209,316
504,217,301
506,216,306
506,226,297
507,197,332
507,212,316
508,231,296
509,213,315
509,224,303
509,248,282
513,253,283
514,236,300
515,261,276
516,214,319
517,238,300
517,318,234
518,255,282
518,271,273
519,262,277
520,242,299
520,272,272
520,302,252
522,247,298
522,287,263
522,322,236
524,297,260
525,304,254
525,351,213
527,254,294
527,364,204
528,403,167
529,274,278
529,326,239
530,409,163
531,279,277
531,328,238
531,423,153
533,282,276
533,332,237
533,430,149
535,377,200
535,440,142
536,374,204
537,442,141
537,452,132
538,480,111
540,379,202
540,382,199
540,481,110
541,385,195
542,384,199
542,499,94
543,394,193
543,395,191
543,518,80
544,404,180
545,397,190
545,529,75
547,536,70
548,402,190
548,405,183
548,540,67
549,421,175
553,407,188
553,566,49
554,422,178
555,428,174
555,446,153
556,577,41
557,439,167
559,443,160
560,451,156
563,455,155
564,458,153
564,464,151
568,303,290
569,306,285
570,305,289
570,309,280
570,313,277
571,308,284
571,316,275
573,334,265
574,355,254
576,325,277
576,333,271
576,339,262
576,365,252
579,330,277
579,335,268
579,378,243
580,368,253
580,391,226
582,350,265
582,420,209
583,388,238
587,438,197
590,445,194
591,450,191
591,453,188
593,431,209
594,471,171
595,470,175
595,484,165
596,491,157
597,434,210
597,459,188
598,454,192
598,466,184
598,496,156
600,479,174
600,514,138
601,467,184
601,533,126
602,485,169
602,486,166
603,504,153
604,503,157
604,546,116
605,509,152
606,510,150
606,550,109
607,513,148
607,555,104
609,532,136
