,exp1,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max
ql_,61.68888888888889,33.32393399817057,7,118,61.68888888888889,33.32393399817057,7,118
veh_n_,67.84297520661157,31.035197293949658,7,118,67.84297520661157,31.035197293949658,7,118
delay_,65.45,33.985624741581994,7,118,65.45,33.985624741581994,7,118
throughput_,62.25581395348837,32.18605071246108,7,118,62.25581395348837,32.18605071246108,7,118
delay_prq_,63.69291338582677,32.2154236478414,7,118,63.69291338582677,32.2154236478414,7,118
delay_pwtl_,65.64102564102564,33.40541499013491,7,118,65.64102564102564,33.40541499013491,7,118
act_throughput_mqr_,60.014925373134325,32.92871888546528,7,118,60.014925373134325,32.92871888546528,7,118
veh_n_pwtl_,61.705882352941174,35.04327856449821,7,118,61.705882352941174,35.04327856449821,7,118
throughput_pwtl_,65.53543307086615,33.33352268412661,7,118,65.53543307086615,33.33352268412661,7,118
