step,tl_id,start_at_step,cycle_time
177,0,-1,182
485,0,181,308
784,0,489,299
1098,0,788,314
1454,0,1102,356
1741,0,1458,287
2001,0,1745,260
2255,0,2005,254
2527,0,2259,272
2793,0,2531,266
3038,0,2797,245
3286,0,3042,248
3624,0,3290,338
3845,0,3628,221
4063,0,3849,218
4254,0,4067,191
4562,0,4258,308
4849,0,4566,287
5223,0,4853,374
5399,0,5227,176
5626,0,5403,227
5928,0,5630,302
6185,0,5932,257
6529,0,6189,344
6771,0,6533,242
6962,0,6775,191
7171,0,6966,209
7500,0,7175,329
7802,0,7504,302
7984,0,7806,182
8229,0,7988,245
8441,0,8233,212
8779,0,8445,338
