,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,exp6,,,,exp7,,,,exp8,,,,exp9,,,,exp10,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,269.2,65.54671932135966,152,449,258.5,65.32875441829695,83,431,248.5142857142857,81.52602306610319,89,401,268.1290322580645,73.32200303477981,161,404,272.8709677419355,59.8407564209566,143,392,266.1818181818182,55.37793702451283,176,374,264.83870967741933,64.77350115296304,149,401,269.9375,76.43379488158364,107,401,251.91666666666666,78.18380358397219,113,377,263.8181818181818,69.90817841347969,146,455,263.21165644171776,69.02304845162557,83.0,455.0
veh_n_,256.11764705882354,60.73876736453059,155,398,250.05263157894737,58.389626702019065,125,362,267.0,62.900218600574036,152,392,262.3636363636364,57.52435255058188,164,410,261.62857142857143,72.64542644374302,116,410,250.83783783783784,59.93724195333793,155,407,260.70588235294116,57.9140059533227,113,371,277.9,67.88903217497781,113,392,274.4375,68.07203845452874,167,428,289.0,63.18609624451165,149,440,263.88615384615383,63.160981071501176,113.0,440.0
delay_,269.46875,67.15172246968176,119,383,265.29411764705884,53.25782310539113,179,371,251.77142857142857,73.95272166740591,92,422,271.1818181818182,62.350548586928326,164,407,260.79411764705884,68.38783314249059,149,380,270.1818181818182,64.33382398933635,119,425,274.80645161290323,66.04968804106936,152,419,268.2258064516129,65.17193142113628,137,383,261.4117647058824,72.45400532545136,116,386,277.8,60.41203351240089,164,389,266.3027950310559,65.21398344698227,92.0,425.0
throughput_,253.2058823529412,63.09433985648105,122,362,269.48387096774195,66.75521001776661,140,407,243.2,61.915882216021394,113,350,262.11764705882354,73.92697654417206,116,395,274.0,65.02095153049542,155,434,275.1,63.28498759715778,161,386,257.3636363636364,66.79952197705936,125,377,278.0,55.30641915727324,179,416,264.0833333333333,67.19752333871497,170,440,266.09375,60.09903620879295,131,437,263.0016077170418,63.76547880890952,113.0,434.0
delay_prq_,273.21875,67.198182759127,152,371,285.9,62.106887840571915,110,422,254.8181818181818,70.94251834471983,134,404,274.7096774193548,81.73868669868513,110,428,249.5,77.95548180119948,74,380,270.78125,56.62367815162977,164,380,300.39285714285717,58.232191228203796,167,416,236.0,78.5066704000195,107,407,260.0,65.18074417927971,119,392,267.4516129032258,69.21215630685958,98,401,266.3956386292835,70.05388002044572,74,428
delay_pwtl_,269.5806451612903,61.41540208207731,149,437,269.75,66.74361151016144,92,392,267.8333333333333,73.0046965221123,86,404,253.38235294117646,60.35250726929113,137,383,263.5625,52.95459863061028,134,359,263.0,64.0670012187342,104,398,263.97058823529414,68.81881582652164,107,398,262.51612903225805,68.57738741389998,107,416,256.29411764705884,57.65441947987593,155,401,278.3103448275862,78.56394276923909,107,452,264.55607476635515,64.94062169239214,86.0,452.0
act_throughput_mqr_,270.258064516129,64.61628677144047,125,425,271.8,78.19842136161239,128,395,276.2352941176471,65.7562343275615,143,401,251.97058823529412,77.6872070487634,104,410,287.51724137931035,75.52559674406287,137,422,243.23529411764707,84.71487251757185,110,407,296.0,62.1743932211147,206,419,263.7741935483871,55.414624831007295,158,410,234.83333333333334,64.17186744538897,122,398,253.9090909090909,58.20350270621801,164,395,264.1698113207547,70.91375955321081,104.0,425.0
veh_n_pwtl_,267.4516129032258,59.582905104108185,161,410,249.28571428571428,72.68164726214931,128,374,263.97058823529414,51.49609299338045,182,410,269.96774193548384,81.45939023872273,104,401,250.2941176470588,62.933119580288974,128,398,241.92307692307693,75.1561128288748,92,389,264.5882352941176,86.65994763478784,98,440,260.27272727272725,46.265722143445956,161,368,290.32142857142856,58.56813289218114,158,434,262.8235294117647,75.6064253274954,125,401,260.9770642201835,68.38521074781791,92.0,440.0
throughput_pwtl_,253.64705882352942,58.53560550895041,128,395,274.80645161290323,55.34944706428945,140,377,255.2,54.55207981154069,140,374,280.7096774193548,58.220382197524316,197,404,262.4375,71.59335772938536,101,425,244.91666666666666,67.37840900466558,110,371,255.37142857142857,70.85988067359153,104,404,264.72727272727275,71.42359235892958,113,449,261.6875,68.57557051142733,125,401,278.7741935483871,64.03421464468265,92,404,262.43518518518516,64.64526059907452,92.0,449.0
