,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,286.0430840543881,329.93579819165734,-0.99,997.97,253.497348578492,339.64197776614844,-0.99,1294.53,237.06286155747839,300.63327179523014,-0.99,1073.65,321.1414771322621,360.2932353642423,-0.99,1257.33,254.1767058096415,310.87215603012976,-0.99,1318.79,298.27350172456664,300.5691116393532,-0.98,1251.2
veh_n_,327.1597713226205,512.7437586797485,-0.99,1952.03,214.1208343634116,246.39405360515545,-0.99,1164.17,235.9904264524104,231.98967885648773,-0.99,792.13,262.70019159456115,399.9267928815319,-0.99,1476.92,195.81514833127315,295.5746720414127,-0.99,1120.66,297.22614664864693,380.80187859762776,-0.89,1948.64
delay_,252.96743510506798,365.7248965751971,-0.99,1426.29,226.33010506798513,335.85614403899046,-0.99,1240.85,263.8476576019778,355.30848545257675,-0.99,1147.73,297.35655747836836,381.88608731865867,-0.99,1299.68,232.51996909765143,240.93456764662872,-0.99,831.37,287.46082134729824,310.8031453101979,-0.89,1423.96
throughput_,135.2479048207664,154.91490359880297,-0.99,695.12,315.50773176761436,341.5211068533926,-0.99,1324.22,274.5848640296662,280.1272501238912,-0.99,1201.13,303.52577873918415,447.8711673412172,-0.99,2108.35,356.18857231149565,410.52032274158597,-0.99,1326.88,325.2011078442176,365.2952854823621,-0.95,2108.35
delay_prq_,230.40958590852907,288.98537436734364,-0.99,1486.22,265.61588998763904,334.11183463549503,-0.99,1210.86,337.3565574783684,465.97687729425445,-0.99,1811.89,284.3684239802225,379.8974374331559,-0.99,1466.14,198.0549505562423,205.24097452136283,-0.99,759.59,316.9023526214386,368.7169992757673,-0.9199999999999999,1810.99
delay_pwtl_,289.2590296662546,282.177042066174,-0.99,1079.12,277.729239802225,349.0427353636341,-0.99,1271.14,219.64110630407913,256.24767223305804,-0.99,949.77,267.94271322620517,310.85959671878436,-0.99,1236.51,202.22553152039552,271.4135973540232,-0.99,1010.13,275.8693248996909,275.81853225885595,-0.92,1271.14
act_throughput_mqr_,273.2990791100123,281.9386916466106,-0.99,960.62,235.3655809641533,338.61846158466255,-0.99,1507.23,244.4244190358467,239.05890770686977,-0.99,835.09,289.3927750309023,366.8706243922148,-0.99,1170.29,220.17967243510506,247.38665677339114,-0.99,1069.11,276.28452058896534,277.02089167836397,-0.98,1506.29
veh_n_pwtl_,324.7750988875154,518.1936021927172,-0.99,2038.66,296.186347342398,482.6704389544128,-0.99,1697.81,231.93430778739184,256.51551317318194,-0.99,902.81,205.17991965389368,217.0088972263401,-0.99,689.6,323.665457354759,387.99042880756724,-0.99,1386.5,330.56708885685384,401.82161233886956,-0.99,2038.66
throughput_pwtl_,253.7700309023486,260.5647757611788,-0.99,1134.35,361.3440729295427,392.6731027728763,-0.99,1594.99,250.26076019777506,306.89597618173747,-0.99,1300.16,320.02750927070457,367.0440862422844,-0.99,1176.62,253.211934487021,255.33439649197877,-0.99,949.34,322.2224301345122,315.8437344637661,-0.97,1594.99
