step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
40.00,1,-0.89,40.00,615.10,0.00,0,5.36
41.00,4,-0.56,38.00,615.10,0.00,0,6.91
46.00,3,-0.67,44.00,615.10,2.00,1,14.48
50.00,14,-0.46,38.00,615.10,0.00,0,5.20
55.00,21,-0.69,37.00,615.10,0.00,0,4.71
60.00,22,1.42,39.00,615.10,0.00,0,5.67
63.00,30,-0.70,37.00,617.75,0.00,0,8.70
66.00,31,1.41,37.00,596.93,0.00,0,9.47
72.00,38,-0.82,39.00,596.93,0.00,0,9.64
77.00,40,0.40,41.00,596.93,0.00,0,9.88
78.00,42,1.62,39.00,617.75,0.00,0,7.78
80.00,46,1.06,38.00,615.10,0.00,0,5.80
85.00,52,1.72,37.00,615.10,0.00,0,5.33
88.00,58,-0.62,37.00,615.10,0.00,0,5.88
89.00,47,3.17,44.00,617.75,0.00,0,6.36
96.00,59,1.49,42.00,617.75,0.00,0,7.45
98.00,61,2.71,41.00,617.75,0.00,0,11.39
104.00,66,1.26,44.00,617.75,0.00,0,7.45
106.00,69,1.59,43.00,617.75,0.00,0,10.15
106.00,72,1.92,40.00,615.10,0.00,0,5.88
109.00,73,4.03,40.00,596.93,0.00,0,9.55
114.00,0,0.00,114.00,615.10,72.00,1,83.64
115.00,2,1.22,112.00,615.10,67.00,1,80.41
116.00,11,3.21,103.00,617.75,58.00,1,70.70
118.00,8,-0.12,111.00,596.93,63.00,1,76.69
118.00,18,5.98,96.00,615.10,46.00,1,61.65
119.00,15,2.65,103.00,615.10,54.00,1,68.12
120.00,10,1.10,110.00,596.93,63.00,1,80.13
120.00,20,7.20,95.00,615.10,47.00,1,63.68
120.00,33,4.63,86.00,615.10,38.00,1,58.67
122.00,36,7.96,82.00,615.10,29.00,1,48.77
124.00,16,4.76,105.00,596.93,55.00,1,69.19
124.00,39,8.29,81.00,615.10,27.00,2,45.53
126.00,24,6.64,98.00,617.75,43.00,1,57.40
126.00,34,6.74,89.00,596.93,37.00,1,56.53
126.00,43,10.73,77.00,615.10,25.00,1,45.70
127.00,26,7.86,96.00,617.75,43.00,1,60.16
127.00,45,11.95,75.00,596.93,24.00,1,46.25
128.00,56,14.16,64.00,615.10,14.00,1,28.23
129.00,41,9.51,83.00,617.75,29.00,1,48.48
129.00,83,-0.87,56.00,615.10,4.00,1,23.28
131.00,48,12.28,76.00,615.10,23.00,1,39.55
133.00,49,14.39,75.00,596.93,19.00,1,37.59
135.00,50,16.50,74.00,617.75,17.00,1,35.58
135.00,79,-0.31,65.00,596.93,10.00,1,35.49
136.00,86,-0.54,60.00,596.93,5.00,1,28.06
137.00,63,10.93,70.00,617.75,13.00,1,36.33
139.00,101,-0.89,50.00,596.93,0.00,0,16.57
140.00,93,-0.77,58.00,617.75,0.00,0,22.32
142.00,108,-0.12,46.00,617.75,0.00,0,14.59
145.00,109,1.99,46.00,617.75,0.00,0,11.32
146.00,112,5.32,41.00,617.75,0.00,0,11.14
147.00,111,3.21,45.00,596.93,0.00,0,7.75
147.00,120,1.20,39.00,615.10,0.00,0,5.24
149.00,125,-0.25,38.00,596.93,0.00,0,10.52
152.00,128,3.08,35.00,615.10,0.00,0,5.75
158.00,130,4.30,38.00,615.10,0.00,0,6.65
161.00,127,0.97,47.00,596.93,0.00,0,8.16
163.00,133,4.63,40.00,596.93,0.00,0,9.78
165.00,134,6.74,39.00,596.93,0.00,0,12.35
171.00,147,-0.83,41.00,596.93,0.00,0,9.26
174.00,154,-0.06,37.00,615.10,0.00,0,6.58
175.00,148,1.28,42.00,617.75,0.00,0,7.62
175.00,156,1.16,35.00,615.10,0.00,0,7.90
188.00,160,0.60,45.00,596.93,0.00,0,8.51
196.00,174,-0.86,42.00,617.75,0.00,0,7.08
199.00,13,-0.57,188.00,596.93,147.00,1,159.39
201.00,19,-0.91,185.00,596.93,143.00,1,157.07
202.00,23,-0.47,182.00,615.10,136.00,1,146.39
202.00,28,1.08,176.00,615.10,133.00,1,147.53
204.00,9,-0.01,196.00,617.75,145.00,1,157.69
205.00,25,0.75,182.00,615.10,132.00,1,145.23
205.00,35,-0.15,174.00,615.10,129.00,1,142.10
205.00,44,-0.16,166.00,596.93,120.00,1,135.21
207.00,53,-0.17,160.00,615.10,108.00,1,130.24
207.00,54,1.94,157.00,615.10,110.00,1,125.04
