step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
40.00,1,-0.89,40.00,615.10,0.00,0,5.36
41.00,4,-0.56,38.00,615.10,0.00,0,6.91
46.00,3,-0.67,44.00,615.10,2.00,1,14.48
50.00,14,-0.46,38.00,615.10,0.00,0,5.20
55.00,21,-0.69,37.00,615.10,0.00,0,4.71
60.00,22,1.42,39.00,615.10,0.00,0,5.68
62.00,30,-0.70,36.00,617.75,0.00,0,7.62
69.00,0,0.00,69.00,615.10,27.00,1,38.97
70.00,2,1.22,67.00,615.10,22.00,1,35.22
70.00,11,3.21,57.00,617.75,13.00,1,24.65
73.00,8,-0.12,66.00,596.93,18.00,1,31.81
73.00,15,2.65,57.00,615.10,9.00,1,22.86
73.00,18,5.98,51.00,615.10,1.00,1,16.52
75.00,10,1.10,65.00,596.93,18.00,1,35.56
75.00,20,7.20,50.00,615.10,2.00,1,18.32
76.00,33,4.63,42.00,615.10,0.00,0,14.75
79.00,16,4.76,60.00,596.93,10.00,1,24.37
81.00,24,6.64,53.00,617.75,0.00,0,12.95
81.00,26,7.86,50.00,617.75,0.00,0,14.20
81.00,34,6.74,44.00,596.93,0.00,0,11.90
81.00,36,7.96,41.00,615.10,0.00,0,7.69
85.00,39,8.29,42.00,615.10,0.00,0,6.00
86.00,43,10.73,37.00,615.10,0.00,0,6.30
88.00,41,9.51,42.00,617.75,0.00,0,7.02
92.00,45,11.95,40.00,596.93,0.00,0,9.72
97.00,13,-0.57,86.00,596.93,45.00,1,57.72
99.00,19,-0.91,83.00,596.93,41.00,1,55.29
100.00,28,1.08,74.00,615.10,31.00,1,45.42
101.00,23,-0.47,81.00,615.10,34.00,1,44.45
102.00,35,-0.15,71.00,615.10,27.00,1,39.93
103.00,9,-0.01,95.00,617.75,43.00,1,55.93
103.00,25,0.75,80.00,615.10,30.00,1,43.31
103.00,44,-0.16,64.00,596.93,18.00,1,33.22
104.00,53,-0.17,57.00,615.10,7.00,1,28.11
104.00,54,1.94,54.00,615.10,7.00,1,22.38
106.00,76,0.36,38.00,615.10,0.00,0,6.98
108.00,68,1.48,46.00,615.10,0.00,0,14.81
110.00,67,-0.63,51.00,617.75,0.00,0,14.77
113.00,71,1.81,48.00,617.75,0.00,0,14.24
118.00,12,4.32,103.00,615.10,59.00,1,72.59
119.00,6,3.66,110.00,617.75,66.00,1,78.36
121.00,32,1.52,91.00,615.10,42.00,2,59.20
122.00,5,1.55,116.00,596.93,66.00,1,77.61
122.00,17,2.87,104.00,615.10,56.00,1,69.93
123.00,51,-0.39,78.00,596.93,33.00,1,50.97
124.00,7,5.77,112.00,617.75,61.00,1,74.05
124.00,29,1.19,97.00,615.10,45.00,2,62.36
125.00,27,-0.03,101.00,617.75,52.00,1,66.03
125.00,62,1.82,68.00,615.10,18.00,1,36.63
126.00,74,2.14,58.00,596.93,10.00,1,24.49
127.00,37,0.07,94.00,617.75,43.00,1,65.41
127.00,70,2.70,62.00,615.10,14.00,1,30.42
128.00,75,4.25,57.00,596.93,9.00,1,25.13
128.00,82,10.02,45.00,615.10,0.00,0,13.84
129.00,55,-0.95,81.00,617.75,32.00,1,47.29
130.00,57,0.27,79.00,617.75,30.00,1,50.28
131.00,77,5.47,57.00,596.93,7.00,1,23.85
133.00,60,0.60,79.00,617.75,29.00,1,47.83
133.00,78,6.58,57.00,596.93,6.00,1,25.44
135.00,99,0.89,46.00,596.93,0.00,0,16.09
138.00,64,3.04,78.00,617.75,25.00,1,42.44
139.00,103,0.33,47.00,596.93,0.00,0,13.85
140.00,104,2.44,45.00,615.10,0.00,0,9.38
141.00,65,4.15,79.00,617.75,22.00,1,40.88
142.00,81,7.91,62.00,617.75,8.00,1,28.82
146.00,91,5.01,60.00,617.75,2.00,1,22.61
147.00,118,-0.02,42.00,617.75,0.00,0,8.38
149.00,123,-0.47,40.00,617.75,0.00,0,7.45
161.00,135,-0.15,41.00,617.75,0.00,0,8.45
174.00,146,-0.94,45.00,617.75,0.00,0,7.40
175.00,150,-0.50,42.00,617.75,0.00,0,7.47
177.00,151,1.61,41.00,596.93,0.00,0,9.15
178.00,155,1.05,39.00,596.93,0.00,0,10.44
183.00,163,-0.07,38.00,596.93,0.00,0,9.85
186.00,170,-0.30,35.00,615.10,0.00,0,5.47
198.00,172,0.92,44.00,596.93,0.00,0,8.10
