step,tl_id,start_at_step,cycle_time
216,0,-1,221
587,0,220,371
880,0,591,293
1206,0,884,326
1364,0,1210,158
1552,0,1368,188
1758,0,1556,206
2030,0,1762,272
2272,0,2034,242
2523,0,2276,251
2798,0,2527,275
3028,0,2802,230
3216,0,3032,188
3356,0,3220,140
3553,0,3360,197
3855,0,3557,302
4112,0,3859,257
4435,0,4116,323
4749,0,4439,314
5045,0,4753,296
5230,0,5049,185
5475,0,5234,245
5834,0,5479,359
6175,0,5838,341
6429,0,6179,254
6746,0,6433,317
7033,0,6750,287
7356,0,7037,323
7718,0,7360,362
7942,0,7722,224
8349,0,7946,407
