step,tl_id,reward_type,previous,current,max,reward
25,0,throughput_queueratio,0.0,0.9875299281723863,2,0.49376496408619314
25,0,reward_with_penalty,0.49376496408619314,0.49376496408619314,0.22270013882530884,0.27106482526088427
81,0,throughput_queueratio,0.16666666666666666,0.8752992817238627,2,0.5209829741952647
81,0,reward_with_penalty,0.5209829741952647,0.5209829741952647,0.7772998611746911,-0.25631688697942634
158,0,throughput_queueratio,0.4250000000000001,0.7505985634477255,2,0.5877992817238628
158,0,reward_with_penalty,0.5877992817238628,0.5877992817238628,0.8621583430350643,-0.2743590613112016
274,0,throughput_queueratio,0.6000000000000001,0.6196628092577813,2,0.6098314046288906
274,0,reward_with_penalty,0.6098314046288906,0.6098314046288906,0.9820137900379085,-0.3721823854090178
363,0,throughput_queueratio,0.925,0.5947226656025538,2,0.7598613328012769
363,0,reward_with_penalty,0.7598613328012769,0.7598613328012769,0.26894142136999516,0.4909199114312817
452,0,throughput_queueratio,0.7,0.6071927374301676,2,0.6535963687150838
452,0,reward_with_penalty,0.6535963687150838,0.6535963687150838,0.15886910488091513,0.49472726383416865
544,0,throughput_queueratio,0.7,0.5947226656025538,2,0.6473613328012768
544,0,reward_with_penalty,0.6473613328012768,0.6473613328012768,0.1824255238063564,0.46493580899492043
570,0,throughput_queueratio,0.7250000000000001,0.632132881085395,2,0.6785664405426975
570,0,reward_with_penalty,0.6785664405426975,0.6785664405426975,0.04742587317756678,0.6311405673651308
674,0,throughput_queueratio,0.175,0.5011971268954508,2,0.3380985634477254
674,0,reward_with_penalty,0.3380985634477254,0.3380985634477254,0.8519528019683106,-0.5138542385205852
715,0,throughput_queueratio,0.825,0.5884876296887469,2,0.7067438148443734
715,0,reward_with_penalty,0.7067438148443734,0.7067438148443734,0.04742587317756678,0.6593179416668067
750,0,throughput_queueratio,0.30000000000000004,0.6009577015163607,2,0.4504788507581804
750,0,reward_with_penalty,0.4504788507581804,0.4504788507581804,0.04742587317756678,0.4030529775806136
797,0,throughput_queueratio,0.25,0.6695430965682362,2,0.4597715482841181
797,0,reward_with_penalty,0.4597715482841181,0.4597715482841181,0.04742587317756678,0.4123456751065513
892,0,throughput_queueratio,0.35,0.42637669592976846,2,0.3881883479648842
892,0,reward_with_penalty,0.3881883479648842,0.3881883479648842,0.8048153229861598,-0.41662697502127555
1011,0,throughput_queueratio,0.75,0.4513168395849959,2,0.600658419792498
1011,0,reward_with_penalty,0.600658419792498,0.600658419792498,0.5825702064623147,0.01808821333018329
1133,0,throughput_queueratio,0.95,0.5136671987230645,2,0.7318335993615322
1133,0,reward_with_penalty,0.7318335993615322,0.7318335993615322,0.5621765008857982,0.16965709847573407
1246,0,throughput_queueratio,0.9750000000000002,0.5199022346368715,2,0.7474511173184358
1246,0,reward_with_penalty,0.7474511173184358,0.7474511173184358,0.1824255238063564,0.5650255935120794
1290,0,throughput_queueratio,0.8999999999999998,0.5947226656025538,2,0.7473613328012768
1290,0,reward_with_penalty,0.7473613328012768,0.7473613328012768,0.04742587317756678,0.6999354596237101
1400,0,throughput_queueratio,0.32499999999999996,0.401436552274541,2,0.3632182761372705
1400,0,reward_with_penalty,0.3632182761372705,0.3632182761372705,0.437823499114202,-0.0746052229769315
1471,0,throughput_queueratio,0.875,0.42637669592976846,2,0.6506883479648842
1471,0,reward_with_penalty,0.6506883479648842,0.6506883479648842,0.04742587317756678,0.6032624747873174
1575,0,throughput_queueratio,0.55,0.3952015163607342,2,0.4726007581803671
1575,0,reward_with_penalty,0.4726007581803671,0.4726007581803671,0.0819105771553252,0.39069018102504194
1598,0,throughput_queueratio,0.825,0.3016759776536312,2,0.5633379888268155
1598,0,reward_with_penalty,0.5633379888268155,0.5633379888268155,0.04742587317756678,0.5159121156492488
1648,0,throughput_queueratio,0.15000000000000002,0.2954409417398244,2,0.2227204708699122
1648,0,reward_with_penalty,0.2227204708699122,0.2227204708699122,0.04742587317756678,0.17529459769234543
1704,0,throughput_queueratio,0.375,0.3515562649640861,2,0.36327813248204305
1704,0,reward_with_penalty,0.36327813248204305,0.36327813248204305,0.04742587317756678,0.31585225930447625
1760,0,throughput_queueratio,0.4250000000000001,0.3889664804469273,2,0.40698324022346366
1760,0,reward_with_penalty,0.40698324022346366,0.40698324022346366,0.04742587317756678,0.35955736704589686
1804,0,throughput_queueratio,0.4250000000000001,0.4513168395849959,2,0.43815841979249803
1804,0,reward_with_penalty,0.43815841979249803,0.43815841979249803,0.04742587317756678,0.39073254661493123
1926,0,throughput_queueratio,0.32499999999999996,0.28297086991221065,2,0.3039854349561053
1926,0,reward_with_penalty,0.3039854349561053,0.3039854349561053,0.8296760813561542,-0.5256906464000489
1997,0,throughput_queueratio,0.9750000000000002,0.45755187549880283,2,0.7162759377494015
1997,0,reward_with_penalty,0.7162759377494015,0.7162759377494015,0.04742587317756678,0.6688500645718347
2023,0,throughput_queueratio,0.55,0.3640263367916998,2,0.45701316839584993
2023,0,reward_with_penalty,0.45701316839584993,0.45701316839584993,0.04742587317756678,0.40958729521828313
2094,0,throughput_queueratio,0.175,0.357791300877893,2,0.26639565043894653
2094,0,reward_with_penalty,0.26639565043894653,0.26639565043894653,0.06496916912866407,0.20142648131028246
2162,0,throughput_queueratio,0.55,0.3453212290502793,2,0.44766061452513967
2162,0,reward_with_penalty,0.44766061452513967,0.44766061452513967,0.22270013882530884,0.22496047569983083
2206,0,throughput_queueratio,0.525,0.45755187549880283,2,0.4912759377494014
2206,0,reward_with_penalty,0.4912759377494014,0.4912759377494014,0.04742587317756678,0.4438500645718346
2319,0,throughput_queueratio,0.32499999999999996,0.3515562649640861,2,0.338278132482043
2319,0,reward_with_penalty,0.338278132482043,0.338278132482043,0.1824255238063564,0.15585260867568662
2339,0,throughput_queueratio,0.8999999999999998,0.33285115722266545,2,0.6164255786113326
2339,0,reward_with_penalty,0.6164255786113326,0.6164255786113326,0.04742587317756678,0.5689997054337659
2356,0,throughput_queueratio,0.125,0.38273144453312047,2,0.25386572226656023
2356,0,reward_with_penalty,0.25386572226656023,0.25386572226656023,0.04742587317756678,0.20643984908899346
2391,0,throughput_queueratio,0.1,0.32661612130885864,2,0.2133080606544293
2391,0,reward_with_penalty,0.2133080606544293,0.2133080606544293,0.04742587317756678,0.16588218747686254
2432,0,throughput_queueratio,0.25,0.37649640861931355,2,0.3132482043096568
2432,0,reward_with_penalty,0.3132482043096568,0.3132482043096568,0.04742587317756678,0.26582233113209
2464,0,throughput_queueratio,0.30000000000000004,0.3016759776536312,2,0.3008379888268156
2464,0,reward_with_penalty,0.3008379888268156,0.3008379888268156,0.04742587317756678,0.2534121156492488
2499,0,throughput_queueratio,0.22499999999999995,0.3515562649640861,2,0.28827813248204304
2499,0,reward_with_penalty,0.28827813248204304,0.28827813248204304,0.04742587317756678,0.24085225930447626
2588,0,throughput_queueratio,0.25,0.24556065442936947,2,0.24778032721468474
2588,0,reward_with_penalty,0.24778032721468474,0.24778032721468474,0.06496916912866407,0.18281115808602066
2671,0,throughput_queueratio,0.7,0.2517956903431763,2,0.4758978451715881
2671,0,reward_with_penalty,0.4758978451715881,0.4758978451715881,0.04742587317756678,0.4284719719940213
2757,0,throughput_queueratio,0.6499999999999999,0.2954409417398244,2,0.47272047086991215
2757,0,reward_with_penalty,0.47272047086991215,0.47272047086991215,0.05554926015761178,0.41717121071230034
2816,0,throughput_queueratio,0.675,0.3079110135674381,2,0.4914555067837191
2816,0,reward_with_penalty,0.4914555067837191,0.4914555067837191,0.04742587317756678,0.4440296336061523
2878,0,throughput_queueratio,0.4499999999999999,0.33908619313647237,2,0.39454309656823616
2878,0,reward_with_penalty,0.39454309656823616,0.39454309656823616,0.04742587317756678,0.34711722339066936
2895,0,throughput_queueratio,0.475,0.29544094173982427,2,0.3852204708699121
2895,0,reward_with_penalty,0.3852204708699121,0.3852204708699121,0.04742587317756678,0.3377945976923453
2924,0,throughput_queueratio,0.1,0.3453212290502793,2,0.22266061452513963
2924,0,reward_with_penalty,0.22266061452513963,0.22266061452513963,0.04742587317756678,0.17523474134757286
