step,tl_id,start_at_step,cycle_time
240,0,-1,245
476,0,244,236
823,0,480,347
1044,0,827,221
1304,0,1048,260
1708,0,1308,404
2019,0,1712,311
2213,0,2023,194
2572,0,2217,359
2901,0,2576,329
2993,0,2905,92
3250,0,2997,257
3564,0,3254,314
3809,0,3568,245
4087,0,3813,278
4395,0,4091,308
4655,0,4399,260
4993,0,4659,338
5298,0,4997,305
5549,0,5302,251
5815,0,5553,266
6159,0,5819,344
6383,0,6163,224
6631,0,6387,248
6876,0,6635,245
7163,0,6880,287
7462,0,7167,299
7860,0,7466,398
8186,0,7864,326
8449,0,8190,263
8637,0,8453,188
