step,tl_id,new_state
21,0,1
140,0,2
226,0,3
240,0,0
308,0,1
391,0,2
405,0,3
476,0,0
535,0,1
621,0,2
725,0,3
823,0,0
903,0,1
917,0,2
1018,0,3
1044,0,0
1115,0,1
1147,0,2
1209,0,3
1304,0,0
1414,0,1
1533,0,2
1616,0,3
1708,0,0
1806,0,1
1874,0,2
1981,0,3
2019,0,0
2126,0,1
2146,0,2
2196,0,3
2213,0,0
2302,0,1
2415,0,2
2495,0,3
2572,0,0
2688,0,1
2801,0,2
2821,0,3
2901,0,0
2927,0,1
2947,0,2
2973,0,3
2993,0,0
3040,0,1
3105,0,2
3173,0,3
3250,0,0
3360,0,1
3473,0,2
3496,0,3
3564,0,0
3602,0,1
3694,0,2
3735,0,3
3809,0,0
3856,0,1
3972,0,2
4004,0,3
4087,0,0
4200,0,1
4214,0,2
4312,0,3
4395,0,0
4445,0,1
4489,0,2
4557,0,3
4655,0,0
4762,0,1
4848,0,2
4952,0,3
4993,0,0
5037,0,1
5135,0,2
5176,0,3
5298,0,0
5315,0,1
5392,0,2
5499,0,3
5549,0,0
5659,0,1
5715,0,2
5741,0,3
5815,0,0
5871,0,1
5939,0,2
6040,0,3
6159,0,0
6236,0,1
6289,0,2
6342,0,3
6383,0,0
6409,0,1
6465,0,2
6587,0,3
6631,0,0
6717,0,1
6788,0,2
6829,0,3
6876,0,0
6986,0,1
7006,0,2
7128,0,3
7163,0,0
7183,0,1
7254,0,2
7361,0,3
7462,0,0
7551,0,1
7670,0,2
7759,0,3
7860,0,0
7976,0,1
8068,0,2
8172,0,3
8186,0,0
8293,0,1
8370,0,2
8411,0,3
8449,0,0
8478,0,1
8564,0,2
8596,0,3
8637,0,0
8648,0,1
8749,0,2
8826,0,3
