step,tl_id,previous_state,current_state,action,reward
25,0,0_0_2_0_2,1_2_2_2_1,33,0.9376496408619314
126,0,1_2_2_2_1,5_2_5_4_2,32,0.7547209012419779
200,0,5_2_5_4_2,7_5_1_8_3,23,0.6836592178770949
283,0,7_5_1_8_3,9_6_4_1_0,26,0.670235878336437
363,0,9_6_4_1_0,1_10_7_4_1,25,0.6329505907134353
401,0,1_10_7_4_1,3_7_8_6_2,11,0.6383679169992018
445,0,3_7_8_6_2,4_8_4_7_3,13,0.6383679169992018
480,0,4_8_4_7_3,5_9_5_4_0,10,0.6446029529130087
581,0,5_9_5_4_0,2_11_9_8_1,32,0.5087203933699616
643,0,2_11_9_8_1,4_5_11_9_2,19,0.5351434335372882
705,0,4_5_11_9_2,6_6_6_12_3,19,0.535836215305489
788,0,6_6_6_12_3,9_9_6_3_0,26,0.5434568147556973
853,0,9_9_6_3_0,3_12_9_5_1,20,0.534217877094972
909,0,3_12_9_5_1,5_7_11_8_2,17,0.5254444887824776
923,0,5_7_11_8_2,5_7_10_8_3,3,0.5233661434778754
1006,0,5_7_10_8_3,8_11_11_2_0,26,0.4839385474860335
1047,0,8_11_11_2_0,6_11_12_4_1,12,0.480413673849428
1100,0,6_11_12_4_1,7_7_13_4_2,16,0.4970404362862463
1117,0,7_7_13_4_2,7_7_12_5_3,4,0.5115888534184623
1209,0,7_7_12_5_3,10_9_13_2_0,29,0.42527932960893855
1280,0,10_9_13_2_0,4_12_13_6_1,22,0.4499312760485944
1339,0,4_12_13_6_1,5_7_13_8_2,18,0.4887270550678372
1362,0,5_7_13_8_2,6_7_11_8_3,6,0.512281635186663
1427,0,6_7_11_8_3,7_9_13_3_0,20,0.48254189944134085
1522,0,7_9_13_3_0,1_13_13_8_1,30,0.4513168395849959
1572,0,1_13_13_8_1,5_7_13_11_2,15,0.4665580384854128
1655,0,5_7_13_11_2,8_9_5_13_3,26,0.4817992373858295
1735,0,8_9_5_13_3,10_12_9_7_0,25,0.43953954952558305
1839,0,10_12_9_7_0,2_13_13_9_1,33,0.4273743016759777
1949,0,2_13_13_9_1,4_5_13_13_2,35,0.48664870976323493
2011,0,4_5_13_13_2,6_6_7_13_3,19,0.4887270550678372
2052,0,6_6_7_13_3,7_8_9_9_0,12,0.477642546776625
2141,0,7_8_9_9_0,1_13_13_12_1,28,0.38273144453312047
2221,0,1_13_13_12_1,4_5_13_13_2,25,0.4388467677573822
2253,0,4_5_13_13_2,5_7_8_13_3,9,0.477642546776625
2366,0,5_7_8_13_3,9_12_13_8_0,36,0.38619535337412425
2452,0,9_12_13_8_0,3_13_13_12_1,27,0.372905027932961
2535,0,3_13_13_12_1,6_6_13_13_2,26,0.42360556885696543
2558,0,6_6_13_13_2,6_7_13_13_3,6,0.4062860246519463
2623,0,6_7_13_13_3,10_9_13_7_0,20,0.39727986166533646
2736,0,10_9_13_7_0,2_11_13_10_1,36,0.3812849162011174
2753,0,2_11_13_10_1,2_10_13_11_2,4,0.38965926221512814
2767,0,2_10_13_11_2,2_10_12_11_3,3,0.4049004611155449
2871,0,2_10_12_11_3,5_13_13_3_0,33,0.4194488782477609
2888,0,5_13_13_3_0,4_13_13_4_1,4,0.4229127870887647
2920,0,4_13_13_4_1,5_9_13_6_2,9,0.46032300257160585
3042,0,5_9_13_6_2,10_13_2_9_3,39,0.45547353019420056
3056,0,10_13_2_9_3,11_13_3_8_0,3,0.4520096213531968
3109,0,11_13_3_8_0,6_13_5_9_1,16,0.46019553072625696
3219,0,6_13_5_9_1,10_3_11_12_2,35,0.4277622594661701
3320,0,10_3_11_12_2,13_6_3_13_3,32,0.4182960893854749
3388,0,13_6_3_13_3,13_10_6_8_0,21,0.42152722355236316
3438,0,13_10_6_8_0,8_13_8_9_1,15,0.3868881351423251
3509,0,8_13_8_9_1,11_7_11_12_2,22,0.3335439389908663
3535,0,11_7_11_12_2,12_8_10_13_3,7,0.31345326771304416
3624,0,12_8_10_13_3,13_12_13_4_0,28,0.32800168484526027
3635,0,13_12_13_4_0,12_12_13_5_1,2,0.3189955218586502
3712,0,12_12_13_5_1,13_5_13_8_2,24,0.343242883745677
3789,0,13_5_13_8_2,13_7_6_10_3,24,0.3917376075197304
3881,0,13_7_6_10_3,13_10_10_2_0,29,0.41390662410215473
3988,0,13_10_10_2_0,6_13_13_8_1,34,0.357791300877893
4107,0,6_13_13_8_1,10_3_13_11_2,38,0.372339718010109
4154,0,10_3_13_11_2,12_4_8_12_3,14,0.3903520439833289
4249,0,12_4_8_12_3,13_6_12_4_0,30,0.398665425201738
4260,0,13_6_12_4_0,12_6_12_5_1,2,0.39589429812893495
4361,0,12_6_12_5_1,13_2_13_8_2,32,0.36964809048447644
4372,0,13_2_13_8_2,13_3_12_9_3,2,0.3868881351423251
4476,0,13_3_12_9_3,13_6_13_2_0,33,0.3868199926733218
4496,0,13_6_13_2_0,11_7_13_2_1,5,0.4145994058703556
4543,0,11_7_13_2_1,12_5_13_4_2,14,0.42807262569832405
4653,0,12_5_13_4_2,13_11_4_9_3,35,0.44092511306198445
4709,0,13_11_4_9_3,13_13_5_4_0,17,0.45530726256983234
4780,0,13_13_5_4_0,7_13_9_7_1,22,0.47694976500842423
4809,0,7_13_9_7_1,10_8_10_7_2,8,0.4824920191540303
4874,0,10_8_10_7_2,13_12_5_9_3,20,0.41390662410215473
4894,0,13_12_5_9_3,13_13_6_7_0,5,0.3979726434335372
