step,tl_id,start_at_step,cycle_time
168,0,-1,173
551,0,172,383
796,0,555,245
972,0,800,176
1175,0,976,203
1375,0,1179,200
1530,0,1379,155
1817,0,1534,287
2059,0,1821,242
2220,0,2063,161
2531,0,2224,311
2854,0,2535,323
3165,0,2858,311
3452,0,3169,287
3694,0,3456,242
3936,0,3698,242
4160,0,3940,224
4396,0,4164,236
4602,0,4400,206
5009,0,4606,407
5296,0,5013,287
5517,0,5300,221
5735,0,5521,218
6052,0,5739,317
6264,0,6056,212
6488,0,6268,224
6814,0,6492,326
7035,0,6818,221
7259,0,7039,224
7579,0,7263,320
7767,0,7583,188
8039,0,7771,272
8263,0,8043,224
8520,0,8267,257
8756,0,8524,236
9079,0,8760,323
9276,0,9083,197
