step,tl_id,new_state
21,0,1
128,0,2
190,0,3
285,0,0
398,0,1
517,0,2
567,0,3
647,0,0
706,0,1
723,0,2
803,0,3
859,0,0
960,0,1
1046,0,2
1129,0,3
1200,0,0
1238,0,1
1303,0,2
1350,0,3
1466,0,0
1522,0,1
1578,0,2
1625,0,3
1657,0,0
1710,0,1
1832,0,2
1915,0,3
1929,0,0
2012,0,1
2065,0,2
2181,0,3
2255,0,0
2314,0,1
2364,0,2
2462,0,3
2551,0,0
2589,0,1
2654,0,2
2758,0,3
2835,0,0
2876,0,1
2998,0,2
3120,0,3
3230,0,0
3289,0,1
3402,0,2
3443,0,3
3559,0,0
3627,0,1
3653,0,2
3775,0,3
3876,0,0
3944,0,1
4030,0,2
4122,0,3
4226,0,0
4336,0,1
4392,0,2
4433,0,3
4513,0,0
4563,0,1
4595,0,2
4696,0,3
4779,0,0
4898,0,1
5017,0,2
5130,0,3
5219,0,0
5296,0,1
5352,0,2
5429,0,3
5536,0,0
5604,0,1
5657,0,2
5776,0,3
5871,0,0
5936,0,1
5971,0,2
6009,0,3
6092,0,0
6184,0,1
6282,0,2
6401,0,3
6454,0,0
6531,0,1
6575,0,2
6607,0,3
6702,0,0
6731,0,1
6817,0,2
6855,0,3
6908,0,0
6964,0,1
6975,0,2
7091,0,3
7156,0,0
7248,0,1
7304,0,2
7420,0,3
7434,0,0
7475,0,1
7561,0,2
7602,0,3
7706,0,0
7768,0,1
7833,0,2
7874,0,3
7987,0,0
8067,0,1
8177,0,2
8245,0,3
8301,0,0
8411,0,1
8437,0,2
8451,0,3
8516,0,0
8560,0,1
8577,0,2
8627,0,3
8665,0,0
8688,0,1
