,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
ql_,267.70061804697156,181.1731269481291,34.0,1248.0,260.0610630407911,149.7516408649842,34.0,924.0,272.01112484548827,171.99161595785068,33.0,1048.0,279.15166872682323,165.80127163763316,33.0,998.0,270.38207663782447,167.36550130614904,33.0,1158.0,273.98444102017703,112.1133492261874,34.0,932.0
veh_n_,277.6967861557478,176.02818810799738,33.0,1164.0,261.53671199011126,179.03920772528465,31.0,1307.0,271.5370828182942,153.91792721883192,31.0,1072.0,272.73114956736714,176.3623187661336,34.0,1444.0,260.2665018541409,152.26007146845978,34.0,988.0,270.96355760332307,108.00165500811472,35.0,1030.0
delay_,262.1325092707046,170.23916475570977,33.0,1260.0,270.1557478368356,164.95800675564627,32.0,1045.0,270.4522867737948,173.16379628551033,33.0,948.0,268.47218788627936,171.66116472754706,31.0,1014.0,266.0493201483313,166.12964778768026,33.0,1066.0,273.87013618077754,116.8940185691825,37.0,1057.0
throughput_,258.67243510506796,143.02267293612957,31.0,833.0,264.6833127317676,170.93445321883112,32.0,1113.0,273.0496909765142,177.90225758983587,31.0,1179.0,290.91792336217554,180.6421019106743,33.0,1261.0,261.45624227441283,171.62558795691947,32.0,1102.0,270.99460335362073,110.50007564067424,36.0,1003.0
delay_prq_,271.98899876390607,184.65321750027633,34.0,1138.0,267.7883807169345,160.23660251556808,31.0,1338.0,287.80210135970333,195.7502528073332,32.0,1187.0,281.9957972805933,178.6513831705581,34.0,1059.0,271.22719406674906,170.8181835332624,33.0,1176.0,281.8547726895198,127.58018620929064,34.0,1184.0
delay_pwtl_,272.43312731767617,180.92423750259533,34.0,1268.0,271.42447466007417,173.74661951404963,32.0,1199.0,276.61730531520396,167.58584398487722,32.0,990.0,275.1538936959209,181.45239626569705,33.0,1086.0,270.19344870210136,167.48396640482542,33.0,1306.0,275.8523767129049,113.33415766161559,33.0,923.0
act_throughput_mqr_,272.57045735475896,164.54715327091532,34.0,1117.0,267.8218788627936,166.9124631231376,34.0,1036.0,280.7264524103832,173.41231240915434,33.0,1058.0,266.7406674907293,166.99696225514768,33.0,987.0,270.83757725587145,165.0286992488994,33.0,1127.0,273.65845254774695,107.62969140158432,36.0,1031.0
veh_n_pwtl_,275.15636588380715,184.69678090693333,31.0,1229.0,262.49406674907294,165.97736256062683,33.0,1004.0,277.931891223733,176.55201248675849,32.0,1169.0,269.9915945611867,164.7883718445267,33.0,1219.0,277.9426452410383,192.80332450925533,33.0,1383.0,278.78006870297054,122.0322517303404,32.0,1320.0
throughput_pwtl_,278.0656365883807,169.87068964004638,34.0,1263.0,274.50457354758964,182.55282313379263,33.0,1244.0,272.7268232385661,164.37754571365429,35.0,928.0,261.7676143386897,169.70586245656682,32.0,1136.0,274.45327564894933,168.61171108751748,32.0,1445.0,274.49143657268655,107.30501180167256,35.0,1066.0
