step,tl_id,previous_state,current_state,action,reward
114,0,1_1_1_0_1,1_1_1_1_2,28,0.9714015455425299
236,0,1_1_1_1_2,2_1_0_2_3,39,0.9443608567929304
346,0,2_1_0_2_3,2_2_1_1_0,35,0.9390497642378686
378,0,2_2_1_1_0,1_2_1_1_1,9,0.9597688309788038
419,0,1_2_1_1_1,1_1_2_1_2,12,0.9610024682800437
523,0,1_1_2_1_2,2_1_0_2_3,33,0.9442617189773992
564,0,2_1_0_2_3,2_1_1_1_0,12,0.9584641638322619
584,0,2_1_1_1_0,0_1_1_1_1,5,0.9703913718805111
634,0,0_1_1_1_1,1_0_1_1_2,15,0.9696007511349534
726,0,1_0_1_1_2,1_1_0_2_3,29,0.9539941150624213
770,0,1_1_0_2_3,2_1_0_0_0,13,0.9611952706739176
823,0,2_1_0_0_0,0_1_1_1_1,16,0.9734984664580074
867,0,0_1_1_1_1,1_0_1_1_2,13,0.9703786801131314
977,0,1_0_1_1_2,2_1_0_2_3,35,0.94701747459167
1072,0,2_1_0_2_3,2_2_1_1_0,30,0.9408650050802058
1125,0,2_2_1_1_0,0_2_1_1_1,16,0.9458122290213924
1184,0,0_2_1_1_1,1_1_1_1_2,18,0.9660914667422421
1246,0,1_1_1_1_2,1_1_1_2_3,19,0.9574276608156214
1359,0,1_1_1_2_3,2_1_1_0_0,36,0.9465636298277382
1478,0,2_1_1_0_0,0_2_2_0_1,38,0.9353375862116244
1501,0,0_2_2_0_1,0_1_3_0_2,6,0.9559310589637406
1611,0,0_1_3_0_2,1_1_1_1_3,35,0.9691882557500048
1682,0,1_1_1_1_3,1_1_1_1_0,22,0.9545202365648122
1801,0,1_1_1_1_0,1_2_2_1_1,38,0.9390400455007544
1863,0,1_2_2_1_1,1_1_2_2_2,19,0.9461707199270112
1919,0,1_1_2_2_2,2_1_0_2_3,17,0.9559728357761224
1978,0,2_1_0_2_3,2_2_1_1_0,18,0.9525717398207451
2082,0,2_2_1_1_0,1_2_2_1_1,33,0.936072070764936
2141,0,1_2_2_1_1,1_1_2_2_2,18,0.9445846474043187
2245,0,1_1_2_2_2,2_2_1_2_3,33,0.9376091940271211
2334,0,2_2_1_2_3,2_2_1_1_0,28,0.9359774925596835
2426,0,2_2_1_1_0,0_2_2_1_1,29,0.9399784915316345
2476,0,0_2_2_1_1,0_1_2_1_2,15,0.955170962849458
2571,0,0_1_2_1_2,1_1_1_2_3,30,0.95634409615879
2684,0,1_1_1_2_3,1_1_1_1_0,36,0.9480568444594432
2791,0,1_1_1_1_0,0_2_2_1_1,34,0.9382930372285175
2841,0,0_2_2_1_1,1_1_2_2_2,15,0.9465639699903486
2864,0,1_1_2_2_2,1_1_1_2_3,6,0.9688681569313713
2980,0,1_1_1_2_3,1_1_1_0_0,37,0.9582453890053781
3000,0,1_1_1_0_0,1_1_2_0_1,5,0.9598929981990484
3014,0,1_1_2_0_1,1_0_2_1_2,3,0.9681513738002352
3043,0,1_0_2_1_2,1_1_0_1_3,8,0.9796013340763567
3069,0,1_1_0_1_3,1_1_1_0_0,7,0.9769354491134663
3089,0,1_1_1_0_0,1_2_1_0_1,5,0.976927498189051
3154,0,1_2_1_0_1,1_1_1_0_2,20,0.9789532859197565
3243,0,1_1_1_0_2,1_1_0_2_3,28,0.9630348909860613
3284,0,1_1_0_2_3,1_1_1_0_0,12,0.961286284784321
3343,0,1_1_1_0_0,0_2_1_1_1,18,0.9593527210947187
3381,0,0_2_1_1_1,0_0_1_1_2,11,0.9660492813202654
3440,0,0_0_1_1_2,1_1_0_1_3,18,0.9703776020091777
3466,0,1_1_0_1_3,1_1_1_1_0,7,0.9757912424947045
3555,0,1_1_1_1_0,1_1_1_1_1,28,0.9461642224211143
3677,0,1_1_1_1_1,2_1_3_2_2,39,0.9075812165324009
3751,0,2_1_3_2_2,2_2_0_3_3,23,0.8984257775442503
3831,0,2_2_0_3_3,3_2_2_1_0,25,0.8982865588407913
3848,0,3_2_2_1_0,1_3_1_1_1,4,0.9249218887127166
3865,0,1_3_1_1_1,2_1_1_1_2,4,0.9450760444986914
3900,0,2_1_1_1_2,2_1_1_1_3,10,0.939661972592651
3956,0,2_1_1_1_3,2_2_1_1_0,17,0.9266211014970677
4069,0,2_2_1_1_0,0_3_2_1_1,36,0.8974286581550726
4170,0,0_3_2_1_1,2_1_3_3_2,32,0.8987414802004005
4256,0,2_1_3_3_2,2_2_1_3_3,27,0.8939187397385163
4330,0,2_2_1_3_3,4_3_1_1_0,23,0.8980984187142946
4416,0,4_3_1_1_0,1_3_2_2_1,27,0.9042069668574089
4532,0,1_3_2_2_1,2_1_3_3_2,37,0.8923341770941592
4654,0,2_1_3_3_2,3_2_1_4_3,39,0.8751498527035034
4773,0,3_2_1_4_3,4_4_2_0_0,38,0.8527037492095257
4865,0,4_4_2_0_0,1_4_3_1_1,29,0.8817573094900774
4903,0,1_4_3_1_1,1_1_3_2_2,11,0.9176895533816951
4986,0,1_1_3_2_2,3_2_1_3_3,26,0.9205332949939481
5054,0,3_2_1_3_3,4_2_2_0_0,21,0.9032608673247222
5131,0,4_2_2_0_0,0_2_3_2_1,24,0.9042933533656353
5169,0,0_2_3_2_1,1_1_3_2_2,11,0.9216614186974493
5231,0,1_1_3_2_2,1_1_1_3_3,19,0.9335169179432247
5290,0,1_1_1_3_3,2_2_1_1_0,18,0.9248363290216992
5406,0,2_2_1_1_0,1_3_3_2_1,37,0.8835170042184066
5438,0,1_3_3_2_1,1_1_3_2_2,9,0.9074493018560963
5467,0,1_1_3_2_2,2_1_1_2_3,8,0.9379936018605243
5502,0,2_1_1_2_3,2_2_1_0_0,10,0.9404920258623465
5594,0,2_2_1_0_0,2_2_2_1_1,29,0.9199581224671705
5623,0,2_2_2_1_1,2_0_2_1_2,8,0.9358297849383657
5730,0,2_0_2_1_2,2_2_1_3_3,34,0.899905697575883
5795,0,2_2_1_3_3,3_3_1_1_0,20,0.9044102822725847
5809,0,3_3_1_1_0,2_3_1_1_1,3,0.9216667897900953
5904,0,2_3_1_1_1,3_1_2_2_2,30,0.9207706697581265
5915,0,3_1_2_2_2,3_1_1_2_3,2,0.9254393908973029
5992,0,3_1_1_2_3,4_2_1_1_0,24,0.8969094051060859
6009,0,4_2_1_1_0,3_2_2_1_1,4,0.9162935004241356
6089,0,3_2_2_1_1,4_1_3_1_2,25,0.8975910262132449
6115,0,4_1_3_1_2,4_1_1_2_3,7,0.9109725644824438
6132,0,4_1_1_2_3,4_1_1_1_0,4,0.9148445036057518
6230,0,4_1_1_1_0,1_2_2_2_1,31,0.9133649323643073
6298,0,1_2_2_2_1,2_1_3_2_2,21,0.9057033065535666
6378,0,2_1_3_2_2,2_1_1_4_3,25,0.8968699877165998
6410,0,2_1_1_4_3,3_1_1_1_0,9,0.9328553421742611
6520,0,3_1_1_1_0,1_3_3_2_1,35,0.9075421465543526
6642,0,1_3_3_2_1,2_1_3_3_2,39,0.8975499322833741
6716,0,2_1_3_3_2,2_1_1_3_3,23,0.9148450635360186
6790,0,2_1_1_3_3,3_2_2_0_0,23,0.9057410916219647
6816,0,3_2_2_0_0,1_2_2_1_1,7,0.935270796954447
6881,0,1_2_2_1_1,2_0_3_2_2,20,0.9178043440375635
6958,0,2_0_3_2_2,2_1_1_2_3,24,0.9126761639552617
7044,0,2_1_1_2_3,3_2_2_1_0,27,0.9126562621249131
7076,0,3_2_2_1_0,1_2_2_2_1,9,0.9271280511379304
7144,0,1_2_2_2_1,1_1_3_2_2,21,0.9110165113196196
7155,0,1_1_3_2_2,1_1_2_3_3,2,0.9257351721009829
7208,0,1_1_2_3_3,2_1_2_1_0,16,0.9335965272659598
7225,0,2_1_2_1_0,0_2_2_2_1,4,0.9316762279023598
7260,0,0_2_2_2_1,0_1_2_3_2,10,0.9163329092678061
7367,0,0_1_2_3_2,2_4_1_4_3,34,0.8624252614240934
7474,0,2_4_1_4_3,4_5_2_1_0,34,0.8400294785227141
7572,0,4_5_2_1_0,1_6_3_3_1,31,0.8309917411320882
7595,0,1_6_3_3_1,1_4_4_3_2,6,0.8557164385348033
7633,0,1_4_4_3_2,2_5_1_3_3,11,0.8797543769793517
7692,0,2_5_1_3_3,3_5_2_1_0,18,0.8353617329190348
7754,0,3_5_2_1_0,2_6_3_2_1,19,0.8093156412190663
7834,0,2_6_3_2_1,2_1_3_3_2,25,0.8784520992728221
7845,0,2_1_3_3_2,2_1_2_3_3,2,0.8876772958874458
7868,0,2_1_2_3_3,2_2_2_1_0,6,0.909175295115212
7900,0,2_2_2_1_0,0_2_3_2_1,9,0.8993465028928072
8001,0,0_2_3_2_1,2_1_6_4_2,32,0.6296131482262208
8066,0,2_1_6_4_2,3_1_1_4_3,20,0.8740391954528096
8155,0,3_1_1_4_3,4_4_2_1_0,28,0.8602794779148175
8190,0,4_4_2_1_0,1_4_3_1_1,10,0.8898296441051385
8270,0,1_4_3_1_1,4_1_4_2_2,25,0.8672999922053933
8308,0,4_1_4_2_2,5_1_1_3_3,11,0.898545425007397
8418,0,5_1_1_3_3,6_3_2_2_0,35,0.7738953019487426
8495,0,6_3_2_2_0,0_4_5_3_1,24,0.8451702658197823
8605,0,0_4_5_3_1,3_1_6_4_2,35,0.7446496842862759
8637,0,3_1_6_4_2,4_1_3_4_3,9,0.8624631031930946
8753,0,4_1_3_4_3,5_3_7_1_0,37,0.5371690330183928
8785,0,5_3_7_1_0,2_3_7_2_1,9,0.8739305845858594
8892,0,2_3_7_2_1,4_0_8_4_2,34,0.39832955164514117
8954,0,4_0_8_4_2,4_2_1_5_3,19,0.8443519616748292
8968,0,4_2_1_5_3,4_2_1_4_0,3,0.8516370205511166
9039,0,4_2_1_4_0,1_4_1_5_1,22,0.8285168623472826
9053,0,1_4_1_5_1,1_2_2_5_2,3,0.840333034287326
9121,0,1_2_2_5_2,2_4_1_5_3,21,0.7791348659582683
9159,0,2_4_1_5_3,2_5_1_1_0,11,0.8560203758508735
9176,0,2_5_1_1_0,1_6_1_1_1,4,0.8173806884762289
9250,0,1_6_1_1_1,1_0_3_3_2,23,0.9105883922813082
9333,0,1_0_3_3_2,2_2_1_4_3,26,0.8795130304927439
9413,0,2_2_1_4_3,4_4_2_1_0,25,0.8679339183096696
9457,0,4_4_2_1_0,1_4_2_2_1,13,0.8795855363728107
9579,0,1_4_2_2_1,2_1_5_4_2,39,0.8292358934688312
9626,0,2_1_5_4_2,3_1_0_5_3,14,0.8754376293835051
9694,0,3_1_0_5_3,4_3_2_1_0,21,0.8793835340844272
9726,0,4_3_2_1_0,1_4_2_2_1,9,0.8924789796705029
9842,0,1_4_2_2_1,2_1_3_4_2,37,0.8714668094031822
9910,0,2_1_3_4_2,3_2_1_5_3,21,0.8676634442608021
9999,0,3_2_1_5_3,4_3_2_1_0,28,0.8483544632085784
10046,0,4_3_2_1_0,0_3_3_2_1,14,0.8797425378882106
10168,0,0_3_3_2_1,2_1_5_5_2,39,0.7842238122837117
10221,0,2_1_5_5_2,3_1_0_6_3,16,0.8783826212220471
10289,0,3_1_0_6_3,4_2_2_1_0,21,0.8907696534343822
10333,0,4_2_2_1_0,1_3_3_1_1,13,0.9060817763982991
10425,0,1_3_3_1_1,2_1_4_3_2,29,0.8654240462391201
10451,0,2_1_4_3_2,3_1_2_3_3,7,0.9050237292775515
10501,0,3_1_2_3_3,3_2_2_1_0,15,0.9001842402297728
10554,0,3_2_2_1_0,1_2_4_1_1,16,0.9014622813100751
10619,0,1_2_4_1_1,2_1_4_2_2,20,0.8746663122211323
10738,0,2_1_4_2_2,4_3_1_3_3,38,0.8565771914335819
10788,0,4_3_1_3_3,4_3_2_1_0,15,0.8727308754428333
10904,0,4_3_2_1_0,1_5_5_4_1,37,0.7855777864255089
11008,0,1_5_5_4_1,3_1_7_4_2,33,0.8523668298497297
11067,0,3_1_7_4_2,5_2_1_6_3,18,0.8120305730806323
11150,0,5_2_1_6_3,7_3_2_1_0,26,0.6203338042108526
11251,0,7_3_2_1_0,1_6_4_2_1,32,0.7559536590831606
11265,0,1_6_4_2_1,1_5_4_2_2,3,0.8148369683577076
11297,0,1_5_4_2_2,2_6_2_3_3,9,0.7441104912191587
11377,0,2_6_2_3_3,3_6_4_1_0,25,0.6761388124648863
11427,0,3_6_4_1_0,1_6_4_2_1,15,0.7316021218523674
11546,0,1_6_4_2_1,3_1_7_5_2,38,0.6249335400511173
11647,0,3_1_7_5_2,6_2_1_7_3,32,0.8750256824553531
11670,0,6_2_1_7_3,7_3_1_5_0,6,0.8019192658102765
11681,0,7_3_1_5_0,5_3_1_5_1,2,0.7618184910179762
11758,0,5_3_1_5_1,7_1_3_6_2,24,0.441488696925446
11877,0,7_1_3_6_2,9_3_1_7_3,38,0.6214579498220157
11954,0,9_3_1_7_3,9_5_1_1_0,24,0.8812699988359358
12058,0,9_5_1_1_0,1_6_3_3_1,33,0.7575994394319754
12171,0,1_6_3_3_1,3_1_5_4_2,36,0.8002832797981178
12248,0,3_1_5_4_2,4_3_1_6_3,24,0.8090821672631427
12316,0,4_3_1_6_3,4_3_2_1_0,21,0.8397584704834785
12357,0,4_3_2_1_0,1_4_3_2_1,12,0.8591026762415479
12437,0,1_4_3_2_1,3_1_4_3_2,25,0.8300084744422032
12523,0,3_1_4_3_2,5_2_1_5_3,27,0.8090659199173761
12597,0,5_2_1_5_3,6_4_2_1_0,23,0.7830462219890635
12710,0,6_4_2_1_0,1_6_4_3_1,36,0.7536885882884297
12796,0,1_6_4_3_1,2_1_5_5_2,27,0.8145528674394514
12846,0,2_1_5_5_2,4_2_1_5_3,15,0.8251737080547307
12866,0,4_2_1_5_3,4_3_1_5_0,5,0.8388916574526907
12934,0,4_3_1_5_0,1_4_3_5_1,21,0.8128383103094298
12975,0,1_4_3_5_1,2_2_3_5_2,12,0.8231894813075614
13061,0,2_2_3_5_2,4_4_1_7_3,27,0.5700422321701414
13168,0,4_4_1_7_3,5_6_3_1_0,34,0.7534476245832789
13281,0,5_6_3_1_0,2_9_5_3_1,36,0.8145111586476474
13292,0,2_9_5_3_1,2_8_5_3_2,2,0.8482432894114601
13381,0,2_8_5_3_2,4_10_1_5_3,28,0.2651041183551814
13413,0,4_10_1_5_3,4_10_2_2_0,9,0.7064816581377614
13493,0,4_10_2_2_0,1_12_3_3_1,25,0.3856533589258147
13546,0,1_12_3_3_1,2_6_4_4_2,16,0.7869803613180376
13641,0,2_6_4_4_2,4_7_1_6_3,30,0.5558434572045783
13664,0,4_7_1_6_3,5_8_1_4_0,6,0.7616171400638773
13777,0,5_8_1_4_0,1_9_3_6_1,36,0.3340882251174089
13833,0,1_9_3_6_1,2_5_4_6_2,17,0.7976224616591655
13892,0,2_5_4_6_2,3_5_1_7_3,18,0.578409674391698
13984,0,3_5_1_7_3,5_6_3_1_0,29,0.6767791414552562
14016,0,5_6_3_1_0,2_7_4_2_1,9,0.7500983817171225
14045,0,2_7_4_2_1,2_5_4_3_2,8,0.8163801473009502
14137,0,2_5_4_3_2,3_6_1_4_3,29,0.6025287500517158
14199,0,3_6_1_4_3,4_8_2_1_0,19,0.7412301434462834
14303,0,4_8_2_1_0,1_9_4_2_1,33,0.562961398596287
14395,0,1_9_4_2_1,4_1_5_4_2,29,0.8051518880850161
14508,0,4_1_5_4_2,5_3_2_6_3,36,0.7565372523998783
