step,tl_id,start_at_step,cycle_time
189,0,-1,194
425,0,193,236
691,0,429,266
912,0,695,221
1004,0,916,92
1198,0,1008,194
1455,0,1202,257
1610,0,1459,155
1852,0,1614,242
2061,0,1856,209
2354,0,2065,293
2629,0,2358,275
2964,0,2633,335
3278,0,2968,314
3574,0,3282,296
3906,0,3578,332
4235,0,3910,329
4342,0,4239,107
4683,0,4346,341
5006,0,4687,323
5254,0,5010,248
5559,0,5258,305
5990,0,5563,431
6325,0,5994,335
6675,0,6329,350
7001,0,6679,326
7252,0,7005,251
7467,0,7256,215
7712,0,7471,245
8002,0,7716,290
8256,0,8006,254
8480,0,8260,224
8698,0,8484,218
8955,0,8702,257
9197,0,8959,242
9445,0,9201,248
9825,0,9449,380
10130,0,9829,305
10426,0,10134,296
10539,0,10430,113
10883,0,10543,344
11095,0,10887,212
11331,0,11099,236
11534,0,11335,203
11911,0,11538,377
12132,0,11915,221
12479,0,12136,347
12649,0,12483,170
12921,0,12653,272
13277,0,12925,356
13552,0,13281,275
13851,0,13556,299
14051,0,13855,200
14362,0,14055,311
14673,0,14366,311
15023,0,14677,350
15280,0,15027,257
15558,0,15284,278
15773,0,15562,215
16030,0,15777,257
16221,0,16034,191
16460,0,16225,239
16741,0,16464,281
17022,0,16745,281
17228,0,17026,206
17575,0,17232,347
17835,0,17579,260
18176,0,17839,341
18469,0,18180,293
18714,0,18473,245
19001,0,18718,287
19384,0,19005,383
19668,0,19388,284
19925,0,19672,257
20182,0,19929,257
20391,0,20186,209
20678,0,20395,287
21106,0,20682,428
21453,0,21110,347
21635,0,21457,182
21934,0,21639,299
22092,0,21938,158
22385,0,22096,293
22621,0,22389,236
22890,0,22625,269
23135,0,22894,245
23398,0,23139,263
23694,0,23402,296
23918,0,23698,224
24202,0,23922,284
24540,0,24206,338
24746,0,24544,206
25012,0,24750,266
25311,0,25016,299
25628,0,25315,317
25942,0,25632,314
26235,0,25946,293
26414,0,26239,179
26722,0,26418,308
27000,0,26726,278
27290,0,27004,290
27535,0,27294,245
27831,0,27539,296
28082,0,27835,251
28393,0,28086,311
28755,0,28397,362
28997,0,28759,242
29326,0,29001,329
29637,0,29330,311
29855,0,29641,218
