step,tl_id,new_state
21,0,1
89,0,2
172,0,3
246,0,0
359,0,1
436,0,2
471,0,3
512,0,0
622,0,1
642,0,2
731,0,3
853,0,0
960,0,1
971,0,2
1093,0,3
1206,0,0
1322,0,1
1387,0,2
1500,0,3
1571,0,0
1681,0,1
1731,0,2
1751,0,3
1849,0,0
1959,0,1
2012,0,2
2068,0,3
2190,0,0
2300,0,1
2383,0,2
2403,0,3
2465,0,0
2572,0,1
2655,0,2
2765,0,3
2866,0,0
2988,0,1
3038,0,2
3073,0,3
3135,0,0
3230,0,1
3280,0,2
3291,0,3
3302,0,0
3352,0,1
3441,0,2
3461,0,3
3472,0,0
3579,0,1
3632,0,2
3742,0,3
3807,0,0
3914,0,1
3964,0,2
4008,0,3
4049,0,0
4096,0,1
4179,0,2
4223,0,3
4324,0,0
4380,0,1
4457,0,2
4477,0,3
4494,0,0
4604,0,1
4726,0,2
4746,0,3
4763,0,0
4795,0,1
4845,0,2
4964,0,3
5086,0,0
5118,0,1
5162,0,2
5233,0,3
5319,0,0
5345,0,1
5419,0,2
5511,0,3
5546,0,0
5581,0,1
5700,0,2
5780,0,3
5857,0,0
5901,0,1
5966,0,2
6010,0,3
6108,0,0
6122,0,1
6133,0,2
6249,0,3
6272,0,0
6319,0,1
6333,0,2
6446,0,3
6526,0,0
6546,0,1
6629,0,2
6673,0,3
6774,0,0
6812,0,1
6862,0,2
6951,0,3
7052,0,0
7108,0,1
7206,0,2
7328,0,3
7339,0,0
7437,0,1
7487,0,2
7531,0,3
7629,0,0
7646,0,1
7744,0,2
7758,0,3
7805,0,0
7834,0,1
7926,0,2
7970,0,3
8053,0,0
8082,0,1
8204,0,2
8317,0,3
8334,0,0
8384,0,1
8491,0,2
8556,0,3
8609,0,0
8644,0,1
8661,0,2
8753,0,3
8830,0,0
8847,0,1
8861,0,2
8893,0,3
8955,0,0
8975,0,1
9058,0,2
9132,0,3
9218,0,0
9241,0,1
9309,0,2
9332,0,3
9403,0,0
9420,0,1
9464,0,2
9511,0,3
9633,0,0
9659,0,1
9778,0,2
9798,0,3
9902,0,0
9985,0,1
10047,0,2
10151,0,3
10222,0,0
10269,0,1
10340,0,2
10462,0,3
10533,0,0
10589,0,1
10606,0,2
10707,0,3
10829,0,0
10861,0,1
10890,0,2
10946,0,3
11011,0,0
11085,0,1
11132,0,2
11173,0,3
11226,0,0
11270,0,1
11356,0,2
11394,0,3
11489,0,0
11521,0,1
11583,0,2
11705,0,3
11782,0,0
11811,0,1
11921,0,2
12043,0,3
12126,0,0
12239,0,1
12313,0,2
12330,0,3
12383,0,0
12451,0,1
12519,0,2
12536,0,3
12562,0,0
12684,0,1
12788,0,2
12871,0,3
12972,0,0
13049,0,1
13171,0,2
13215,0,3
13244,0,0
13321,0,1
13386,0,2
13505,0,3
13576,0,0
13623,0,1
13709,0,2
13738,0,3
13809,0,0
13925,0,1
13981,0,2
14073,0,3
14084,0,0
14116,0,1
14139,0,2
14156,0,3
14263,0,0
14349,0,1
14408,0,2
14473,0,3
14532,0,0
14585,0,1
14671,0,2
14787,0,3
14882,0,0
14965,0,1
15033,0,2
15128,0,3
15250,0,0
15321,0,1
15428,0,2
15508,0,3
15534,0,0
15560,0,1
15592,0,2
15615,0,3
15683,0,0
15760,0,1
15798,0,2
15893,0,3
15949,0,0
16002,0,1
16106,0,2
16159,0,3
16257,0,0
16310,0,1
16390,0,2
16434,0,3
16541,0,0
16603,0,1
16623,0,2
16718,0,3
16798,0,0
16917,0,1
16979,0,2
17071,0,3
17094,0,0
17114,0,1
17230,0,2
17337,0,3
17441,0,0
17551,0,1
17673,0,2
17729,0,3
17809,0,0
17838,0,1
17921,0,2
17986,0,3
18063,0,0
18173,0,1
18223,0,2
18261,0,3
18302,0,0
18319,0,1
18441,0,2
18530,0,3
18544,0,0
18558,0,1
18635,0,2
18661,0,3
18681,0,0
18740,0,1
18829,0,2
18942,0,3
18953,0,0
19003,0,1
19062,0,2
19142,0,3
19216,0,0
19242,0,1
19349,0,2
19405,0,3
19419,0,0
19451,0,1
19537,0,2
19566,0,3
19682,0,0
19705,0,1
19764,0,2
19802,0,3
19888,0,0
19905,0,1
19964,0,2
20083,0,3
20100,0,0
20117,0,1
20164,0,2
20238,0,3
20282,0,0
20368,0,1
20400,0,2
20420,0,3
20473,0,0
20499,0,1
20537,0,2
20632,0,3
20673,0,0
20690,0,1
20716,0,2
20811,0,3
20846,0,0
20920,0,1
20946,0,2
21020,0,3
21076,0,0
21105,0,1
21188,0,2
21304,0,3
21390,0,0
21464,0,1
21487,0,2
21570,0,3
21626,0,0
21682,0,1
21720,0,2
21818,0,3
21853,0,0
21915,0,1
21989,0,2
22108,0,3
22140,0,0
22202,0,1
22288,0,2
22347,0,3
22451,0,0
22534,0,1
22611,0,2
22718,0,3
22840,0,0
22893,0,1
22955,0,2
23071,0,3
23148,0,0
23261,0,1
23350,0,2
23439,0,3
23483,0,0
23548,0,1
23565,0,2
23642,0,3
23656,0,0
23715,0,1
23795,0,2
23839,0,3
