step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
137,0,25,1,112,111,0
214,0,141,2,73,72,0
255,0,218,3,37,33,0
296,0,259,0,37,25,0
319,0,300,1,19,14,0
375,0,323,2,52,51,0
491,0,379,3,112,105,0
598,0,495,0,103,94,0
639,0,602,1,37,30,0
716,0,643,2,73,64,0
829,0,720,3,109,100,0
873,0,833,0,40,28,0
941,0,877,1,64,60,0
1057,0,945,2,112,105,0
1104,0,1061,3,43,33,0
1145,0,1108,0,37,28,0
1225,0,1149,1,76,66,0
1257,0,1229,2,28,27,0
1310,0,1261,3,49,42,0
1360,0,1314,0,46,41,0
1380,0,1364,1,16,11,0
1409,0,1384,2,25,18,0
1471,0,1413,3,58,54,0
1518,0,1475,0,43,31,0
1550,0,1522,1,28,21,0
1618,0,1554,2,64,54,0
1740,0,1622,3,118,117,0
1826,0,1744,0,82,72,0
1885,0,1830,1,55,46,0
2004,0,1889,2,115,105,0
2051,0,2008,3,43,34,0
2098,0,2055,0,43,34,0
2154,0,2102,1,52,40,0
2210,0,2158,2,52,45,0
2254,0,2214,3,40,36,0
2301,0,2258,0,43,36,0
2423,0,2305,1,118,111,0
2479,0,2427,2,52,42,0
2583,0,2483,3,100,93,0
2627,0,2587,0,40,31,0
2659,0,2631,1,28,19,0
2712,0,2663,2,49,41,0
2732,0,2716,3,16,9,0
2755,0,2736,0,19,15,0
2781,0,2759,1,22,21,0
2801,0,2785,2,16,15,0
2896,0,2805,3,91,86,0
2934,0,2900,0,34,27,0
2954,0,2938,1,16,12,0
3037,0,2958,2,79,65,0
3123,0,3041,3,82,75,0
3167,0,3127,0,40,30,0
3229,0,3171,1,58,49,0
3291,0,3233,2,58,51,0
3398,0,3295,3,103,96,0
3409,0,3402,0,7,3,0
3489,0,3413,1,76,67,0
3533,0,3493,2,40,30,0
3553,0,3537,3,16,7,0
3651,0,3557,0,94,93,0
3764,0,3655,1,109,100,0
3856,0,3768,2,88,72,0
3888,0,3860,3,28,11,0
3911,0,3892,0,19,5,0
4012,0,3915,1,97,85,0
4098,0,4016,2,82,72,0
4190,0,4102,3,88,75,0
4270,0,4194,0,76,50,0
4284,0,4274,1,10,0,5
4376,0,4288,2,88,73,0
4465,0,4380,3,85,66,0
4497,0,4469,0,28,9,0
4619,0,4501,1,118,96,0
4690,0,4623,2,67,51,0
4743,0,4694,3,49,34,0
4766,0,4747,0,19,0,1
4879,0,4770,1,109,93,0
4899,0,4883,2,16,4,0
4985,0,4903,3,82,75,0
5059,0,4989,0,70,43,0
5154,0,5063,1,91,79,0
5171,0,5158,2,13,0,3
5224,0,5175,3,49,37,0
5307,0,5228,0,79,71,0
5411,0,5311,1,100,88,0
5509,0,5415,2,94,68,0
5553,0,5513,3,40,24,0
5627,0,5557,0,70,48,0
5746,0,5631,1,115,101,0
5781,0,5750,2,31,14,0
5828,0,5785,3,43,23,0
5950,0,5832,0,118,100,0
5994,0,5954,1,40,24,0
6017,0,5998,2,19,10,0
6118,0,6021,3,97,87,0
6195,0,6122,0,73,53,0
6209,0,6199,1,10,0,2
6262,0,6213,2,49,29,0
6279,0,6266,3,13,4,0
6323,0,6283,0,40,33,0
6388,0,6327,1,61,52,0
6477,0,6392,2,85,70,0
6599,0,6481,3,118,95,0
6664,0,6603,0,61,49,0
6783,0,6668,1,115,89,0
6824,0,6787,2,37,17,0
6901,0,6828,3,73,58,0
6966,0,6905,0,61,38,0
7043,0,6970,1,73,61,0
7099,0,7047,2,52,34,0
7203,0,7103,3,100,79,0
7229,0,7207,0,22,12,0
7282,0,7233,1,49,42,0
7332,0,7286,2,46,37,0
7343,0,7336,3,7,0,4
7429,0,7347,0,82,72,0
7527,0,7433,1,94,78,0
7577,0,7531,2,46,30,0
7687,0,7581,3,106,75,0
7767,0,7691,0,76,46,0
7820,0,7771,1,49,29,0
7927,0,7824,2,103,75,0
8046,0,7931,3,115,87,0
8060,0,8050,0,10,0,7
8170,0,8064,1,106,83,0
8289,0,8174,2,115,92,0
8351,0,8293,3,58,38,0
8392,0,8355,0,37,0,9
8457,0,8396,1,61,39,0
8546,0,8461,2,85,71,0
8575,0,8550,3,25,2,0
8634,0,8579,0,55,32,0
8681,0,8638,1,43,28,0
8749,0,8685,2,64,44,0
8847,0,8753,3,94,77,0
8957,0,8851,0,106,89,0
9061,0,8961,1,100,78,0
9087,0,9065,2,22,0,2
9140,0,9091,3,49,11,0
9151,0,9144,0,7,0,5
9168,0,9155,1,13,0,2
9179,0,9172,2,7,0,3
9217,0,9183,3,34,33,0
9300,0,9221,0,79,61,0
9320,0,9304,1,16,0,2
9349,0,9324,2,25,0,0
9396,0,9353,3,43,26,0
9509,0,9400,0,109,99,0
9571,0,9513,1,58,26,0
9636,0,9575,2,61,28,0
9659,0,9640,3,19,0,4
9736,0,9663,0,73,62,0
9783,0,9740,1,43,21,0
9803,0,9787,2,16,4,0
9865,0,9807,3,58,39,0
9876,0,9869,0,7,0,1
9911,0,9880,1,31,19,0
9925,0,9915,2,10,0,1
10026,0,9929,3,97,90,0
10127,0,10030,0,97,77,0
10249,0,10131,1,118,101,0
10335,0,10253,2,82,49,0
10388,0,10339,3,49,2,0
10489,0,10392,0,97,59,0
10575,0,10493,1,82,63,0
10586,0,10579,2,7,0,9
10705,0,10590,3,115,98,0
10737,0,10709,0,28,7,0
10835,0,10741,1,94,76,0
10954,0,10839,2,115,74,0
11046,0,10958,3,88,61,0
11090,0,11050,0,40,7,0
11140,0,11094,1,46,20,0
11217,0,11144,2,73,55,0
11333,0,11221,3,112,90,0
11410,0,11337,0,73,36,0
11499,0,11414,1,85,46,0
11576,0,11503,2,73,27,0
11644,0,11580,3,64,24,0
11694,0,11648,0,46,15,0
11726,0,11698,1,28,0,2
11749,0,11730,2,19,0,2
11850,0,11753,3,97,85,0
11864,0,11854,0,10,0,7
11971,0,11868,1,103,79,0
12012,0,11975,2,37,14,0
12083,0,12016,3,67,42,0
12136,0,12087,0,49,1,0
12216,0,12140,1,76,56,0
12296,0,12220,2,76,51,0
12325,0,12300,3,25,0,2
12438,0,12329,0,109,84,0
12497,0,12442,1,55,30,0
12526,0,12501,2,25,0,2
12561,0,12530,3,31,0,0
12668,0,12565,0,103,88,0
12742,0,12672,1,70,48,0
12780,0,12746,2,34,8,0
12857,0,12784,3,73,38,0
12946,0,12861,0,85,57,0
13053,0,12950,1,103,83,0
13076,0,13057,2,19,0,7
13198,0,13080,3,118,98,0
13251,0,13202,0,49,19,0
13358,0,13255,1,103,68,0
13456,0,13362,2,94,33,0
13536,0,13460,3,76,47,0
13625,0,13540,0,85,51,0
13639,0,13629,1,10,0,10
13707,0,13643,2,64,39,0
13730,0,13711,3,19,0,2
13825,0,13734,0,91,68,0
13860,0,13829,1,31,0,10
13883,0,13864,2,19,0,2
13978,0,13887,3,91,63,0
14010,0,13982,0,28,4,0
14120,0,14014,1,106,64,0
14134,0,14124,2,10,0,13
14241,0,14138,3,103,73,0
