step,tl_id,start_at_step,cycle_time
174,0,-1,179
467,0,178,293
667,0,471,200
885,0,671,218
1304,0,889,419
1582,0,1308,278
1770,0,1586,188
2111,0,1774,341
2257,0,2115,146
2502,0,2261,245
2717,0,2506,215
2899,0,2721,182
3282,0,2903,383
3506,0,3286,224
3760,0,3510,254
4077,0,3764,317
4229,0,4081,152
4522,0,4233,293
4695,0,4526,173
4892,0,4699,197
5185,0,4896,293
5505,0,5189,320
5774,0,5509,269
5893,0,5778,119
6111,0,5897,218
6320,0,6115,209
6586,0,6324,266
6810,0,6590,224
7169,0,6814,359
7504,0,7173,335
7782,0,7508,278
8144,0,7786,362
8401,0,8148,257
8664,0,8405,263
8996,0,8668,332
9265,0,9000,269
9396,0,9269,131
9698,0,9400,302
9964,0,9702,266
10239,0,9968,275
10538,0,10243,299
10837,0,10542,299
11034,0,10841,197
11312,0,11038,278
11644,0,11316,332
11913,0,11648,269
12158,0,11917,245
12358,0,12162,200
12741,0,12362,383
13013,0,12745,272
13231,0,13017,218
13569,0,13235,338
13859,0,13573,290
14053,0,13863,194
14454,0,14057,401
14747,0,14458,293
14980,0,14751,233
15297,0,14984,317
15575,0,15301,278
15856,0,15579,281
16179,0,15860,323
16412,0,16183,233
16723,0,16416,311
16980,0,16727,257
17183,0,16984,203
17437,0,17187,254
17730,0,17441,293
17999,0,17734,269
18325,0,18003,326
18513,0,18329,188
18686,0,18517,173
18982,0,18690,296
19233,0,18986,251
19433,0,19237,200
19642,0,19437,209
19860,0,19646,218
20114,0,19864,254
20254,0,20118,140
20622,0,20258,368
20927,0,20626,305
21160,0,20931,233
21465,0,21164,305
21680,0,21469,215
21814,0,21684,134
22200,0,21818,386
22589,0,22204,389
22831,0,22593,242
23190,0,22835,359
23387,0,23194,197
23599,0,23391,212
23859,0,23603,260
24146,0,23863,287
24460,0,24150,314
24738,0,24464,278
25043,0,24742,305
25180,0,25047,137
25533,0,25184,353
25793,0,25537,260
26056,0,25797,263
26409,0,26060,353
26735,0,26413,326
27055,0,26739,320
27228,0,27059,173
27383,0,27232,155
27688,0,27387,305
27924,0,27692,236
28214,0,27928,290
28459,0,28218,245
28659,0,28463,200
28916,0,28663,257
29086,0,28920,170
29343,0,29090,257
29645,0,29347,302
