step,tl_id,new_state
21,0,1
53,0,2
115,0,3
231,0,0
266,0,1
307,0,2
426,0,3
452,0,0
526,0,1
600,0,2
611,0,3
682,0,0
783,0,1
800,0,2
868,0,3
888,0,0
944,0,1
1009,0,2
1074,0,3
1121,0,0
1159,0,1
1188,0,2
1208,0,3
1261,0,0
1374,0,1
1394,0,2
1453,0,3
1566,0,0
1589,0,1
1693,0,2
1746,0,3
1790,0,0
1885,0,1
1995,0,2
2060,0,3
2086,0,0
2202,0,1
2216,0,2
2281,0,3
2313,0,0
2369,0,1
2383,0,2
2424,0,3
2543,0,0
2554,0,1
2655,0,2
2669,0,3
2716,0,0
2751,0,1
2873,0,2
2890,0,3
2976,0,0
3017,0,1
3085,0,2
3138,0,3
3233,0,0
3319,0,1
3438,0,2
3509,0,3
3568,0,0
3612,0,1
3698,0,2
3757,0,3
3771,0,0
3821,0,1
3874,0,2
3951,0,3
4001,0,0
4108,0,1
4206,0,2
4247,0,3
4357,0,0
4380,0,1
4415,0,2
4522,0,3
4536,0,0
4598,0,1
4624,0,2
4710,0,3
4721,0,0
4819,0,1
4863,0,2
4961,0,3
5077,0,0
5112,0,1
5129,0,2
5170,0,3
5250,0,0
5318,0,1
5437,0,2
5448,0,3
5483,0,0
5593,0,1
5649,0,2
5693,0,3
5797,0,0
5898,0,1
5927,0,2
5998,0,3
6093,0,0
6122,0,1
6199,0,2
6249,0,3
6275,0,0
6349,0,1
6402,0,2
6425,0,3
6487,0,0
6564,0,1
6605,0,2
6658,0,3
6756,0,0
6770,0,1
6871,0,2
6978,0,3
6995,0,0
7030,0,1
7059,0,2
7151,0,3
7243,0,0
7365,0,1
7397,0,2
7489,0,3
7551,0,0
7640,0,1
7729,0,2
7833,0,3
7868,0,0
7939,0,1
8049,0,2
8135,0,3
8251,0,0
8319,0,1
8414,0,2
8506,0,3
8583,0,0
8660,0,1
8728,0,2
8820,0,3
8942,0,0
9064,0,1
9132,0,2
9173,0,3
9220,0,0
9315,0,1
9350,0,2
9451,0,3
9489,0,0
9575,0,1
9652,0,2
9717,0,3
9755,0,0
9847,0,1
9954,0,2
10064,0,3
10186,0,0
10260,0,1
10292,0,2
10378,0,3
10455,0,0
10562,0,1
10645,0,2
10689,0,3
10751,0,0
10786,0,1
10854,0,2
10967,0,3
11044,0,0
11091,0,1
11138,0,2
11221,0,3
11331,0,0
11372,0,1
11440,0,2
11523,0,3
11633,0,0
11659,0,1
11712,0,2
11750,0,3
11791,0,0
11805,0,1
11849,0,2
11935,0,3
12033,0,0
12143,0,1
12199,0,2
12318,0,3
12329,0,0
12433,0,1
12528,0,2
12644,0,3
12706,0,0
12792,0,1
12848,0,2
12907,0,3
12963,0,0
12995,0,1
13084,0,2
13161,0,3
13193,0,0
13276,0,1
13293,0,2
13394,0,3
13462,0,0
13575,0,1
13592,0,2
13675,0,3
13782,0,0
13904,0,1
13936,0,2
14040,0,3
14120,0,0
14236,0,1
14304,0,2
14372,0,3
14446,0,0
14466,0,1
14579,0,2
14635,0,3
14712,0,0
14765,0,1
14857,0,2
14943,0,3
14975,0,0
15034,0,1
15120,0,2
15236,0,3
15352,0,0
15405,0,1
15425,0,2
15460,0,3
15492,0,0
15512,0,1
15625,0,2
15714,0,3
15749,0,0
15766,0,1
15828,0,2
15899,0,3
16021,0,0
16095,0,1
16172,0,2
16258,0,3
16377,0,0
16436,0,1
16531,0,2
16587,0,3
16664,0,0
16705,0,1
16803,0,2
16880,0,3
16933,0,0
16962,0,1
17060,0,2
17149,0,3
17214,0,0
17252,0,1
17317,0,2
17379,0,3
17492,0,0
17566,0,1
17628,0,2
17705,0,3
17788,0,0
17877,0,1
17996,0,2
18112,0,3
18189,0,0
18251,0,1
18295,0,2
18354,0,3
18374,0,0
18457,0,1
18498,0,2
18596,0,3
18667,0,0
18693,0,1
18746,0,2
18823,0,3
18843,0,0
18887,0,1
18967,0,2
19023,0,3
19079,0,0
19189,0,1
19239,0,2
19310,0,3
19378,0,0
19422,0,1
19511,0,2
19528,0,3
19548,0,0
19616,0,1
19633,0,2
19692,0,3
19745,0,0
19759,0,1
19863,0,2
19916,0,3
19954,0,0
19992,0,1
20090,0,2
20176,0,3
20283,0,0
20348,0,1
20434,0,2
20544,0,3
20657,0,0
20728,0,1
20748,0,2
20777,0,3
20893,0,0
20967,0,1
20990,0,2
21007,0,3
21099,0,0
21197,0,1
21304,0,2
21384,0,3
21431,0,0
21466,0,1
21588,0,2
21620,0,3
21682,0,0
21756,0,1
21812,0,2
21928,0,3
21957,0,0
22022,0,1
22093,0,2
22215,0,3
22328,0,0
22438,0,1
22524,0,2
22571,0,3
22615,0,0
22722,0,1
22778,0,2
22804,0,3
22869,0,0
22934,0,1
23035,0,2
23136,0,3
23255,0,0
23332,0,1
23442,0,2
23552,0,3
23593,0,0
23667,0,1
23780,0,2
23875,0,3
23967,0,0
24008,0,1
24049,0,2
24063,0,3
24095,0,0
24169,0,1
24195,0,2
24275,0,3
24364,0,0
24390,0,1
24464,0,2
24529,0,3
24639,0,0
24710,0,1
24820,0,2
24891,0,3
24950,0,0
25003,0,1
25092,0,2
25175,0,3
25279,0,0
25317,0,1
25427,0,2
25498,0,3
25530,0,0
25595,0,1
25621,0,2
25677,0,3
25691,0,0
25708,0,1
25821,0,2
25832,0,3
25870,0,0
25926,0,1
25970,0,2
26041,0,3
26103,0,0
26120,0,1
26212,0,2
26241,0,3
26321,0,0
26389,0,1
26430,0,2
26540,0,3
26626,0,0
26712,0,1
26768,0,2
26782,0,3
26814,0,0
26885,0,1
26935,0,2
27012,0,3
27071,0,0
27181,0,1
27264,0,2
27278,0,3
27391,0,0
27495,0,1
27551,0,2
27634,0,3
27660,0,0
27764,0,1
27835,0,2
27864,0,3
27941,0,0
27961,0,1
28020,0,2
28040,0,3
28111,0,0
28224,0,1
28247,0,2
28261,0,3
28293,0,0
28328,0,1
28417,0,2
28515,0,3
28637,0,0
28678,0,1
28746,0,2
28829,0,3
28849,0,0
28968,0,1
29033,0,2
29074,0,3
29190,0,0
29249,0,1
29299,0,2
29358,0,3
29414,0,0
29425,0,1
29520,0,2
29618,0,3
29707,0,0
29802,0,1
29834,0,2
29869,0,3
29892,0,0
29939,0,1
30049,0,2
