step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
125,0,25,1,100,99,0
169,0,129,2,40,39,0
231,0,173,3,58,53,0
245,0,235,0,10,1,0
343,0,249,1,94,87,0
432,0,347,2,85,81,0
497,0,436,3,61,52,0
559,0,501,0,58,46,0
645,0,563,1,82,78,0
749,0,649,2,100,93,0
841,0,753,3,88,73,0
897,0,845,0,52,40,0
977,0,901,1,76,72,0
1060,0,981,2,79,72,0
1131,0,1064,3,67,56,0
1232,0,1135,0,97,88,0
1243,0,1236,1,7,0,4
1275,0,1247,2,28,27,0
1289,0,1279,3,10,2,0
1357,0,1293,0,64,63,0
1461,0,1361,1,100,88,0
1541,0,1465,2,76,66,0
1573,0,1545,3,28,24,0
1665,0,1577,0,88,78,0
1688,0,1669,1,19,10,0
1702,0,1692,2,10,0,1
1824,0,1706,3,118,113,0
1850,0,1828,0,22,13,0
1867,0,1854,1,13,3,0
1884,0,1871,2,13,4,0
1928,0,1888,3,40,39,0
1942,0,1932,0,10,9,0
2046,0,1946,1,100,93,0
2114,0,2050,2,64,57,0
2179,0,2118,3,61,51,0
2226,0,2183,0,43,31,0
2312,0,2230,1,82,74,0
2410,0,2316,2,94,84,0
2421,0,2414,3,7,0,0
2528,0,2425,0,103,93,0
2629,0,2532,1,97,87,0
2676,0,2633,2,43,31,0
2783,0,2680,3,103,92,0
2803,0,2787,0,16,2,0
2814,0,2807,1,7,3,0
2933,0,2818,2,115,111,0
2971,0,2937,3,34,28,0
3015,0,2975,0,40,36,0
3059,0,3019,1,40,36,0
3175,0,3063,2,112,108,0
3189,0,3179,3,10,9,0
3212,0,3193,0,19,12,0
3235,0,3216,1,19,12,0
3339,0,3239,2,100,93,0
3437,0,3343,3,94,84,0
3463,0,3441,0,22,15,0
3567,0,3467,1,100,90,0
3668,0,3571,2,97,87,0
3742,0,3672,3,70,54,0
3840,0,3746,0,94,82,0
3941,0,3844,1,97,75,0
3955,0,3945,2,10,0,2
3990,0,3959,3,31,17,0
4028,0,3994,0,34,16,0
4084,0,4032,1,52,42,0
4179,0,4088,2,91,77,0
4286,0,4183,3,103,89,0
4342,0,4290,0,52,35,0
4362,0,4346,1,16,0,2
4469,0,4366,2,103,93,0
4567,0,4473,3,94,74,0
4596,0,4571,0,25,10,0
4691,0,4600,1,91,74,0
4774,0,4695,2,79,61,0
4824,0,4778,3,46,36,0
4922,0,4828,0,94,82,0
5011,0,4926,1,85,67,0
5070,0,5015,2,55,35,0
5099,0,5074,3,25,10,0
5191,0,5103,0,88,71,0
5223,0,5195,1,28,17,0
5330,0,5227,2,103,88,0
5386,0,5334,3,52,32,0
5442,0,5390,0,52,40,0
5543,0,5446,1,97,80,0
5581,0,5547,2,34,16,0
5607,0,5585,3,22,12,0
5672,0,5611,0,61,44,0
5755,0,5676,1,79,73,0
5775,0,5759,2,16,4,0
5795,0,5779,3,16,1,0
5902,0,5799,0,103,96,0
5919,0,5906,1,13,0,2
5972,0,5923,2,49,48,0
6001,0,5976,3,25,15,0
6111,0,6005,0,106,96,0
6131,0,6115,1,16,0,0
6232,0,6135,2,97,76,0
6330,0,6236,3,94,83,0
6431,0,6334,0,97,80,0
6523,0,6435,1,88,73,0
6603,0,6527,2,76,46,0
6653,0,6607,3,46,16,0
6676,0,6657,0,19,4,0
6729,0,6680,1,49,27,0
6818,0,6733,2,85,71,0
6838,0,6822,3,16,7,0
6912,0,6842,0,70,53,0
7013,0,6916,1,97,85,0
7129,0,7017,2,112,101,0
7197,0,7133,3,64,34,0
7280,0,7201,0,79,66,0
7375,0,7284,1,91,72,0
7479,0,7379,2,100,84,0
7490,0,7483,3,7,0,11
7564,0,7494,0,70,46,0
7653,0,7568,1,85,64,0
7760,0,7657,2,103,85,0
7780,0,7764,3,16,0,16
7890,0,7784,0,106,75,0
7919,0,7894,1,25,1,0
8029,0,7923,2,106,83,0
8097,0,8033,3,64,0,2
8117,0,8101,0,16,0,1
8188,0,8121,1,67,44,0
8304,0,8192,2,112,99,0
8387,0,8308,3,79,58,0
8494,0,8391,0,103,65,0
8610,0,8498,1,112,86,0
8732,0,8614,2,118,73,0
8767,0,8736,3,31,0,1
8796,0,8771,0,25,0,4
8879,0,8800,1,79,64,0
8932,0,8883,2,49,27,0
8997,0,8936,3,61,34,0
9023,0,9001,0,22,0,3
9049,0,9027,1,22,5,0
9132,0,9053,2,79,72,0
9194,0,9136,3,58,43,0
9238,0,9198,0,40,13,0
9252,0,9242,1,10,0,9
9275,0,9256,2,19,0,0
9298,0,9279,3,19,5,0
9312,0,9302,0,10,9,0
9329,0,9316,1,13,0,6
9415,0,9333,2,82,67,0
9525,0,9419,3,106,99,0
9608,0,9529,0,79,50,0
9652,0,9612,1,40,0,1
9696,0,9656,2,40,14,0
9743,0,9700,3,43,27,0
9832,0,9747,0,85,73,0
9894,0,9836,1,58,28,0
10001,0,9898,2,103,89,0
10084,0,10005,3,79,54,0
10185,0,10088,0,97,79,0
10247,0,10189,1,58,39,0
10267,0,10251,2,16,0,5
10323,0,10271,3,52,23,0
10355,0,10327,0,28,9,0
10387,0,10359,1,28,16,0
10482,0,10391,2,91,61,0
10604,0,10486,3,118,104,0
10657,0,10608,0,49,27,0
10770,0,10661,1,109,84,0
10796,0,10774,2,22,0,8
10849,0,10800,3,49,32,0
10917,0,10853,0,64,45,0
11027,0,10921,1,106,86,0
11098,0,11031,2,67,10,0
11169,0,11102,3,67,39,0
11267,0,11173,0,94,44,0
11386,0,11271,1,115,72,0
11460,0,11390,2,70,24,0
11570,0,11464,3,106,69,0
11665,0,11574,0,91,49,0
11691,0,11669,1,22,0,5
11780,0,11695,2,85,50,0
11800,0,11784,3,16,0,7
11838,0,11804,0,34,13,0
11852,0,11842,1,10,0,9
11932,0,11856,2,76,61,0
12000,0,11936,3,64,34,0
12020,0,12004,0,16,0,3
12094,0,12024,1,70,27,0
12129,0,12098,2,31,14,0
12152,0,12133,3,19,4,0
12223,0,12156,0,67,43,0
12288,0,12227,1,61,33,0
12377,0,12292,2,85,63,0
12451,0,12381,3,70,34,0
12534,0,12455,0,79,47,0
12608,0,12538,1,70,50,0
12634,0,12612,2,22,0,3
12726,0,12638,3,88,61,0
12767,0,12730,0,37,8,0
12883,0,12771,1,112,88,0
12969,0,12887,2,82,46,0
13070,0,12973,3,97,65,0
13114,0,13074,0,40,0,3
13158,0,13118,1,40,5,0
13253,0,13162,2,91,66,0
13297,0,13257,3,40,10,0
13416,0,13301,0,115,83,0
13469,0,13420,1,49,0,0
13531,0,13473,2,58,22,0
13590,0,13535,3,55,23,0
13646,0,13594,0,52,25,0
13765,0,13650,1,115,88,0
13791,0,13769,2,22,0,5
13904,0,13795,3,109,84,0
14020,0,13908,0,112,68,0
14100,0,14024,1,76,39,0
14135,0,14104,2,31,0,10
14257,0,14139,3,118,82,0
14292,0,14261,0,31,14,0
14378,0,14296,1,82,50,0
14413,0,14382,2,31,0,9
14517,0,14417,3,100,82,0
14582,0,14521,0,61,27,0
14704,0,14586,1,118,85,0
14814,0,14708,2,106,45,0
14861,0,14818,3,43,0,2
14947,0,14865,0,82,31,0
14958,0,14951,1,7,0,12
15008,0,14962,2,46,23,0
15097,0,15012,3,85,46,0
15186,0,15101,0,85,60,0
15269,0,15190,1,79,24,0
15292,0,15273,2,19,0,17
15342,0,15296,3,46,16,0
15383,0,15346,0,37,19,0
15424,0,15387,1,37,23,0
15525,0,15428,2,97,31,0
15587,0,15529,3,58,29,0
15625,0,15591,0,34,5,0
15726,0,15629,1,97,49,0
15743,0,15730,2,13,0,12
15793,0,15747,3,46,26,0
15873,0,15797,0,76,57,0
15908,0,15877,1,31,12,0
15937,0,15912,2,25,0,15
16038,0,15941,3,97,74,0
16088,0,16042,0,46,18,0
16201,0,16092,1,109,85,0
16236,0,16205,2,31,0,20
16325,0,16240,3,85,56,0
16399,0,16329,0,70,31,0
16434,0,16403,1,31,1,0
16529,0,16438,2,91,6,0
16618,0,16533,3,85,50,0
16647,0,16622,0,25,0,5
16760,0,16651,1,109,75,0
16846,0,16764,2,82,35,0
16887,0,16850,3,37,0,2
16985,0,16891,0,94,47,0
17086,0,16989,1,97,61,0
17139,0,17090,2,49,7,0
17204,0,17143,3,61,22,0
17236,0,17208,0,28,0,5
17265,0,17240,1,25,0,1
17300,0,17269,2,31,11,0
17416,0,17304,3,112,85,0
17448,0,17420,0,28,0,5
17555,0,17452,1,103,77,0
17638,0,17559,2,79,28,0
17682,0,17642,3,40,11,0
17768,0,17686,0,82,30,0
17884,0,17772,1,112,78,0
17967,0,17888,2,79,42,0
18011,0,17971,3,40,0,5
18124,0,18015,0,109,75,0
18195,0,18128,1,67,30,0
18314,0,18199,2,115,58,0
18418,0,18318,3,100,30,0
18453,0,18422,0,31,0,10
18548,0,18457,1,91,47,0
18580,0,18552,2,28,0,9
18627,0,18584,3,43,6,0
18656,0,18631,0,25,0,17
18709,0,18660,1,49,27,0
18789,0,18713,2,76,32,0
18908,0,18793,3,115,80,0
18985,0,18912,0,73,0,3
19020,0,18989,1,31,0,11
19088,0,19024,2,64,18,0
19108,0,19092,3,16,0,13
19203,0,19112,0,91,44,0
19262,0,19207,1,55,0,9
19288,0,19266,2,22,0,12
19395,0,19292,3,103,61,0
19436,0,19399,0,37,0,1
19528,0,19440,1,88,21,0
19590,0,19532,2,58,0,6
19646,0,19594,3,52,18,0
19666,0,19650,0,16,0,12
19719,0,19670,1,49,20,0
19742,0,19723,2,19,0,14
19789,0,19746,3,43,19,0
19881,0,19793,0,88,29,0
19904,0,19885,1,19,0,6
20011,0,19908,2,103,50,0
20028,0,20015,3,13,0,12
20117,0,20032,0,85,60,0
20203,0,20121,1,82,16,0
20235,0,20207,2,28,3,0
20261,0,20239,3,22,0,24
20383,0,20265,0,118,95,0
20460,0,20387,1,73,28,0
20480,0,20464,2,16,0,16
20494,0,20484,3,10,0,35
20589,0,20498,0,91,67,0
20660,0,20593,1,67,39,0
20749,0,20664,2,85,3,0
20787,0,20753,3,34,0,17
20834,0,20791,0,43,0,2
20947,0,20838,1,109,74,0
21069,0,20951,2,118,60,0
21101,0,21073,3,28,0,29
21169,0,21105,0,64,0,1
21279,0,21173,1,106,72,0
21344,0,21283,2,61,23,0
21451,0,21348,3,103,17,0
21483,0,21455,0,28,0,18
21506,0,21487,1,19,0,5
21520,0,21510,2,10,0,12
21621,0,21524,3,97,64,0
21683,0,21625,0,58,0,5
21733,0,21687,1,46,0,5
21795,0,21737,2,58,0,7
21854,0,21799,3,55,0,0
21943,0,21858,0,85,44,0
22008,0,21947,1,61,0,2
22061,0,22012,2,49,0,9
22141,0,22065,3,76,0,6
22224,0,22145,0,79,15,0
22295,0,22228,1,67,1,0
22342,0,22299,2,43,0,15
22362,0,22346,3,16,0,23
22475,0,22366,0,109,81,0
22504,0,22479,1,25,0,12
22542,0,22508,2,34,0,26
22562,0,22546,3,16,0,31
22669,0,22566,0,103,89,0
22698,0,22673,1,25,0,16
22820,0,22702,2,118,22,0
22852,0,22824,3,28,0,27
22944,0,22856,0,88,31,0
22991,0,22948,1,43,0,15
23041,0,22995,2,46,0,11
23127,0,23045,3,82,8,0
23198,0,23131,0,67,28,0
23275,0,23202,1,73,0,4
23397,0,23279,2,118,46,0
23504,0,23401,3,103,5,0
23608,0,23508,0,100,13,0
23709,0,23612,1,97,10,0
23747,0,23713,2,34,0,12
23836,0,23751,3,85,0,4
23883,0,23840,0,43,0,10
23969,0,23887,1,82,22,0
24070,0,23973,2,97,23,0
24132,0,24074,3,58,0,15
24236,0,24136,0,100,26,0
24247,0,24240,1,7,0,27
24294,0,24251,2,43,0,7
24356,0,24298,3,58,0,5
24433,0,24360,0,73,38,0
24486,0,24437,1,49,0,17
24560,0,24490,2,70,15,0
24619,0,24564,3,55,0,12
24663,0,24623,0,40,0,2
24677,0,24667,1,10,0,35
24733,0,24681,2,52,31,0
24780,0,24737,3,43,0,8
24803,0,24784,0,19,0,13
24925,0,24807,1,118,45,0
24960,0,24929,2,31,0,6
24992,0,24964,3,28,0,23
25087,0,24996,0,91,3,0
25191,0,25091,1,100,42,0
25292,0,25195,2,97,29,0
25309,0,25296,3,13,0,34
25410,0,25313,0,97,7,0
25511,0,25414,1,97,33,0
25612,0,25515,2,97,32,0
25683,0,25616,3,67,0,4
25721,0,25687,0,34,0,15
25819,0,25725,1,94,25,0
25842,0,25823,2,19,0,25
25937,0,25846,3,91,13,0
25981,0,25941,0,40,0,19
26082,0,25985,1,97,42,0
26177,0,26086,2,91,10,0
26251,0,26181,3,70,0,0
26325,0,26255,0,70,0,9
26402,0,26329,1,73,14,0
26419,0,26406,2,13,0,34
26445,0,26423,3,22,0,30
26543,0,26449,0,94,21,0
26659,0,26547,1,112,59,0
26721,0,26663,2,58,0,10
26831,0,26725,3,106,29,0
26905,0,26835,0,70,0,10
27009,0,26909,1,100,26,0
27119,0,27013,2,106,20,0
27160,0,27123,3,37,0,17
27207,0,27164,0,43,0,21
27221,0,27211,1,10,0,17
27310,0,27225,2,85,37,0
27411,0,27314,3,97,16,0
27482,0,27415,0,67,0,12
27559,0,27486,1,73,0,10
27675,0,27563,2,112,26,0
27749,0,27679,3,70,0,3
27817,0,27753,0,64,0,13
27921,0,27821,1,100,8,0
27968,0,27925,2,43,0,22
28012,0,27972,3,40,0,16
28089,0,28016,0,73,0,10
28211,0,28093,1,118,34,0
28279,0,28215,2,64,0,13
28320,0,28283,3,37,0,26
28406,0,28324,0,82,0,6
28423,0,28410,1,13,0,10
28455,0,28427,2,28,0,27
28520,0,28459,3,61,0,1
28606,0,28524,0,82,12,0
28689,0,28610,1,79,16,0
28790,0,28693,2,97,2,0
28846,0,28794,3,52,0,7
28959,0,28850,0,109,17,0
28988,0,28963,1,25,0,10
29095,0,28992,2,103,39,0
29124,0,29099,3,25,0,29
29207,0,29128,0,79,78,0
29269,0,29211,1,58,33,0
29316,0,29273,2,43,0,0
29405,0,29320,3,85,11,0
29479,0,29409,0,70,69,0
29550,0,29483,1,67,66,0
29648,0,29554,2,94,93,0
29758,0,29652,3,106,32,0
29874,0,29762,0,112,111,0
29915,0,29878,1,37,36,0
29989,0,29919,2,70,69,0
30006,0,29993,3,13,0,34
30092,0,30010,0,82,81,0
30103,0,30096,1,7,6,0
30141,0,30107,2,34,33,0
30248,0,30145,3,103,30,0
30364,0,30252,0,112,111,0
30450,0,30368,1,82,81,0
30530,0,30454,2,76,75,0
