step,tl_id,previous_state,current_state,action,reward
25,0,0_0_0_0_3,1_1_1_0_1,17,0.9897305243694049
51,0,1_1_1_0_1,1_0_1_1_2,7,0.9809547911541855
161,0,1_0_1_1_2,1_2_1_1_3,35,0.9545511906402716
232,0,1_2_1_1_3,2_2_1_1_0,22,0.945894301315872
345,0,2_2_1_1_0,0_2_1_2_1,36,0.9432984392974287
362,0,0_2_1_2_1,1_0_1_2_2,4,0.9602516435210724
469,0,1_0_1_2_2,1_1_1_3_3,34,0.9512624367802971
510,0,1_1_1_3_3,2_1_1_1_0,12,0.9683948126149827
551,0,2_1_1_1_0,0_1_1_1_1,12,0.9735010829841387
631,0,0_1_1_1_1,2_0_1_1_2,25,0.9633691341597018
750,0,2_0_1_1_2,2_1_0_2_3,38,0.941546507901038
854,0,2_1_0_2_3,2_1_1_1_0,33,0.945622310443237
901,0,2_1_1_1_0,1_1_1_1_1,14,0.9629015332946568
1002,0,1_1_1_1_1,1_1_1_2_2,32,0.9518396950861368
1094,0,1_1_1_2_2,2_2_0_2_3,29,0.9382946153533133
1108,0,2_2_0_2_3,2_2_0_1_0,3,0.9533447208765643
1179,0,2_2_0_1_0,1_2_0_1_1,22,0.9571340441348127
1292,0,1_2_0_1_1,1_1_1_2_2,36,0.9540165710801675
1327,0,1_1_1_2_2,1_1_1_2_3,10,0.9532372254150226
1434,0,1_1_1_2_3,3_1_2_0_0,34,0.9443143804905827
1547,0,3_1_2_0_0,0_2_2_1_1,36,0.9329733457715967
1576,0,0_2_2_1_1,0_1_3_1_2,8,0.9465247192877597
1680,0,0_1_3_1_2,1_1_0_1_3,33,0.9579134914282853
1745,0,1_1_0_1_3,2_1_1_0_0,20,0.9536980752318354
1771,0,2_1_1_0_0,1_1_1_0_1,7,0.9701167548116703
1785,0,1_1_1_0_1,1_1_1_0_2,3,0.9802361044339487
1874,0,1_1_1_0_2,1_1_1_1_3,28,0.9597704449779411
1891,0,1_1_1_1_3,1_1_1_0_0,4,0.9653847948462373
1929,0,1_1_1_0_0,1_1_1_0_1,11,0.9653847821520791
1994,0,1_1_1_0_1,1_0_1_1_2,20,0.9623747686522482
2047,0,1_0_1_1_2,1_1_1_1_3,16,0.9620475975421613
2148,0,1_1_1_1_3,2_2_2_0_0,32,0.9440444966504917
2174,0,2_2_2_0_0,1_2_1_0_1,7,0.9602516305640821
2194,0,1_2_1_0_1,1_1_2_0_2,5,0.972262794932278
2232,0,1_1_2_0_2,1_1_0_1_3,11,0.9769421131037466
2351,0,1_1_0_1_3,1_2_1_1_0,38,0.9505353513623491
2401,0,1_2_1_1_0,1_2_1_1_1,15,0.9529390332210351
2508,0,1_2_1_1_1,1_0_2_1_2,34,0.9512430255849391
2531,0,1_0_2_1_2,1_1_1_2_3,6,0.9664866767534291
2623,0,1_1_1_2_3,1_1_1_1_0,29,0.9599918355972831
2682,0,1_1_1_1_0,0_1_1_1_1,18,0.9629208432809178
2756,0,0_1_1_1_1,1_0_1_1_2,23,0.9499028311233495
2797,0,1_0_1_1_2,2_1_1_2_3,12,0.9540575937318168
2850,0,2_1_1_2_3,2_1_2_1_0,16,0.957120391102835
2960,0,2_1_2_1_0,0_1_3_1_1,35,0.9375419097623937
2998,0,0_1_3_1_1,1_0_2_1_2,11,0.9397996399558303
3099,0,1_0_2_1_2,1_2_0_2_3,32,0.9480771704214569
3212,0,1_2_0_2_3,2_2_1_1_0,36,0.9372373934047322
3307,0,2_2_1_1_0,0_3_2_1_1,30,0.930476575244033
3330,0,0_3_2_1_1,0_1_2_1_2,6,0.954352653437036
3410,0,0_1_2_1_2,1_1_0_2_3,25,0.9583207144963557
3424,0,1_1_0_2_3,1_1_1_0_0,3,0.9763418188873176
3489,0,1_1_1_0_0,0_2_1_1_1,20,0.9559751848857334
3578,0,0_2_1_1_1,1_1_2_2_2,28,0.9506618690714337
3694,0,1_1_2_2_2,2_2_1_3_3,37,0.915619086757333
3789,0,2_2_1_3_3,3_3_1_1_0,30,0.9061627189238108
3800,0,3_3_1_1_0,2_3_1_1_1,2,0.9227263683625573
3877,0,2_3_1_1_1,2_1_1_1_2,24,0.9266758006338377
3984,0,2_1_1_1_2,4_2_1_2_3,34,0.8845721359406303
4076,0,4_2_1_2_3,4_3_1_1_0,29,0.8708095542966413
4123,0,4_3_1_1_0,1_4_2_1_1,14,0.9007415427948292
4233,0,1_4_2_1_1,2_1_3_2_2,35,0.902932461523477
4283,0,2_1_3_2_2,3_1_1_2_3,15,0.9168994239134466
4354,0,3_1_1_2_3,3_2_1_1_0,22,0.915502305079554
4431,0,3_2_1_1_0,1_3_2_2_1,24,0.9170377931569834
4445,0,1_3_2_2_1,1_1_2_2_2,3,0.9336302933503422
4552,0,1_1_2_2_2,1_2_1_3_3,34,0.9077002721636913
4572,0,1_2_1_3_3,2_2_1_1_0,5,0.9243482159966275
4673,0,2_2_1_1_0,1_4_2_2_1,32,0.8952482952489315
4738,0,1_4_2_2_1,2_1_2_2_2,20,0.9209870208992356
4806,0,2_1_2_2_2,2_2_1_2_3,21,0.9266758907921059
4925,0,2_2_1_2_3,5_2_2_1_0,38,0.8924958814348466
4990,0,5_2_2_1_0,1_2_3_2_1,20,0.9025256276251319
5106,0,1_2_3_2_1,2_1_4_2_2,37,0.8751894274939497
5222,0,2_1_4_2_2,2_2_1_3_3,37,0.8809675864973919
5242,0,2_2_1_3_3,3_2_1_1_0,5,0.9148559915057423
5322,0,3_2_1_1_0,1_3_1_2_1,25,0.904772525864581
5390,0,1_3_1_2_1,1_1_3_2_2,21,0.9127093758745958
5479,0,1_1_3_2_2,3_2_1_3_3,28,0.8990023820281483
5523,0,3_2_1_3_3,4_3_1_0_0,13,0.9119625481737115
5618,0,4_3_1_0_0,1_3_2_1_1,30,0.9168991894280629
5647,0,1_3_2_1_1,2_1_2_1_2,8,0.937036346874122
5760,0,2_1_2_1_2,2_2_1_3_3,36,0.906216173423533
5783,0,2_2_1_3_3,2_2_1_1_0,6,0.9265304873645668
5902,0,2_2_1_1_0,1_3_1_2_1,38,0.9083796027947059
5973,0,1_3_1_2_1,2_1_2_2_2,22,0.9184807737452314
6092,0,2_1_2_2_2,4_2_1_2_3,38,0.8896230354436376
6202,0,4_2_1_2_3,4_3_2_1_0,35,0.8638281868255134
6324,0,4_3_2_1_0,1_4_4_2_1,39,0.8726416242565235
6365,0,1_4_4_2_1,1_1_5_3_2,12,0.8889045591549675
6382,0,1_1_5_3_2,1_1_3_4_3,4,0.9097973662747623
6477,0,1_1_3_4_3,2_2_4_1_0,30,0.9054921297238444
6542,0,2_2_4_1_0,1_3_5_1_1,20,0.8872442114432322
6559,0,1_3_5_1_1,1_2_5_2_2,4,0.9090081620238677
6651,0,1_2_5_2_2,2_2_1_2_3,29,0.9175975992912182
6680,0,2_2_1_2_3,2_3_2_1_0,8,0.919256199372865
6757,0,2_3_2_1_0,1_3_3_2_1,24,0.9001393663302479
6849,0,1_3_3_2_1,2_1_3_2_2,29,0.8896241465989745
6941,0,2_1_3_2_2,3_1_1_3_3,29,0.8872496269001465
6970,0,3_1_1_3_3,3_1_1_1_0,8,0.9220877323218527
7047,0,3_1_1_1_0,1_2_2_2_1,24,0.919923443003739
7112,0,1_2_2_2_1,1_0_3_3_2,20,0.8992796202113542
7144,0,1_0_3_3_2,1_1_1_3_3,9,0.9183403525965408
7158,0,1_1_1_3_3,1_1_1_2_0,3,0.9357540479990275
7181,0,1_1_1_2_0,1_1_1_2_1,6,0.9279851634521862
7276,0,1_1_1_2_1,2_1_2_4_2,30,0.8722976927879098
7290,0,2_1_2_4_2,3_1_1_5_3,3,0.8748811279679168
7313,0,3_1_1_5_3,3_2_1_2_0,6,0.9078208776879758
7339,0,3_2_1_2_0,1_2_1_3_1,7,0.9199228998713564
7461,0,1_2_1_3_1,3_1_3_4_2,39,0.8540445169811233
7532,0,3_1_3_4_2,4_2_1_4_3,22,0.8340784138406866
7603,0,4_2_1_4_3,4_3_2_1_0,22,0.8557127486057867
7656,0,4_3_2_1_0,1_3_4_2_1,16,0.87499726468572
7748,0,1_3_4_2_1,3_0_5_3_2,29,0.841051257988703
7786,0,3_0_5_3_2,3_1_1_3_3,11,0.8799752710271798
7872,0,3_1_1_3_3,4_3_1_1_0,27,0.8714975851710285
7934,0,4_3_1_1_0,1_4_3_2_1,19,0.8715856231450301
7951,0,1_4_3_2_1,1_3_3_2_2,4,0.8845737709664582
8007,0,1_3_3_2_2,2_3_1_4_3,17,0.8881748580970164
8045,0,2_3_1_4_3,3_3_2_0_0,11,0.9074867799164246
8107,0,3_3_2_0_0,1_4_2_1_1,19,0.8910620250852429
8133,0,1_4_2_1_1,1_1_3_1_2,7,0.9168992533786221
8192,0,1_1_3_1_2,1_2_2_2_3,18,0.9099382233979842
8260,0,1_2_2_2_3,4_3_2_1_0,21,0.859317788372627
8313,0,4_3_2_1_0,1_4_3_2_1,16,0.8694127014209702
8357,0,1_4_3_2_1,1_1_4_3_2,13,0.8898116654239009
8413,0,1_1_4_3_2,2_2_1_4_3,17,0.8845695211719478
8496,0,2_2_1_4_3,2_3_3_1_0,26,0.8780814559012794
8510,0,2_3_3_1_0,1_4_3_1_1,3,0.8894310631628345
8557,0,1_4_3_1_1,2_1_5_2_2,14,0.8952202327605793
8628,0,2_1_5_2_2,4_1_1_2_3,22,0.90502316735396
8690,0,4_1_1_2_3,5_2_2_1_0,19,0.8751836427011254
8728,0,5_2_2_1_0,1_3_4_1_1,11,0.900137916947479
8847,0,1_3_4_1_1,3_1_6_3_2,38,0.8345940610505147
8867,0,3_1_6_3_2,3_1_4_4_3,5,0.8530618791509328
8923,0,3_1_4_4_3,3_1_4_1_0,17,0.8760902450669991
8934,0,3_1_4_1_0,2_2_4_1_1,2,0.8882642686914928
8957,0,2_2_4_1_1,2_1_4_2_2,6,0.8796087491427612
8983,0,2_1_4_2_2,3_2_2_2_3,7,0.902063994246444
9009,0,3_2_2_2_3,3_3_2_1_0,7,0.8959781670597065
9110,0,3_3_2_1_0,1_6_3_3_1,32,0.8619615393478338
9211,0,1_6_3_3_1,2_1_5_3_2,32,0.8561430100524579
9306,0,2_1_5_3_2,3_2_1_5_3,30,0.8362351849926649
9350,0,3_2_1_5_3,3_3_2_1_0,13,0.880967253322566
9466,0,3_3_2_1_0,1_5_3_2_1,37,0.8497259459141112
9495,0,1_5_3_2_1,1_2_3_3_2,8,0.8810315320000534
9515,0,1_2_3_3_2,1_2_2_4_3,5,0.9030077185115368
9637,0,1_2_2_4_3,3_3_3_1_0,39,0.8561438598286081
