step,tl_id,start_at_step,cycle_time
228,0,-1,233
500,0,232,272
700,0,504,200
831,0,704,131
1055,0,835,224
1369,0,1059,314
1644,0,1373,275
1844,0,1648,200
2152,0,1848,308
2454,0,2156,302
2663,0,2458,209
2911,0,2667,248
3162,0,2915,251
3410,0,3166,248
3613,0,3414,203
3897,0,3617,284
4175,0,3901,278
4342,0,4179,167
4578,0,4346,236
4877,0,4582,299
5056,0,4881,179
5331,0,5060,275
5591,0,5335,260
5869,0,5595,278
6237,0,5873,368
6560,0,6241,323
6700,0,6564,140
6915,0,6704,215
7163,0,6919,248
7489,0,7167,326
7812,0,7493,323
8087,0,7816,275
8377,0,8091,290
8613,0,8381,236
8927,0,8617,314
9166,0,8931,239
9552,0,9170,386
9893,0,9556,341
10111,0,9897,218
10449,0,10115,338
10799,0,10453,350
11092,0,10803,293
11346,0,11096,254
11618,0,11350,272
11962,0,11622,344
12258,0,11966,296
12419,0,12262,161
12775,0,12423,356
13059,0,12779,284
13334,0,13063,275
13495,0,13338,161
13770,0,13499,275
13934,0,13774,164
14230,0,13938,296
14499,0,14234,269
14816,0,14503,317
15088,0,14820,272
15327,0,15092,239
15605,0,15331,278
15859,0,15609,254
16185,0,15863,326
16499,0,16189,314
16888,0,16503,389
17130,0,16892,242
17417,0,17134,287
17755,0,17421,338
18018,0,17759,263
18275,0,18022,257
18538,0,18279,263
18747,0,18542,209
18977,0,18751,230
19306,0,18981,329
19464,0,19310,158
19739,0,19468,275
20044,0,19743,305
20289,0,20048,245
20474,0,20293,185
20788,0,20478,314
20907,0,20792,119
21131,0,20911,224
21454,0,21135,323
21792,0,21458,338
22055,0,21796,263
22435,0,22059,380
22725,0,22439,290
22904,0,22729,179
23152,0,22908,248
23457,0,23156,305
23624,0,23461,167
23902,0,23628,278
24177,0,23906,275
24380,0,24181,203
24595,0,24384,215
24804,0,24599,209
25040,0,24808,236
25291,0,25044,251
25677,0,25295,386
25943,0,25681,266
26209,0,25947,266
26412,0,26213,203
26573,0,26416,161
26836,0,26577,263
27084,0,26840,248
27359,0,27088,275
27595,0,27363,236
27786,0,27599,191
27998,0,27790,212
28384,0,28002,386
28515,0,28388,131
28916,0,28519,401
29074,0,28920,158
29211,0,29078,137
29567,0,29215,356
29707,0,29571,140
29955,0,29711,248
30215,0,29959,260
30406,0,30219,191
30696,0,30410,290
30920,0,30700,224
31204,0,30924,284
31536,0,31208,332
31889,0,31540,353
32146,0,31893,257
32385,0,32150,239
