step,tl_id,new_state
21,0,1
134,0,2
154,0,3
255,0,0
353,0,1
442,0,2
453,0,3
473,0,0
583,0,1
597,0,2
650,0,3
667,0,0
699,0,1
758,0,2
796,0,3
810,0,0
860,0,1
916,0,2
1011,0,3
1037,0,0
1093,0,1
1107,0,2
1148,0,3
1165,0,0
1188,0,1
1277,0,2
1360,0,3
1446,0,0
1505,0,1
1519,0,2
1566,0,3
1688,0,0
1747,0,1
1863,0,2
1970,0,3
2020,0,0
2049,0,1
2141,0,2
2188,0,3
2208,0,0
2285,0,1
2299,0,2
2340,0,3
2357,0,0
2434,0,1
2526,0,2
2555,0,3
2572,0,0
2604,0,1
2663,0,2
2725,0,3
2823,0,0
2924,0,1
3040,0,2
3087,0,3
3143,0,0
3172,0,1
3252,0,2
3371,0,3
3388,0,0
3420,0,1
3533,0,2
3577,0,3
3687,0,0
3758,0,1
3826,0,2
3837,0,3
3860,0,0
3934,0,1
4005,0,2
4091,0,3
4117,0,0
4170,0,1
4181,0,2
4216,0,3
4314,0,0
4337,0,1
4363,0,2
4404,0,3
4472,0,0
4594,0,1
4632,0,2
4688,0,3
4714,0,0
4767,0,1
4874,0,2
4906,0,3
4932,0,0
5048,0,1
5059,0,2
5103,0,3
5207,0,0
5233,0,1
5322,0,2
5435,0,3
5485,0,0
5598,0,1
5657,0,2
5713,0,3
5784,0,0
5816,0,1
5839,0,2
5904,0,3
6011,0,0
6034,0,1
6123,0,2
6137,0,3
6187,0,0
6294,0,1
6374,0,2
6424,0,3
6462,0,0
6530,0,1
6619,0,2
6630,0,3
6653,0,0
6736,0,1
6831,0,2
6926,0,3
6952,0,0
6969,0,1
6980,0,2
7000,0,3
7023,0,0
7058,0,1
7147,0,2
7212,0,3
7244,0,0
7291,0,1
7392,0,2
7499,0,3
7543,0,0
7629,0,1
7655,0,2
7708,0,3
7803,0,0
7853,0,1
7942,0,2
8016,0,3
8111,0,0
8164,0,1
8193,0,2
8261,0,3
8317,0,0
8424,0,1
8483,0,2
8557,0,3
8625,0,0
8747,0,1
8815,0,2
8919,0,3
9026,0,0
9058,0,1
9114,0,2
9140,0,3
9223,0,0
9234,0,1
9296,0,2
9403,0,3
9522,0,0
9569,0,1
9598,0,2
9681,0,3
9764,0,0
9835,0,1
9858,0,2
9956,0,3
10078,0,0
10200,0,1
10214,0,2
10321,0,3
10374,0,0
10412,0,1
10501,0,2
10611,0,3
10634,0,0
10666,0,1
10695,0,2
10775,0,3
10840,0,0
10950,0,1
11000,0,2
11104,0,3
11127,0,0
11216,0,1
11287,0,2
11391,0,3
11510,0,0
11542,0,1
11613,0,2
11699,0,3
11731,0,0
11778,0,1
11837,0,2
11944,0,3
12039,0,0
12131,0,1
12196,0,2
