step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,64,176749.71428571417,0.999637906062487
25,0,reward_with_penalty,0.999637906062487,0.999637906062487,0.22270013882530884,0.7769377672371782
25,0,throughput_queueratio,0.0,0.9937649640861931,3,0.33125498802873105
78,0,vehicle_cumulative_delay,64,2848,176749.71428571417,0.9838868197806745
78,0,reward_with_penalty,0.9838868197806745,0.9838868197806745,0.731058578630005,0.2528282411506695
78,0,throughput_queueratio,0.16666666666666666,0.9750598563447725,3,0.4361310632260353
197,0,vehicle_cumulative_delay,2848,19230,176749.71428571417,0.8912020872129112
197,0,reward_with_penalty,0.8912020872129112,0.8912020872129112,0.998498817743263,-0.10729673053035182
197,0,throughput_queueratio,0.4,0.9376496408619314,3,0.5792165469539771
208,0,vehicle_cumulative_delay,19230,15812,176749.71428571417,0.9105401665632112
208,0,reward_with_penalty,0.9105401665632112,0.9105401665632112,0.04742587317756678,0.8631142933856445
208,0,throughput_queueratio,0.95,0.9563547486033519,3,0.9521182495344506
282,0,vehicle_cumulative_delay,15812,16023,176749.71428571417,0.9093463881129733
282,0,reward_with_penalty,0.9093463881129733,0.9093463881129733,0.8892726820276317,0.020073706085341647
282,0,throughput_queueratio,0.05,0.9438846767757382,3,0.34796155892524605
389,0,vehicle_cumulative_delay,16023,28880,176749.71428571417,0.8366051106972894
389,0,reward_with_penalty,0.8366051106972894,0.8366051106972894,0.991422514586288,-0.15481740388899867
389,0,throughput_queueratio,0.575,0.9251795690343176,3,0.6917265230114392
508,0,vehicle_cumulative_delay,28880,56389,176749.71428571417,0.6809669524622386
508,0,reward_with_penalty,0.6809669524622386,0.6809669524622386,0.9975273768433653,-0.31656042438112675
508,0,throughput_queueratio,0.8500000000000002,0.906474461292897,3,0.8688248204309659
582,0,vehicle_cumulative_delay,56389,40531,176749.71428571417,0.7706870409166148
582,0,reward_with_penalty,0.7706870409166148,0.7706870409166148,0.7625419716560975,0.00814506926051728
582,0,throughput_queueratio,0.95,0.9314146049481244,3,0.9438048683160414
686,0,vehicle_cumulative_delay,40531,40637,176749.71428571417,0.7700873228326091
686,0,reward_with_penalty,0.7700873228326091,0.7700873228326091,0.9898826370250243,-0.21979531419241527
686,0,throughput_queueratio,0.575,0.9251795690343176,3,0.6917265230114392
721,0,vehicle_cumulative_delay,40637,20632,176749.71428571417,0.8832699668942685
721,0,reward_with_penalty,0.8832699668942685,0.8832699668942685,0.1951846770138402,0.6880852898804283
721,0,throughput_queueratio,0.825,0.9501197126895451,3,0.866706570896515
753,0,vehicle_cumulative_delay,20632,7811,176749.71428571417,0.9558075664701013
753,0,reward_with_penalty,0.9558075664701013,0.9558075664701013,0.15886910488091513,0.7969384615891862
753,0,throughput_queueratio,0.25,0.9750598563447725,3,0.49168661878159087
830,0,vehicle_cumulative_delay,7811,8656,176749.71428571417,0.9510267949513759
830,0,reward_with_penalty,0.9510267949513759,0.9510267949513759,0.9241418199787566,0.026884974972619324
830,0,throughput_queueratio,0.22499999999999995,0.9625897845171588,3,0.47086326150571955
883,0,vehicle_cumulative_delay,8656,7920,176749.71428571417,0.9551908752327747
883,0,reward_with_penalty,0.9551908752327747,0.9551908752327747,0.6607563687658171,0.29443450646695757
883,0,throughput_queueratio,0.6000000000000001,0.9625897845171588,3,0.7208632615057197
984,0,vehicle_cumulative_delay,7920,26221,176749.71428571417,0.8516489822573969
984,0,reward_with_penalty,0.8516489822573969,0.8516489822573969,0.9933071490757153,-0.14165816681831833
984,0,throughput_queueratio,0.4,0.9251795690343176,3,0.5750598563447725
1103,0,vehicle_cumulative_delay,26221,36546,176749.71428571417,0.7932330462445685
1103,0,reward_with_penalty,0.7932330462445685,0.7932330462445685,0.9962540734899408,-0.2030210272453723
1103,0,throughput_queueratio,0.8,0.9127094972067039,3,0.8375698324022346
1129,0,vehicle_cumulative_delay,36546,21008,176749.71428571417,0.88114266501138
1129,0,reward_with_penalty,0.88114266501138,0.88114266501138,0.08839967720705841,0.7927429878043216
1129,0,throughput_queueratio,0.95,0.9438846767757382,3,0.947961558925246
1149,0,vehicle_cumulative_delay,21008,5531,176749.71428571417,0.9687071629939996
1149,0,reward_with_penalty,0.9687071629939996,0.9687071629939996,0.051335793115316275,0.9173713698786834
1149,0,throughput_queueratio,0.175,0.9688248204309656,3,0.43960827347698855
1229,0,vehicle_cumulative_delay,5531,4263,176749.71428571417,0.9758811491309746
1229,0,reward_with_penalty,0.9758811491309746,0.9758811491309746,0.9241418199787566,0.05173932915221802
1229,0,throughput_queueratio,0.125,0.9812948922585794,3,0.41043163075285977
1348,0,vehicle_cumulative_delay,4263,24907,176749.71428571417,0.8590832234119594
1348,0,reward_with_penalty,0.8590832234119594,0.8590832234119594,0.998498817743263,-0.13941559433130357
1348,0,throughput_queueratio,0.625,0.9376496408619314,3,0.7292165469539772
1455,0,vehicle_cumulative_delay,24907,45949,176749.71428571417,0.7400335260190356
1455,0,reward_with_penalty,0.7400335260190356,0.7400335260190356,0.9947798743064417,-0.25474634828740605
1455,0,throughput_queueratio,0.95,0.906474461292897,3,0.9354914870976323
1466,0,vehicle_cumulative_delay,45949,31967,176749.71428571417,0.8191397359300641
1466,0,reward_with_penalty,0.8191397359300641,0.8191397359300641,0.04742587317756678,0.7717138627524973
1466,0,throughput_queueratio,0.8500000000000002,0.9189445331205107,3,0.8729815110401704
1570,0,vehicle_cumulative_delay,31967,31889,176749.71428571417,0.8195810379164079
1570,0,reward_with_penalty,0.8195810379164079,0.8195810379164079,0.9788208895449324,-0.1592398516285245
1570,0,throughput_queueratio,0.05,0.9314146049481244,3,0.3438048683160415
1629,0,vehicle_cumulative_delay,31889,23666,176749.71428571417,0.8661044511690461
1629,0,reward_with_penalty,0.8661044511690461,0.8661044511690461,0.6026853379784918,0.26341911319055433
1629,0,throughput_queueratio,0.825,0.9376496408619314,3,0.8625498802873105
1742,0,vehicle_cumulative_delay,23666,43569,176749.71428571417,0.7534988943202978
1742,0,reward_with_penalty,0.7534988943202978,0.7534988943202978,0.9965525486984363,-0.24305365437813853
1742,0,throughput_queueratio,0.4499999999999999,0.9189445331205107,3,0.6063148443735035
1834,0,vehicle_cumulative_delay,43569,42620,176749.71428571417,0.7588680684874818
1834,0,reward_with_penalty,0.7588680684874818,0.7588680684874818,0.9655548043337887,-0.20668673584630692
1834,0,throughput_queueratio,0.8999999999999998,0.9314146049481244,3,0.910471534982708
1911,0,vehicle_cumulative_delay,42620,29723,176749.71428571417,0.8318356546141112
1911,0,reward_with_penalty,0.8318356546141112,0.8318356546141112,0.8892726820276317,-0.057437027413520414
1911,0,throughput_queueratio,0.7250000000000001,0.9251795690343176,3,0.7917265230114392
2024,0,vehicle_cumulative_delay,29723,30051,176749.71428571417,0.8299799231843574
2024,0,reward_with_penalty,0.8299799231843574,0.8299799231843574,0.991422514586288,-0.16144259140193062
2024,0,throughput_queueratio,0.6000000000000001,0.9438846767757382,3,0.7146282255919129
2098,0,vehicle_cumulative_delay,30051,37594,176749.71428571417,0.7873037580177942
2098,0,reward_with_penalty,0.7873037580177942,0.7873037580177942,0.9046505351008906,-0.11734677708309638
2098,0,throughput_queueratio,0.8999999999999998,0.9376496408619314,3,0.9125498802873103
2115,0,vehicle_cumulative_delay,37594,13129,176749.71428571417,0.9257198233498861
2115,0,reward_with_penalty,0.9257198233498861,0.9257198233498861,0.060086650174007654,0.8656331731758785
2115,0,throughput_queueratio,0.575,0.9625897845171588,3,0.7041965948390528
2219,0,vehicle_cumulative_delay,13129,16321,176749.71428571417,0.9076603882164287
2219,0,reward_with_penalty,0.9076603882164287,0.9076603882164287,0.9890130573694068,-0.08135266915297812
2219,0,throughput_queueratio,0.1,0.9625897845171588,3,0.3875299281723863
2251,0,vehicle_cumulative_delay,16321,6384,176749.71428571417,0.963881129733085
2251,0,reward_with_penalty,0.963881129733085,0.963881129733085,0.22270013882530884,0.7411809909077762
2251,0,throughput_queueratio,0.825,0.9750598563447725,3,0.8750199521149241
