step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
83,0,25,1,58,57,0
94,0,87,2,7,6,0
111,0,98,3,13,12,0
203,0,115,0,88,83,0
229,0,207,1,22,15,0
258,0,233,2,25,24,0
314,0,262,3,52,42,0
367,0,318,0,49,44,0
399,0,371,1,28,27,0
434,0,403,2,31,30,0
505,0,438,3,67,62,0
555,0,509,0,46,42,0
587,0,559,1,28,18,0
619,0,591,2,28,20,0
732,0,623,3,109,108,0
791,0,736,0,55,48,0
886,0,795,1,91,87,0
990,0,890,2,100,86,0
1025,0,994,3,31,21,0
1042,0,1029,0,13,0,3
1134,0,1046,1,88,79,0
1163,0,1138,2,25,18,0
1186,0,1167,3,19,12,0
1263,0,1190,0,73,58,0
1289,0,1267,1,22,10,0
1372,0,1293,2,79,74,0
1455,0,1376,3,79,75,0
1562,0,1459,0,103,94,0
1675,0,1566,1,109,94,0
1731,0,1679,2,52,40,0
1760,0,1735,3,25,16,0
1831,0,1764,0,67,47,0
1929,0,1835,1,94,87,0
1961,0,1933,2,28,11,0
1990,0,1965,3,25,21,0
2004,0,1994,0,10,1,0
2069,0,2008,1,61,57,0
2101,0,2073,2,28,21,0
2136,0,2105,3,31,24,0
2153,0,2140,0,13,12,0
2179,0,2157,1,22,18,0
2241,0,2183,2,58,54,0
2363,0,2245,3,118,114,0
2467,0,2367,0,100,99,0
2559,0,2471,1,88,71,0
2594,0,2563,2,31,23,0
2632,0,2598,3,34,27,0
2655,0,2636,0,19,9,0
2711,0,2659,1,52,48,0
2803,0,2715,2,88,84,0
2919,0,2807,3,112,108,0
2999,0,2923,0,76,66,0
3034,0,3003,1,31,24,0
3150,0,3038,2,112,103,0
3251,0,3154,3,97,92,0
3262,0,3255,0,7,0,5
3318,0,3266,1,52,39,0
3410,0,3322,2,88,78,0
3457,0,3414,3,43,36,0
3561,0,3461,0,100,85,0
3608,0,3565,1,43,29,0
3667,0,3612,2,55,50,0
3738,0,3671,3,67,57,0
3773,0,3742,0,31,12,0
3814,0,3777,1,37,30,0
3837,0,3818,2,19,12,0
3884,0,3841,3,43,34,0
3922,0,3888,0,34,26,0
4023,0,3926,1,97,87,0
4136,0,4027,2,109,96,0
4213,0,4140,3,73,48,0
4326,0,4217,0,109,92,0
4424,0,4330,1,94,75,0
4435,0,4428,2,7,0,6
4494,0,4439,3,55,41,0
4547,0,4498,0,49,32,0
4579,0,4551,1,28,22,0
4662,0,4583,2,79,51,0
4676,0,4666,3,10,0,3
4693,0,4680,0,13,6,0
4779,0,4697,1,82,75,0
4814,0,4783,2,31,30,0
4900,0,4818,3,82,63,0
4947,0,4904,0,43,28,0
4967,0,4951,1,16,0,2
5017,0,4971,2,46,37,0
5037,0,5021,3,16,9,0
5099,0,5041,0,58,51,0
5167,0,5103,1,64,46,0
5283,0,5171,2,112,99,0
5399,0,5287,3,112,85,0
5434,0,5403,0,31,8,0
5547,0,5438,1,109,90,0
5606,0,5551,2,55,27,0
5680,0,5610,3,70,58,0
5742,0,5684,0,58,37,0
5855,0,5746,1,109,89,0
5875,0,5859,2,16,0,5
5991,0,5879,3,112,93,0
6068,0,5995,0,73,58,0
6112,0,6072,1,40,18,0
6159,0,6116,2,43,16,0
6170,0,6163,3,7,0,3
6193,0,6174,0,19,12,0
6219,0,6197,1,22,12,0
6329,0,6223,2,106,102,0
6367,0,6333,3,34,24,0
6465,0,6371,0,94,85,0
6584,0,6469,1,115,103,0
6595,0,6588,2,7,0,5
6621,0,6599,3,22,8,0
6713,0,6625,0,88,78,0
6808,0,6717,1,91,77,0
6921,0,6812,2,109,80,0
7007,0,6925,3,82,68,0
7072,0,7011,0,61,41,0
7182,0,7076,1,106,89,0
7202,0,7186,2,16,0,4
7240,0,7206,3,34,23,0
7347,0,7244,0,103,86,0
7403,0,7351,1,52,36,0
7489,0,7407,2,82,47,0
7542,0,7493,3,49,8,0
7661,0,7546,0,115,88,0
7681,0,7665,1,16,0,7
7749,0,7685,2,64,40,0
7799,0,7753,3,46,16,0
7831,0,7803,0,28,9,0
7878,0,7835,1,43,6,0
7967,0,7882,2,85,61,0
8038,0,7971,3,67,43,0
8148,0,8042,0,106,79,0
8183,0,8152,1,31,0,3
8245,0,8187,2,58,29,0
8262,0,8249,3,13,0,5
8369,0,8266,0,103,83,0
8407,0,8373,1,34,0,0
8502,0,8411,2,91,63,0
8522,0,8506,3,16,0,14
8644,0,8526,0,118,96,0
8730,0,8648,1,82,48,0
8825,0,8734,2,91,50,0
8842,0,8829,3,13,0,25
8961,0,8846,0,115,74,0
9035,0,8965,1,70,41,0
9136,0,9039,2,97,53,0
9165,0,9140,3,25,0,28
9239,0,9169,0,70,46,0
9331,0,9243,1,88,66,0
9387,0,9335,2,52,27,0
9503,0,9391,3,112,23,0
9601,0,9507,0,94,65,0
9648,0,9605,1,43,0,2
9716,0,9652,2,64,37,0
9781,0,9720,3,61,24,0
9864,0,9785,0,79,55,0
9878,0,9868,1,10,0,10
9937,0,9882,2,55,38,0
10017,0,9941,3,76,50,0
10103,0,10021,0,82,57,0
10168,0,10107,1,61,7,0
10263,0,10172,2,91,71,0
10364,0,10267,3,97,55,0
10435,0,10368,0,67,39,0
10461,0,10439,1,22,0,7
10499,0,10465,2,34,2,0
10588,0,10503,3,85,60,0
10659,0,10592,0,67,47,0
10730,0,10663,1,67,15,0
10786,0,10734,2,52,16,0
10809,0,10790,3,19,0,0
10847,0,10813,0,34,15,0
10939,0,10851,1,88,68,0
11004,0,10943,2,61,36,0
11051,0,11008,3,43,12,0
11116,0,11055,0,61,12,0
11175,0,11120,1,55,8,0
11279,0,11179,2,100,72,0
11350,0,11283,3,67,5,0
11463,0,11354,0,109,54,0
11567,0,11467,1,100,49,0
11665,0,11571,2,94,36,0
11712,0,11669,3,43,0,4
11732,0,11716,0,16,0,16
11785,0,11736,1,49,9,0
11892,0,11789,2,103,78,0
11906,0,11896,3,10,0,19
11989,0,11910,0,79,6,0
12066,0,11993,1,73,30,0
12095,0,12070,2,25,0,2
12193,0,12099,3,94,13,0
12270,0,12197,0,73,9,0
12347,0,12274,1,73,38,0
12406,0,12351,2,55,0,2
12459,0,12410,3,49,10,0
12527,0,12463,0,64,18,0
12571,0,12531,1,40,5,0
12651,0,12575,2,76,38,0
12707,0,12655,3,52,7,0
12739,0,12711,0,28,0,2
12852,0,12743,1,109,73,0
12968,0,12856,2,112,56,0
13075,0,12972,3,103,31,0
13116,0,13079,0,37,0,23
13193,0,13120,1,73,25,0
13228,0,13197,2,31,0,23
13257,0,13232,3,25,0,0
13331,0,13261,0,70,0,8
13354,0,13335,1,19,0,13
13410,0,13358,2,52,0,13
13505,0,13414,3,91,51,0
13615,0,13509,0,106,38,0
13707,0,13619,1,88,10,0
13718,0,13711,2,7,0,36
13831,0,13722,3,109,63,0
13869,0,13835,0,34,0,15
13898,0,13873,1,25,0,22
13960,0,13902,2,58,0,15
13995,0,13964,3,31,4,0
14030,0,13999,0,31,0,22
14137,0,14034,1,103,25,0
14202,0,14141,2,61,0,14
14264,0,14206,3,58,0,3
14365,0,14268,0,97,12,0
14454,0,14369,1,85,19,0
14567,0,14458,2,109,12,0
14650,0,14571,3,79,10,0
14724,0,14654,0,70,0,10
14816,0,14728,1,88,4,0
14908,0,14820,2,88,0,3
15027,0,14912,3,115,33,0
15131,0,15031,0,100,9,0
15154,0,15135,1,19,0,31
15168,0,15158,2,10,0,35
15230,0,15172,3,58,9,0
15304,0,15234,0,70,6,0
15414,0,15308,1,106,19,0
15482,0,15418,2,64,0,12
15565,0,15486,3,79,0,6
15648,0,15569,0,79,0,5
15713,0,15652,1,61,0,10
15808,0,15717,2,91,0,1
15843,0,15812,3,31,0,27
15926,0,15847,0,79,6,0
15967,0,15930,1,37,0,25
16038,0,15971,2,67,0,10
16079,0,16042,3,37,0,24
16156,0,16083,0,73,17,0
16230,0,16160,1,70,0,5
16253,0,16234,2,19,0,32
16309,0,16257,3,52,0,18
16416,0,16313,0,103,33,0
16427,0,16420,1,7,0,37
16438,0,16431,2,7,0,36
16539,0,16442,3,97,8,0
16643,0,16543,0,100,56,0
16747,0,16647,1,100,6,0
16794,0,16751,2,43,0,18
16829,0,16798,3,31,0,27
16915,0,16833,0,82,29,0
16929,0,16919,1,10,0,27
16958,0,16933,2,25,0,29
17023,0,16962,3,61,0,14
17034,0,17027,0,7,0,11
17147,0,17038,1,109,12,0
17260,0,17151,2,109,12,0
17304,0,17264,3,40,0,22
17318,0,17308,0,10,0,35
17422,0,17322,1,100,38,0
17487,0,17426,2,61,0,14
17516,0,17491,3,25,0,27
17608,0,17520,0,88,0,0
17727,0,17612,1,115,54,0
17762,0,17731,2,31,0,27
17812,0,17766,3,46,0,18
17826,0,17816,0,10,0,30
17870,0,17830,1,40,8,0
17887,0,17874,2,13,0,34
17958,0,17891,3,67,1,0
18065,0,17962,0,103,13,0
18115,0,18069,1,46,0,9
18228,0,18119,2,109,14,0
18326,0,18232,3,94,5,0
18355,0,18330,0,25,0,29
18465,0,18359,1,106,32,0
18509,0,18469,2,40,0,22
18565,0,18513,3,52,0,9
18675,0,18569,0,106,19,0
18737,0,18679,1,58,0,4
18820,0,18741,2,79,0,6
18921,0,18824,3,97,11,0
18983,0,18925,0,58,0,5
19039,0,18987,1,52,0,13
19134,0,19043,2,91,0,4
19145,0,19138,3,7,0,36
19219,0,19149,0,70,0,3
19317,0,19223,1,94,15,0
19403,0,19321,2,82,0,5
19504,0,19407,3,97,17,0
19542,0,19508,0,34,0,19
19658,0,19546,1,112,34,0
19669,0,19662,2,7,0,36
19680,0,19673,3,7,0,25
19715,0,19684,0,31,0,18
19831,0,19719,1,112,90,0
19866,0,19835,2,31,0,27
19964,0,19870,3,94,3,0
20011,0,19968,0,43,0,16
20070,0,20015,1,55,22,0
20171,0,20074,2,97,6,0
20236,0,20175,3,61,0,13
20286,0,20240,0,46,0,19
20318,0,20290,1,28,0,14
20332,0,20322,2,10,0,34
20361,0,20336,3,25,0,19
20417,0,20365,0,52,0,7
20464,0,20421,1,43,0,3
20478,0,20468,2,10,0,35
20591,0,20482,3,109,14,0
20620,0,20595,0,25,0,22
20637,0,20624,1,13,0,13
20711,0,20641,2,70,0,10
20737,0,20715,3,22,0,13
20757,0,20741,0,16,0,30
20771,0,20761,1,10,0,17
20863,0,20775,2,88,9,0
20955,0,20867,3,88,37,0
21026,0,20959,0,67,0,11
21061,0,21030,1,31,0,19
21150,0,21065,2,85,2,0
21221,0,21154,3,67,29,0
21322,0,21225,0,97,17,0
21354,0,21326,1,28,0,28
21428,0,21358,2,70,0,6
21466,0,21432,3,34,0,5
21486,0,21470,0,16,0,8
21554,0,21490,1,64,0,12
21589,0,21558,2,31,0,19
21678,0,21593,3,85,31,0
21755,0,21682,0,73,11,0
21769,0,21759,1,10,0,22
21843,0,21773,2,70,0,7
21956,0,21847,3,109,79,0
21976,0,21960,0,16,0,8
22041,0,21980,1,61,0,6
22106,0,22045,2,61,0,13
22204,0,22110,3,94,78,0
22230,0,22208,0,22,0,15
22310,0,22234,1,76,25,0
22426,0,22314,2,112,12,0
22509,0,22430,3,79,55,0
22592,0,22513,0,79,6,0
22609,0,22596,1,13,0,14
22686,0,22613,2,73,3,0
22751,0,22690,3,61,43,0
22777,0,22755,0,22,0,2
22815,0,22781,1,34,0,12
22904,0,22819,2,85,33,0
22996,0,22908,3,88,71,0
23109,0,23000,0,109,79,0
23162,0,23113,1,49,0,13
23197,0,23166,2,31,0,1
23220,0,23201,3,19,0,5
23240,0,23224,0,16,1,0
23266,0,23244,1,22,0,14
23277,0,23270,2,7,0,5
23390,0,23281,3,109,89,0
23434,0,23394,0,40,13,0
23451,0,23438,1,13,0,13
23549,0,23455,2,94,60,0
23629,0,23553,3,76,54,0
23691,0,23633,0,58,39,0
23705,0,23695,1,10,0,19
23731,0,23709,2,22,0,1
23820,0,23735,3,85,73,0
23903,0,23824,0,79,67,0
24022,0,23907,1,115,46,0
24123,0,24026,2,97,61,0
24206,0,24127,3,79,29,0
24223,0,24210,0,13,0,12
24285,0,24227,1,58,24,0
24389,0,24289,2,100,77,0
24409,0,24393,3,16,0,0
24432,0,24413,0,19,0,12
24476,0,24436,1,40,17,0
24499,0,24480,2,19,6,0
24603,0,24503,3,100,78,0
24713,0,24607,0,106,56,0
24727,0,24717,1,10,0,8
24762,0,24731,2,31,2,0
24809,0,24766,3,43,16,0
24826,0,24813,0,13,0,1
24936,0,24830,1,106,79,0
25055,0,24940,2,115,85,0
25123,0,25059,3,64,41,0
25224,0,25127,0,97,51,0
25304,0,25228,1,76,39,0
25360,0,25308,2,52,22,0
25467,0,25364,3,103,75,0
25484,0,25471,0,13,0,1
25588,0,25488,1,100,85,0
25659,0,25592,2,67,58,0
25721,0,25663,3,58,48,0
25804,0,25725,0,79,54,0
25830,0,25808,1,22,0,0
25901,0,25834,2,67,54,0
25921,0,25905,3,16,1,0
25992,0,25925,0,67,60,0
26090,0,25996,1,94,84,0
26182,0,26094,2,88,66,0
26280,0,26186,3,94,74,0
26393,0,26284,0,109,83,0
26443,0,26397,1,46,26,0
26559,0,26447,2,112,93,0
26600,0,26563,3,37,22,0
26653,0,26604,0,49,35,0
26703,0,26657,1,46,25,0
26792,0,26707,2,85,76,0
26869,0,26796,3,73,62,0
26922,0,26873,0,49,30,0
26966,0,26926,1,40,22,0
27058,0,26970,2,88,76,0
27168,0,27062,3,106,92,0
27254,0,27172,0,82,55,0
27265,0,27258,1,7,0,6
27357,0,27269,2,88,76,0
27422,0,27361,3,61,46,0
27538,0,27426,0,112,96,0
27657,0,27542,1,115,74,0
27722,0,27661,2,61,37,0
27733,0,27726,3,7,0,4
27816,0,27737,0,79,61,0
27869,0,27820,1,49,37,0
27883,0,27873,2,10,0,2
27963,0,27887,3,76,60,0
28073,0,27967,0,106,99,0
28186,0,28077,1,109,97,0
28215,0,28190,2,25,0,8
28268,0,28219,3,49,26,0
28384,0,28272,0,112,90,0
28443,0,28388,1,55,33,0
28562,0,28447,2,115,92,0
28600,0,28566,3,34,8,0
28719,0,28604,0,115,103,0
28760,0,28723,1,37,21,0
28804,0,28764,2,40,25,0
