step,tl_id,start_at_step,cycle_time
156,0,-1,161
446,0,160,290
691,0,450,245
951,0,695,260
1265,0,955,314
1558,0,1269,293
1878,0,1562,320
2144,0,1882,266
2365,0,2148,221
2679,0,2369,314
2912,0,2683,233
3202,0,2916,290
3426,0,3206,224
3794,0,3430,368
4120,0,3798,326
4329,0,4124,209
4466,0,4333,137
4819,0,4470,353
4962,0,4823,143
5240,0,4966,278
5428,0,5244,188
5670,0,5432,242
5930,0,5674,260
6289,0,5934,359
6594,0,6293,305
6815,0,6598,221
7135,0,6819,320
7506,0,7139,371
7736,0,7510,230
8011,0,7740,275
8223,0,8015,212
8444,0,8227,221
8722,0,8448,278
9003,0,8726,281
9254,0,9007,251
9454,0,9258,200
9783,0,9458,329
10091,0,9787,308
10327,0,10095,236
10671,0,10331,344
11000,0,10675,329
11152,0,11004,152
11484,0,11156,332
11678,0,11488,194
11989,0,11682,311
12150,0,11993,161
12410,0,12154,260
12793,0,12414,383
12951,0,12797,158
13214,0,12955,263
13459,0,13218,245
13797,0,13463,338
14123,0,13801,326
14422,0,14127,299
14682,0,14426,260
14957,0,14686,275
15217,0,14961,260
15462,0,15221,245
15776,0,15466,314
15982,0,15780,206
16182,0,15986,200
16436,0,16186,254
16789,0,16440,353
16962,0,16793,173
17204,0,16966,242
17536,0,17208,332
17754,0,17540,218
18050,0,17758,296
18325,0,18054,275
18501,0,18329,176
18749,0,18505,248
19081,0,18753,332
19410,0,19085,329
19694,0,19414,284
19990,0,19698,296
20238,0,19994,248
20564,0,20242,326
20845,0,20568,281
21126,0,20849,281
21458,0,21130,332
21772,0,21462,314
21960,0,21776,188
22169,0,21964,209
22447,0,22173,278
22674,0,22451,227
22904,0,22678,230
23263,0,22908,359
23634,0,23267,371
23867,0,23638,233
24037,0,23871,170
24378,0,24041,341
24734,0,24382,356
24958,0,24738,224
25251,0,24962,293
25433,0,25255,182
25684,0,25437,251
25887,0,25688,203
26099,0,25891,212
26467,0,26103,368
26679,0,26471,212
26870,0,26683,191
27211,0,26874,341
27426,0,27215,215
27629,0,27430,203
27862,0,27633,233
28119,0,27866,257
28322,0,28123,203
28525,0,28326,203
28731,0,28529,206
29042,0,28735,311
29245,0,29046,203
29454,0,29249,209
29783,0,29458,329
30007,0,29787,224
30228,0,30011,221
30422,0,30232,194
30643,0,30426,221
31005,0,30647,362
31202,0,31009,197
31486,0,31206,284
31782,0,31490,296
31943,0,31786,161
32125,0,31947,182
32292,0,32129,167
32465,0,32296,173
32635,0,32469,170
