step,tl_id,previous_state,current_state,action,reward
25,0,0_0_1_0_2,0_1_0_0_1,34,0.7769377672371782
78,0,0_1_0_0_1,1_0_1_1_2,16,0.2528282411506695
197,0,1_0_1_1_2,2_1_0_1_3,38,-0.10729673053035182
292,0,2_1_0_1_3,2_2_1_1_0,30,-0.18006220070416146
366,0,2_2_1_1_0,0_2_1_1_1,23,-0.056028255687884165
377,0,0_2_1_1_1,0_1_1_1_2,2,0.8806984802261162
442,0,0_1_1_1_2,1_1_0_1_3,20,0.08378553230694441
552,0,1_1_0_1_3,1_2_1_0_0,35,-0.12308559797703966
605,0,1_2_1_0_0,0_2_2_0_1,16,0.13661328435127795
676,0,0_2_2_0_1,1_0_2_1_2,22,0.0710592603053396
777,0,1_0_2_1_2,2_1_0_1_3,32,-0.07670978374594395
824,0,2_1_0_1_3,2_1_1_0_0,14,0.4212106222842954
868,0,2_1_1_0_0,0_1_1_1_1,13,0.5874041118763839
912,0,0_1_1_1_1,1_0_1_2_2,13,0.39156599859692476
941,0,1_0_1_2_2,1_1_0_2_3,8,0.7350423671233772
1015,0,1_1_0_2_3,2_1_1_0_0,23,0.04002847667296838
1071,0,2_1_1_0_0,0_2_1_1_1,17,0.3984147934085521
1160,0,0_2_1_1_1,1_0_1_1_2,28,-0.08673746132737459
1204,0,1_0_1_1_2,1_1_0_1_3,13,0.4827591164972194
1257,0,1_1_0_1_3,1_2_1_0_0,16,0.30532555913541015
1310,0,1_2_1_0_0,0_2_1_0_1,16,0.30003559301705707
1375,0,0_2_1_0_1,1_0_1_1_2,20,0.2103975876848445
1476,0,1_0_1_1_2,1_2_0_1_3,32,-0.07165534088895997
1517,0,1_2_0_1_3,1_2_1_0_0,12,0.4636926076000541
1627,0,1_2_1_0_0,0_3_1_1_1,35,-0.20800804429414943
1656,0,0_3_1_1_1,0_0_1_1_2,8,0.8407540785967955
1673,0,0_0_1_1_2,0_1_0_1_3,4,0.8965661035500372
1735,0,0_1_0_1_3,1_1_1_0_0,19,0.15735051863358585
1794,0,1_1_1_0_0,0_1_2_1_1,18,0.11262060191519141
1901,0,0_1_2_1_1,2_0_2_1_2,34,-0.13114046947712232
2017,0,2_0_2_1_2,2_1_0_1_3,37,-0.1916101654344382
2079,0,2_1_0_1_3,2_2_1_0_0,19,-0.011857524634240169
2171,0,2_2_1_0_0,0_2_1_1_1,29,-0.1042122381990116
2212,0,0_2_1_1_1,0_0_1_1_2,12,0.6001743281842901
2232,0,0_0_1_1_2,0_1_0_1_3,5,0.8843506437290718
2270,0,0_1_0_1_3,1_1_1_0_0,11,0.6232201536134567
2305,0,1_1_1_0_0,0_1_1_1_1,10,0.5830080651662659
2400,0,0_1_1_1_1,1_0_1_1_2,30,-0.06737512963917869
2474,0,1_0_1_1_2,1_1_0_1_3,23,0.018246087079949458
2503,0,1_1_0_1_3,1_1_1_0_0,8,0.7362174089454221
2514,0,1_1_1_0_0,0_1_1_0_1,2,0.9198000635026407
2606,0,0_1_1_0_1,1_0_1_1_2,29,-0.04141752049372027
2641,0,1_0_1_1_2,2_1_0_1_3,10,0.6819665615081343
2757,0,2_1_0_1_3,2_2_1_0_0,37,-0.1662405208532972
2816,0,2_2_1_0_0,0_2_1_0_1,18,0.23321800015617744
2869,0,0_2_1_0_1,0_0_1_1_2,16,0.36097142787453607
2904,0,0_0_1_1_2,0_1_0_1_3,10,0.713225452207493
2921,0,0_1_0_1_3,0_1_1_0_0,4,0.9215166389317877
2992,0,0_1_1_0_0,0_1_1_1_1,22,0.04404483298006823
3108,0,0_1_1_1_1,2_0_1_1_2,37,-0.1147184326757994
3221,0,2_0_1_1_2,3_1_0_1_3,36,-0.2152661426799648
3250,0,3_1_0_1_3,3_1_1_0_0,8,0.5971128655198183
