step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,64,176749.71428571417,0.999637906062487
25,0,reward_with_penalty,0.999637906062487,0.999637906062487,0.22270013882530884,0.7769377672371782
75,0,vehicle_cumulative_delay,64,2560,176749.71428571417,0.9855162424994827
75,0,reward_with_penalty,0.9855162424994827,0.9855162424994827,0.6791786991753931,0.3063375433240896
152,0,vehicle_cumulative_delay,2560,10068,176749.71428571417,0.9430380974549969
152,0,reward_with_penalty,0.9430380974549969,0.9430380974549969,0.9525741268224334,-0.009536029367436472
220,0,vehicle_cumulative_delay,10068,18024,176749.71428571417,0.8980252948479205
220,0,reward_with_penalty,0.8980252948479205,0.8980252948479205,0.8807970779778823,0.01722821687003817
267,0,vehicle_cumulative_delay,18024,11656,176749.71428571417,0.9340536416304572
267,0,reward_with_penalty,0.9340536416304572,0.9340536416304572,0.437823499114202,0.49623014251625525
326,0,vehicle_cumulative_delay,11656,11066,176749.71428571417,0.9373916951169046
326,0,reward_with_penalty,0.9373916951169046,0.9373916951169046,0.6791786991753931,0.2582129959415115
349,0,vehicle_cumulative_delay,11066,10407,176749.71428571417,0.941120131129733
349,0,reward_with_penalty,0.941120131129733,0.941120131129733,0.14804719803168948,0.7930729330980435
465,0,vehicle_cumulative_delay,10407,21443,176749.71428571417,0.8786815577798468
465,0,reward_with_penalty,0.8786815577798468,0.8786815577798468,0.9938389829390936,-0.11515742515924676
536,0,vehicle_cumulative_delay,21443,23313,176749.71428571417,0.8681016255431409
536,0,reward_with_penalty,0.8681016255431409,0.8681016255431409,0.8621583430350643,0.0059432825080765195
631,0,vehicle_cumulative_delay,23313,34611,176749.71428571417,0.804180730136561
631,0,reward_with_penalty,0.804180730136561,0.804180730136561,0.9788208895449324,-0.1746401594083714
681,0,vehicle_cumulative_delay,34611,17529,176749.71428571417,0.900825865145872
681,0,reward_with_penalty,0.900825865145872,0.900825865145872,0.437823499114202,0.46300236603167005
773,0,vehicle_cumulative_delay,17529,17351,176749.71428571417,0.9018329389095799
773,0,reward_with_penalty,0.9018329389095799,0.9018329389095799,0.9706877692486436,-0.0688548303390637
895,0,vehicle_cumulative_delay,17351,29127,176749.71428571417,0.8352076544072004
895,0,reward_with_penalty,0.8352076544072004,0.8352076544072004,0.9975273768433653,-0.162319722436165
945,0,vehicle_cumulative_delay,29127,34641,176749.71428571417,0.8040109986033518
945,0,reward_with_penalty,0.8040109986033518,0.8040109986033518,0.6791786991753931,0.1248322994279587
956,0,vehicle_cumulative_delay,34641,21078,176749.71428571417,0.8807466247672252
956,0,reward_with_penalty,0.8807466247672252,0.8807466247672252,0.04742587317756678,0.8333207515896585
1015,0,vehicle_cumulative_delay,21078,18528,176749.71428571417,0.8951738050900061
1015,0,reward_with_penalty,0.8951738050900061,0.8951738050900061,0.6970592839654074,0.1981145211245987
1131,0,vehicle_cumulative_delay,18528,38376,176749.71428571417,0.7828794227188081
1131,0,reward_with_penalty,0.7828794227188081,0.7828794227188081,0.9951952471128405,-0.2123158243940324
1211,0,vehicle_cumulative_delay,38376,51295,176749.71428571417,0.7097873668011585
1211,0,reward_with_penalty,0.7097873668011585,0.7097873668011585,0.9241418199787566,-0.21435445317759805
1237,0,vehicle_cumulative_delay,51295,15888,176749.71428571417,0.9101101800124146
1237,0,reward_with_penalty,0.9101101800124146,0.9101101800124146,0.08839967720705841,0.8217105028053562
1329,0,vehicle_cumulative_delay,15888,19895,176749.71428571417,0.8874397048934408
1329,0,reward_with_penalty,0.8874397048934408,0.8874397048934408,0.9770226300899744,-0.08958292519653355
1397,0,vehicle_cumulative_delay,19895,22435,176749.71428571417,0.8730691017483964
1397,0,reward_with_penalty,0.8730691017483964,0.8730691017483964,0.8296760813561542,0.04339302039224213
1453,0,vehicle_cumulative_delay,22435,15645,176749.71428571417,0.911485005431409
1453,0,reward_with_penalty,0.911485005431409,0.911485005431409,0.5825702064623147,0.32891479896909426
1509,0,vehicle_cumulative_delay,15645,8562,176749.71428571417,0.951558620422098
1509,0,reward_with_penalty,0.951558620422098,0.951558620422098,0.6418340450887311,0.30972457533336695
1622,0,vehicle_cumulative_delay,8562,26515,176749.71428571417,0.849985613231947
1622,0,reward_with_penalty,0.849985613231947,0.849985613231947,0.9968273171575148,-0.14684170392556783
1702,0,vehicle_cumulative_delay,26515,39384,176749.71428571417,0.7771764432029794
1702,0,reward_with_penalty,0.7771764432029794,0.7771764432029794,0.9297812081694472,-0.1526047649664678
1821,0,vehicle_cumulative_delay,39384,31930,176749.71428571417,0.8193490714876887
1821,0,reward_with_penalty,0.8193490714876887,0.8193490714876887,0.9955777150473046,-0.17622864355961598
1841,0,vehicle_cumulative_delay,31930,14414,176749.71428571417,0.9184496560107593
1841,0,reward_with_penalty,0.9184496560107593,0.9184496560107593,0.06496916912866407,0.8534804868820953
1870,0,vehicle_cumulative_delay,14414,9239,176749.71428571417,0.947728345489344
1870,0,reward_with_penalty,0.947728345489344,0.947728345489344,0.1824255238063564,0.7653028216829876
1917,0,vehicle_cumulative_delay,9239,2688,176749.71428571417,0.9847920546244568
1917,0,reward_with_penalty,0.9847920546244568,0.9847920546244568,0.33924363123418283,0.645548423390274
2006,0,vehicle_cumulative_delay,2688,9874,176749.71428571417,0.9441356947030829
2006,0,reward_with_penalty,0.9441356947030829,0.9441356947030829,0.9820137900379085,-0.03787809533482556
2128,0,vehicle_cumulative_delay,9874,24417,176749.71428571417,0.8618555051210428
2128,0,reward_with_penalty,0.8618555051210428,0.8618555051210428,0.9980732653366725,-0.1362177602156297
2238,0,vehicle_cumulative_delay,24417,25453,176749.71428571417,0.8559941095075522
2238,0,reward_with_penalty,0.8559941095075522,0.8559941095075522,0.9921029164925812,-0.13610880698502903
2360,0,vehicle_cumulative_delay,25453,44531,176749.71428571417,0.7480561698220565
2360,0,reward_with_penalty,0.7480561698220565,0.7480561698220565,0.998498817743263,-0.2504426479212065
2446,0,vehicle_cumulative_delay,44531,26257,176749.71428571417,0.851445304417546
2446,0,reward_with_penalty,0.851445304417546,0.851445304417546,0.935030830871336,-0.08358552645379003
2529,0,vehicle_cumulative_delay,26257,21631,176749.71428571417,0.8776179068384026
2529,0,reward_with_penalty,0.8776179068384026,0.8776179068384026,0.9486642068846839,-0.07104630004628132
2639,0,vehicle_cumulative_delay,21631,27741,176749.71428571417,0.8430492512414648
2639,0,reward_with_penalty,0.8430492512414648,0.8430492512414648,0.9947798743064417,-0.15173062306497687
2728,0,vehicle_cumulative_delay,27741,28552,176749.71428571417,0.8384608421270432
2728,0,reward_with_penalty,0.8384608421270432,0.8384608421270432,0.9562000022835389,-0.11773916015649566
2844,0,vehicle_cumulative_delay,28552,29477,176749.71428571417,0.8332274531864265
2844,0,reward_with_penalty,0.8332274531864265,0.8332274531864265,0.9951952471128405,-0.16196779392641392
2960,0,vehicle_cumulative_delay,29477,39246,176749.71428571417,0.7779572082557417
2960,0,reward_with_penalty,0.7779572082557417,0.7779572082557417,0.9962540734899408,-0.2182968652341991
3001,0,vehicle_cumulative_delay,39246,27173,176749.71428571417,0.8462628349368921
3001,0,reward_with_penalty,0.8462628349368921,0.8462628349368921,0.2856375705089442,0.5606252644279479
3090,0,vehicle_cumulative_delay,27173,16775,176749.71428571417,0.9050917843471963
3090,0,reward_with_penalty,0.9050917843471963,0.9050917843471963,0.9595604351819967,-0.05446865083480046
3200,0,vehicle_cumulative_delay,16775,24377,176749.71428571417,0.8620818138319883
3200,0,reward_with_penalty,0.8620818138319883,0.8620818138319883,0.995929862284104,-0.13384804845211562
3277,0,vehicle_cumulative_delay,24377,22239,176749.71428571417,0.8741780144320297
3277,0,reward_with_penalty,0.8741780144320297,0.8741780144320297,0.9046505351008906,-0.03047252066886086
3315,0,vehicle_cumulative_delay,22239,21055,176749.71428571417,0.8808767522760189
3315,0,reward_with_penalty,0.8808767522760189,0.8808767522760189,0.437823499114202,0.44305325316181693
3407,0,vehicle_cumulative_delay,21055,22092,176749.71428571417,0.8750096989447548
