step,tl_id,new_state
21,0,1
71,0,2
148,0,3
216,0,0
263,0,1
322,0,2
345,0,3
461,0,0
532,0,1
627,0,2
677,0,3
769,0,0
891,0,1
941,0,2
952,0,3
1011,0,0
1127,0,1
1207,0,2
1233,0,3
1325,0,0
1393,0,1
1449,0,2
1505,0,3
1618,0,0
1698,0,1
1817,0,2
1837,0,3
1866,0,0
1913,0,1
2002,0,2
2124,0,3
2234,0,0
2356,0,1
2442,0,2
2525,0,3
2635,0,0
2724,0,1
2840,0,2
2956,0,3
2997,0,0
3086,0,1
3196,0,2
3273,0,3
3311,0,0
3403,0,1
3459,0,2
3524,0,3
3553,0,0
3654,0,1
3761,0,2
3781,0,3
3825,0,0
3878,0,1
3919,0,2
3942,0,3
3995,0,0
4045,0,1
4164,0,2
4241,0,3
4294,0,0
4392,0,1
4433,0,2
4549,0,3
4590,0,0
4637,0,1
4732,0,2
4785,0,3
4868,0,0
4912,0,1
4935,0,2
5054,0,3
5155,0,0
5247,0,1
5258,0,2
5308,0,3
5322,0,0
5402,0,1
5443,0,2
5454,0,3
5516,0,0
5623,0,1
5658,0,2
5723,0,3
5758,0,0
5778,0,1
5825,0,2
5890,0,3
5937,0,0
5951,0,1
5974,0,2
6012,0,3
6044,0,0
6151,0,1
6186,0,2
6239,0,3
6256,0,0
6321,0,1
6344,0,2
6427,0,3
6540,0,0
6566,0,1
6607,0,2
6717,0,3
6809,0,0
6874,0,1
6957,0,2
7055,0,3
7117,0,0
7164,0,1
7283,0,2
7327,0,3
7428,0,0
7487,0,1
7516,0,2
7548,0,3
7583,0,0
7666,0,1
7728,0,2
7757,0,3
7846,0,0
7896,0,1
8000,0,2
8071,0,3
8163,0,0
8267,0,1
8329,0,2
8433,0,3
8516,0,0
8545,0,1
8589,0,2
8636,0,3
8680,0,0
8802,0,1
8873,0,2
8908,0,3
8940,0,0
9044,0,1
9124,0,2
9177,0,3
9254,0,0
9352,0,1
9399,0,2
9422,0,3
9475,0,0
9519,0,1
9641,0,2
9742,0,3
9777,0,0
9854,0,1
9949,0,2
10014,0,3
10073,0,0
10111,0,1
10197,0,2
10313,0,3
10345,0,0
10401,0,1
10499,0,2
10567,0,3
10581,0,0
10661,0,1
10741,0,2
10815,0,3
10850,0,0
10879,0,1
10929,0,2
10991,0,3
11053,0,0
11094,0,1
11117,0,2
11191,0,3
11229,0,0
11267,0,1
11359,0,2
11415,0,3
11474,0,0
11512,0,1
11601,0,2
11720,0,3
11788,0,0
11835,0,1
11951,0,2
12013,0,3
12081,0,0
12170,0,1
12181,0,2
12234,0,3
12329,0,0
12349,0,1
12381,0,2
12443,0,3
12478,0,0
12531,0,1
12575,0,2
12670,0,3
12690,0,0
12731,0,1
12784,0,2
12840,0,3
12917,0,0
12952,0,1
12969,0,2
13022,0,3
13114,0,0
13203,0,1
13214,0,2
13234,0,3
13350,0,0
13400,0,1
13468,0,2
13575,0,3
13685,0,0
13714,0,1
13761,0,2
13835,0,3
13876,0,0
13941,0,1
13964,0,2
13984,0,3
14004,0,0
14105,0,1
14182,0,2
14262,0,3
14369,0,0
14383,0,1
14436,0,2
14522,0,3
14572,0,0
14637,0,1
14693,0,2
14713,0,3
14835,0,0
14885,0,1
14944,0,2
15033,0,3
15080,0,0
15100,0,1
15156,0,2
15209,0,3
15331,0,0
15357,0,1
15371,0,2
15412,0,3
15465,0,0
15569,0,1
15589,0,2
15699,0,3
15788,0,0
15826,0,1
15903,0,2
15992,0,3
16048,0,0
16134,0,1
16256,0,2
16333,0,3
16428,0,0
16490,0,1
16564,0,2
16644,0,3
16715,0,0
16771,0,1
16881,0,2
17003,0,3
17035,0,0
17049,0,1
17081,0,2
17155,0,3
17166,0,0
17210,0,1
17323,0,2
17442,0,3
17465,0,0
17560,0,1
17640,0,2
17726,0,3
17743,0,0
17829,0,1
17891,0,2
17968,0,3
17988,0,0
18059,0,1
18163,0,2
18225,0,3
18335,0,0
18349,0,1
18429,0,2
18518,0,3
18568,0,0
18597,0,1
18680,0,2
18775,0,3
18843,0,0
18908,0,1
18958,0,2
18975,0,3
19010,0,0
19117,0,1
19230,0,2
19298,0,3
19408,0,0
19503,0,1
19565,0,2
19666,0,3
19785,0,0
19826,0,1
19930,0,2
20028,0,3
20120,0,0
20149,0,1
20232,0,2
20348,0,3
20461,0,0
20487,0,1
20501,0,2
20602,0,3
20712,0,0
20804,0,1
20884,0,2
20946,0,3
20975,0,0
21094,0,1
21126,0,2
21140,0,3
21193,0,0
21303,0,1
21413,0,2
21466,0,3
21492,0,0
21545,0,1
21643,0,2
21675,0,3
21719,0,0
21769,0,1
21840,0,2
21932,0,3
21991,0,0
22038,0,1
22097,0,2
22180,0,3
22194,0,0
22229,0,1
22279,0,2
22359,0,3
22406,0,0
22501,0,1
22617,0,2
22667,0,3
22705,0,0
22764,0,1
22799,0,2
22828,0,3
22890,0,0
22952,0,1
23053,0,2
23139,0,3
23174,0,0
23263,0,1
23337,0,2
23450,0,3
23572,0,0
23625,0,1
23663,0,2
23722,0,3
23814,0,0
23876,0,1
23920,0,2
23976,0,3
24017,0,0
24061,0,1
24084,0,2
24143,0,3
24190,0,0
24228,0,1
24308,0,2
24361,0,3
24393,0,0
24491,0,1
24532,0,2
24582,0,3
24638,0,0
24682,0,1
24744,0,2
24767,0,3
24790,0,0
24876,0,1
24887,0,2
24994,0,3
25062,0,0
25094,0,1
