step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
59,0,25,1,34,33,0
103,0,63,2,40,39,0
132,0,107,3,25,24,0
149,0,136,0,13,6,0
193,0,153,1,40,36,0
273,0,197,2,76,75,0
287,0,277,3,10,1,0
376,0,291,0,85,80,0
429,0,380,1,49,45,0
482,0,433,2,49,44,0
592,0,486,3,106,97,0
627,0,596,0,31,24,0
653,0,631,1,22,13,0
751,0,657,2,94,85,0
843,0,755,3,88,81,0
953,0,847,0,106,96,0
1015,0,957,1,58,51,0
1089,0,1019,2,70,56,0
1145,0,1093,3,52,40,0
1240,0,1149,0,91,78,0
1302,0,1244,1,58,44,0
1349,0,1306,2,43,35,0
1381,0,1353,3,28,24,0
1443,0,1385,0,58,51,0
1517,0,1447,1,70,63,0
1546,0,1521,2,25,18,0
1653,0,1550,3,103,99,0
1766,0,1657,0,109,102,0
1834,0,1770,1,64,52,0
1908,0,1838,2,70,58,0
1934,0,1912,3,22,17,0
2044,0,1938,0,106,91,0
2163,0,2048,1,115,108,0
2198,0,2167,2,31,19,0
2293,0,2202,3,91,82,0
2307,0,2297,0,10,5,0
2363,0,2311,1,52,45,0
2374,0,2367,2,7,0,0
2478,0,2378,3,100,99,0
2513,0,2482,0,31,26,0
2563,0,2517,1,46,39,0
2634,0,2567,2,67,60,0
2699,0,2638,3,61,57,0
2761,0,2703,0,58,43,0
2877,0,2765,1,112,102,0
2918,0,2881,2,37,30,0
2938,0,2922,3,16,7,0
2982,0,2942,0,40,33,0
3041,0,2986,1,55,54,0
3070,0,3045,2,25,21,0
3144,0,3074,3,70,65,0
3173,0,3148,0,25,15,0
3283,0,3177,1,106,97,0
3318,0,3287,2,31,19,0
3422,0,3322,3,100,99,0
3526,0,3426,0,100,93,0
3648,0,3530,1,118,105,0
3731,0,3652,2,79,66,0
3775,0,3735,3,40,25,0
3795,0,3779,0,16,0,2
3839,0,3799,1,40,36,0
3949,0,3843,2,106,96,0
4041,0,3953,3,88,76,0
4109,0,4045,0,64,47,0
4153,0,4113,1,40,20,0
4233,0,4157,2,76,66,0
4256,0,4237,3,19,0,2
4351,0,4260,0,91,82,0
4383,0,4355,1,28,13,0
4445,0,4387,2,58,46,0
4501,0,4449,3,52,38,0
4518,0,4505,0,13,0,2
4640,0,4522,1,118,111,0
4681,0,4644,2,37,14,0
4710,0,4685,3,25,5,0
4757,0,4714,0,43,31,0
4783,0,4761,1,22,13,0
4866,0,4787,2,79,78,0
4970,0,4870,3,100,86,0
5065,0,4974,0,91,77,0
5148,0,5069,1,79,50,0
5198,0,5152,2,46,29,0
5287,0,5202,3,85,60,0
5307,0,5291,0,16,0,1
5333,0,5311,1,22,9,0
5371,0,5337,2,34,27,0
5388,0,5375,3,13,12,0
5462,0,5392,0,70,61,0
5563,0,5466,1,97,90,0
5664,0,5567,2,97,82,0
5780,0,5668,3,112,96,0
5833,0,5784,0,49,25,0
5850,0,5837,1,13,0,3
5870,0,5854,2,16,0,1
5899,0,5874,3,25,14,0
6009,0,5903,0,106,102,0
6068,0,6013,1,55,40,0
6091,0,6072,2,19,5,0
6102,0,6095,3,7,0,7
6164,0,6106,0,58,51,0
6205,0,6168,1,37,26,0
6261,0,6209,2,52,34,0
6314,0,6265,3,49,32,0
6388,0,6318,0,70,60,0
6417,0,6392,1,25,16,0
6449,0,6421,2,28,12,0
6571,0,6453,3,118,109,0
6681,0,6575,0,106,89,0
6734,0,6685,1,49,19,0
6781,0,6738,2,43,23,0
6879,0,6785,3,94,80,0
6986,0,6883,0,103,86,0
7078,0,6990,1,88,74,0
7107,0,7082,2,25,3,0
7172,0,7111,3,61,44,0
7228,0,7176,0,52,40,0
7239,0,7232,1,7,0,4
7253,0,7243,2,10,0,1
7375,0,7257,3,118,109,0
7419,0,7379,0,40,20,0
7496,0,7423,1,73,51,0
7546,0,7500,2,46,6,0
7641,0,7550,3,91,71,0
7655,0,7645,0,10,0,6
7720,0,7659,1,61,36,0
7815,0,7724,2,91,66,0
7919,0,7819,3,100,64,0
7999,0,7923,0,76,26,0
8046,0,8003,1,43,6,0
8090,0,8050,2,40,18,0
8212,0,8094,3,118,100,0
8247,0,8216,0,31,6,0
8357,0,8251,1,106,79,0
8386,0,8361,2,25,0,7
8487,0,8390,3,97,82,0
8543,0,8491,0,52,21,0
8572,0,8547,1,25,1,0
8640,0,8576,2,64,21,0
8687,0,8644,3,43,15,0
8743,0,8691,0,52,35,0
8790,0,8747,1,43,30,0
8858,0,8794,2,64,37,0
8917,0,8862,3,55,30,0
8967,0,8921,0,46,23,0
8984,0,8971,1,13,0,6
9010,0,8988,2,22,0,3
9033,0,9014,3,19,7,0
9119,0,9037,0,82,72,0
9223,0,9123,1,100,66,0
9336,0,9227,2,109,66,0
9362,0,9340,3,22,0,9
9445,0,9366,0,79,56,0
9543,0,9449,1,94,63,0
9617,0,9547,2,70,49,0
9661,0,9621,3,40,0,9
9717,0,9665,0,52,30,0
9812,0,9721,1,91,67,0
9883,0,9816,2,67,40,0
9927,0,9887,3,40,0,7
10010,0,9931,0,79,60,0
10060,0,10014,1,46,19,0
10116,0,10064,2,52,37,0
10190,0,10120,3,70,12,0
10261,0,10194,0,67,52,0
10299,0,10265,1,34,5,0
10319,0,10303,2,16,0,2
10345,0,10323,3,22,7,0
10404,0,10349,0,55,42,0
10508,0,10408,1,100,80,0
10609,0,10512,2,97,56,0
10647,0,10613,3,34,0,4
10712,0,10651,0,61,17,0
10735,0,10716,1,19,0,4
10773,0,10739,2,34,14,0
10847,0,10777,3,70,44,0
10951,0,10851,0,100,72,0
11016,0,10955,1,61,0,2
11048,0,11020,2,28,0,3
11074,0,11052,3,22,0,4
11196,0,11078,0,118,91,0
11210,0,11200,1,10,0,19
11311,0,11214,2,97,59,0
11334,0,11315,3,19,0,24
11378,0,11338,0,40,4,0
11404,0,11382,1,22,0,19
11493,0,11408,2,85,57,0
11507,0,11497,3,10,0,29
11611,0,11511,0,100,72,0
11667,0,11615,1,52,0,12
11684,0,11671,2,13,0,14
11719,0,11688,3,31,0,20
11811,0,11723,0,88,66,0
11930,0,11815,1,115,42,0
11965,0,11934,2,31,0,21
12027,0,11969,3,58,0,16
12083,0,12031,0,52,3,0
12100,0,12087,1,13,0,7
12168,0,12104,2,64,0,6
12230,0,12172,3,58,0,10
12328,0,12234,0,94,45,0
12399,0,12332,1,67,5,0
12455,0,12403,2,52,0,8
12502,0,12459,3,43,0,12
12570,0,12506,0,64,19,0
12611,0,12574,1,37,0,3
12637,0,12615,2,22,0,17
12654,0,12641,3,13,0,22
12764,0,12658,0,106,94,0
12874,0,12768,1,106,65,0
12894,0,12878,2,16,0,31
12977,0,12898,3,79,0,5
12991,0,12981,0,10,0,25
13113,0,12995,1,118,87,0
13130,0,13117,2,13,0,34
13198,0,13134,3,64,0,6
13254,0,13202,0,52,0,19
13274,0,13258,1,16,0,13
13375,0,13278,2,97,5,0
13416,0,13379,3,37,0,16
13499,0,13420,0,79,12,0
13516,0,13503,1,13,0,33
13533,0,13520,2,13,0,33
13625,0,13537,3,88,13,0
13684,0,13629,0,55,11,0
13719,0,13688,1,31,0,24
13778,0,13723,2,55,0,15
13819,0,13782,3,37,0,14
13881,0,13823,0,58,0,4
13913,0,13885,1,28,0,28
14035,0,13917,2,118,23,0
14139,0,14039,3,100,23,0
14222,0,14143,0,79,3,0
14326,0,14226,1,100,24,0
14373,0,14330,2,43,0,21
14405,0,14377,3,28,0,22
14440,0,14409,0,31,0,12
14493,0,14444,1,49,5,0
14597,0,14497,2,100,5,0
14617,0,14601,3,16,0,33
14631,0,14621,0,10,0,34
14684,0,14635,1,49,0,1
14695,0,14688,2,7,0,35
14778,0,14699,3,79,11,0
14807,0,14782,0,25,0,29
14863,0,14811,1,52,0,5
14922,0,14867,2,55,0,18
14936,0,14926,3,10,0,20
15001,0,14940,0,61,0,11
15081,0,15005,1,76,4,0
15170,0,15085,2,85,0,3
15247,0,15174,3,73,0,7
15324,0,15251,0,73,0,9
15440,0,15328,1,112,23,0
15526,0,15444,2,82,0,6
15549,0,15530,3,19,0,32
15566,0,15553,0,13,0,34
15577,0,15570,1,7,0,18
15678,0,15581,2,97,35,0
15734,0,15682,3,52,0,19
15793,0,15738,0,55,0,14
15903,0,15797,1,106,15,0
15926,0,15907,2,19,0,31
16009,0,15930,3,79,0,7
16023,0,16013,0,10,0,36
16112,0,16027,1,85,41,0
16222,0,16116,2,106,12,0
16320,0,16226,3,94,0,1
16385,0,16324,0,61,0,12
16441,0,16389,1,52,0,17
16473,0,16445,2,28,0,28
16532,0,16477,3,55,0,14
16600,0,16536,0,64,0,7
16650,0,16604,1,46,0,17
16667,0,16654,2,13,0,34
16786,0,16671,3,115,23,0
16887,0,16790,0,97,13,0
17003,0,16891,1,112,23,0
17125,0,17007,2,118,28,0
17202,0,17129,3,73,0,8
17255,0,17206,0,49,0,13
17284,0,17259,1,25,0,29
17385,0,17288,2,97,20,0
17441,0,17389,3,52,0,17
17485,0,17445,0,40,0,16
17544,0,17489,1,55,0,16
17630,0,17548,2,82,9,0
17650,0,17634,3,16,0,33
17763,0,17654,0,109,40,0
17819,0,17767,1,52,0,19
17920,0,17823,2,97,7,0
17943,0,17924,3,19,0,32
17957,0,17947,0,10,0,23
18025,0,17961,1,64,0,6
18057,0,18029,2,28,0,19
18176,0,18061,3,115,36,0
18286,0,18180,0,106,18,0
18390,0,18290,1,100,33,0
18440,0,18394,2,46,0,20
18454,0,18444,3,10,0,35
18483,0,18458,0,25,0,13
18521,0,18487,1,34,3,0
18532,0,18525,2,7,0,35
18546,0,18536,3,10,0,35
18659,0,18550,0,109,53,0
18727,0,18663,1,64,12,0
18789,0,18731,2,58,0,16
18857,0,18793,3,64,0,8
18946,0,18861,0,85,29,0
18987,0,18950,1,37,0,22
19058,0,18991,2,67,0,10
19144,0,19062,3,82,0,3
19266,0,19148,0,118,44,0
19373,0,19270,1,103,24,0
19402,0,19377,2,25,0,26
19503,0,19406,3,97,8,0
19517,0,19507,0,10,0,32
19615,0,19521,1,94,36,0
19668,0,19619,2,49,0,19
19751,0,19672,3,79,10,0
19864,0,19755,0,109,37,0
19950,0,19868,1,82,12,0
20072,0,19954,2,118,23,0
20137,0,20076,3,61,0,11
20229,0,20141,0,88,22,0
20312,0,20233,1,79,14,0
20341,0,20316,2,25,0,28
20454,0,20345,3,109,25,0
20513,0,20458,0,55,0,10
20551,0,20517,1,34,0,17
20661,0,20555,2,106,12,0
20729,0,20665,3,64,0,7
20770,0,20733,0,37,0,27
20853,0,20774,1,79,0,2
20900,0,20857,2,43,0,11
20998,0,20904,3,94,5,0
21084,0,21002,0,82,0,2
21110,0,21088,1,22,0,31
21187,0,21114,2,73,0,7
