step,veh_id,ttime
47,1_0,47
82,1_5,47
84,1_4,56
95,1_7,45
96,1_8,39
127,1_6,85
132,1_9,68
142,1_14,42
157,1_12,72
158,1_3,137
159,1_1,152
159,1_13,67
160,1_2,146
165,1_15,58
174,1_10,103
175,1_11,97
177,1_17,56
198,1_22,41
217,1_24,46
235,1_27,43
251,1_30,37
260,1_31,39
298,1_19,163
300,1_18,172
300,1_28,100
301,1_16,187
303,1_23,139
305,1_34,63
306,1_26,121
307,1_33,72
307,1_36,50
313,1_20,171
313,1_21,163
313,1_37,49
314,1_29,107
319,1_39,41
322,1_40,37
333,1_41,41
376,1_47,41
401,1_32,173
401,1_44,87
404,1_25,226
406,1_35,156
413,1_53,35
434,1_55,42
440,1_57,33
455,1_54,70
457,1_48,115
459,1_49,109
459,1_59,38
460,1_50,103
460,1_56,60
507,1_38,236
507,1_43,200
507,1_45,186
510,1_42,210
510,1_64,53
514,1_46,186
516,1_63,66
522,1_67,44
556,1_72,42
617,1_51,253
617,1_52,246
618,1_58,204
619,1_60,191
620,1_76,78
624,1_77,74
645,1_85,38
653,1_61,218
653,1_62,211
654,1_69,162
655,1_66,184
655,1_68,170
656,1_75,121
656,1_84,56
657,1_70,157
661,1_81,83
670,1_88,42
679,1_71,172
679,1_78,122
681,1_65,217
681,1_73,160
681,1_79,117
681,1_83,89
683,1_74,155
683,1_80,112
683,1_87,62
684,1_89,49
704,1_93,40
726,1_96,41
753,1_100,39
760,1_101,39
776,1_86,162
777,1_82,192
781,1_97,89
783,1_92,126
783,1_99,76
816,1_109,38
829,1_110,44
834,1_111,42
845,1_113,38
869,1_90,227
869,1_95,191
870,1_98,170
871,1_91,221
871,1_112,71
872,1_102,144
873,1_106,116
873,1_114,59
876,1_104,134
877,1_115,56
880,1_118,38
889,1_119,39
930,1_125,38
954,1_127,47
978,1_94,307
979,1_126,79
980,1_122,109
981,1_129,60
984,1_130,56
1039,1_128,125
1041,1_103,306
1043,1_105,293
1043,1_120,186
1044,1_107,280
1046,1_108,275
1046,1_139,54
1051,1_132,109
1053,1_133,103
1055,1_138,70
1061,1_143,40
1069,1_145,34
1084,1_146,42
1113,1_116,285
1115,1_121,251
1115,1_131,180
1117,1_117,282
1119,1_123,241
1120,1_142,106
1121,1_124,236
1125,1_148,68
1126,1_149,62
1135,1_153,43
1142,1_155,35
1169,1_159,34
1170,1_134,213
1170,1_135,206
1172,1_136,201
1172,1_147,122
1175,1_137,197
1179,1_156,65
1184,1_144,156
1199,1_162,42
1212,1_164,41
1265,1_151,187
1265,1_152,180
1266,1_140,266
1267,1_141,260
1267,1_163,103
1270,1_154,170
1270,1_166,85
1271,1_160,129
1272,1_171,51
1273,1_157,152
1274,1_169,67
1275,1_161,125
1275,1_170,61
1278,1_167,86
1280,1_172,52
1293,1_175,43
1327,1_180,42
1328,1_173,93
1329,1_150,258
1334,1_174,92
1341,1_182,41
1368,1_186,40
1375,1_168,175
1376,1_158,248
1377,1_165,199
1377,1_183,70
1379,1_185,58
1406,1_179,128
1407,1_176,150
1407,1_178,136
1409,1_177,145
1412,1_181,120
1439,1_195,47
1441,1_196,41
1449,1_197,42
1470,1_191,106
1470,1_192,99
1471,1_184,157
1474,1_189,124
1477,1_199,56
1477,1_200,49
1478,1_190,121
1483,1_202,41
1504,1_205,40
1508,1_206,37
1526,1_208,41
1534,1_210,34
1542,1_193,164
1544,1_188,202
1545,1_187,210
1545,1_194,160
1546,1_198,132
1547,1_204,90
1549,1_209,57
1551,1_211,44
1572,1_203,122
1572,1_207,94
1574,1_201,139
1574,1_212,60
1577,1_214,49
1593,1_218,36
1646,1_226,32
1677,1_213,156
1679,1_221,101
1683,1_224,83
1700,1_232,43
1770,1_242,42
1790,1_215,255
1793,1_219,229
1793,1_220,222
1793,1_228,165
1795,1_223,203
1797,1_222,212
1797,1_227,176
1799,1_235,121
1800,1_236,115
1801,1_230,159
1802,1_238,102
1804,1_237,112
1805,1_248,34
1838,1_252,38
1859,1_217,309
1860,1_225,253
1862,1_216,320
1862,1_240,148
1862,1_241,141
1863,1_231,213
1864,1_244,122
1865,1_233,201
1867,1_246,110
1871,1_250,86
1911,1_262,40
1923,1_264,38
1932,1_239,225
1934,1_229,299
1935,1_234,264
1936,1_243,201
1936,1_265,44
1950,1_267,43
1956,1_268,42
1960,1_245,210
1960,1_247,196
1961,1_249,183
1963,1_251,171
1963,1_253,156
1965,1_256,137
1967,1_258,125
1967,1_260,110
1968,1_254,154
1970,1_257,135
1971,1_270,43
1973,1_259,123
1975,1_263,97
1976,1_255,155
1977,1_272,35
2069,1_261,205
2071,1_266,171
2072,1_271,137
2072,1_273,122
2072,1_275,108
2076,1_282,62
2097,1_288,40
2097,1_289,33
2117,1_291,39
2137,1_294,37
2181,1_300,39
2186,1_269,265
2187,1_277,209
2191,1_278,206
2191,1_285,156
2192,1_276,221
2193,1_292,108
2194,1_283,173
2194,1_287,144
2195,1_290,124
2196,1_284,168
2197,1_298,69
2200,1_295,93
2224,1_279,232
2224,1_297,103
2225,1_281,218
2226,1_305,48
2227,1_274,270
2229,1_280,229
2229,1_286,187
2229,1_306,44
2230,1_299,95
2280,1_314,38
2287,1_315,37
2318,1_311,97
2319,1_293,227
2319,1_296,205
2321,1_317,57
2332,1_303,168
2334,1_301,184
2334,1_302,177
2335,1_304,164
2335,1_309,128
2336,1_307,144
2337,1_308,137
2337,1_316,80
2337,1_318,66
2340,1_321,48
2354,1_324,40
2358,1_325,37
2372,1_326,44
2387,1_320,102
2389,1_312,161
2389,1_313,154
2391,1_310,177
2391,1_328,49
2395,1_322,95
2396,1_323,89
2397,1_319,119
2404,1_331,40
2454,1_339,33
2493,1_343,43
2503,1_337,96
2504,1_336,104
2504,1_340,76
2506,1_327,171
2506,1_333,128
2509,1_341,74
2538,1_334,153
2538,1_346,67
2540,1_329,190
2541,1_330,184
2544,1_338,130
2544,1_347,66
2546,1_349,54
2561,1_353,40
2576,1_355,41
2589,1_332,218
2590,1_342,148
2591,1_335,199
