step,tl_id,new_state
21,0,1
65,0,2
151,0,3
171,0,0
248,0,1
319,0,2
396,0,3
413,0,0
490,0,1
582,0,2
677,0,3
730,0,0
801,0,1
899,0,2
922,0,3
1002,0,0
1088,0,1
1186,0,2
1287,0,3
1340,0,0
1381,0,1
1476,0,2
1595,0,3
1696,0,0
1803,0,1
1817,0,2
1894,0,3
1944,0,0
1979,0,1
1996,0,2
2106,0,3
2225,0,0
2284,0,1
2343,0,2
2378,0,3
2428,0,0
2469,0,1
2492,0,2
2608,0,3
2688,0,0
2729,0,1
2797,0,2
2832,0,3
2846,0,0
2920,0,1
2976,0,2
3008,0,3
3103,0,0
3150,0,1
3230,0,2
3286,0,3
3396,0,0
3425,0,1
3541,0,2
3606,0,3
3653,0,0
3682,0,1
3726,0,2
3791,0,3
3883,0,0
3915,0,1
4034,0,2
4045,0,3
4110,0,0
4217,0,1
4321,0,2
4341,0,3
4424,0,0
4492,0,1
4569,0,2
4673,0,3
4687,0,0
4803,0,1
4922,0,2
5026,0,3
5064,0,0
5129,0,1
5236,0,2
5334,0,3
5399,0,0
5449,0,1
5478,0,2
5504,0,3
5596,0,0
5706,0,1
5762,0,2
5845,0,3
5895,0,0
5960,0,1
5980,0,2
6090,0,3
6155,0,0
6238,0,1
6270,0,2
6392,0,3
6469,0,0
6525,0,1
6635,0,2
6736,0,3
6780,0,0
6863,0,1
6967,0,2
6996,0,3
7007,0,0
7039,0,1
7101,0,2
7160,0,3
7282,0,0
7293,0,1
7409,0,2
7468,0,3
7506,0,0
7601,0,1
7645,0,2
7749,0,3
7868,0,0
7906,0,1
7992,0,2
8015,0,3
8080,0,0
8139,0,1
8177,0,2
8272,0,3
8322,0,0
8423,0,1
8461,0,2
8550,0,3
8600,0,0
8677,0,1
8799,0,2
8900,0,3
9022,0,0
9066,0,1
9080,0,2
9130,0,3
9168,0,0
9194,0,1
9274,0,2
9309,0,3
9332,0,0
9367,0,1
9399,0,2
9434,0,3
9505,0,0
9558,0,1
9677,0,2
9763,0,3
9885,0,0
9986,0,1
10039,0,2
10068,0,3
10181,0,0
10261,0,1
10287,0,2
10310,0,3
10402,0,0
10467,0,1
10511,0,2
10633,0,3
10737,0,0
10748,0,1
10813,0,2
10833,0,3
10871,0,0
10930,0,1
10950,0,2
11030,0,3
11083,0,0
11190,0,1
11222,0,2
11251,0,3
11316,0,0
11435,0,1
