step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
131,0,25,1,106,105,0
244,0,135,2,109,108,0
306,0,248,3,58,49,0
416,0,310,0,106,94,0
469,0,420,1,49,40,0
546,0,473,2,73,68,0
632,0,550,3,82,72,0
715,0,636,0,79,74,0
735,0,719,1,16,6,0
845,0,739,2,106,97,0
967,0,849,3,118,109,0
1020,0,971,0,49,34,0
1118,0,1024,1,94,87,0
1240,0,1122,2,118,109,0
1269,0,1244,3,25,18,0
1280,0,1273,0,7,3,0
1372,0,1284,1,88,73,0
1479,0,1376,2,103,96,0
1598,0,1483,3,115,110,0
1684,0,1602,0,82,73,0
1743,0,1688,1,55,38,0
1832,0,1747,2,85,73,0
1861,0,1836,3,25,18,0
1941,0,1865,0,76,62,0
2051,0,1945,1,106,102,0
2068,0,2055,2,13,3,0
2118,0,2072,3,46,34,0
2177,0,2122,0,55,54,0
2227,0,2181,1,46,39,0
2259,0,2231,2,28,21,0
2312,0,2263,3,49,45,0
2422,0,2316,0,106,105,0
2463,0,2426,1,37,28,0
2567,0,2467,2,100,93,0
2602,0,2571,3,31,27,0
2670,0,2606,0,64,57,0
2681,0,2674,1,7,0,1
2713,0,2685,2,28,24,0
2745,0,2717,3,28,21,0
2852,0,2749,0,103,98,0
2887,0,2856,1,31,21,0
2940,0,2891,2,49,44,0
3026,0,2944,3,82,75,0
3121,0,3030,0,91,84,0
3240,0,3125,1,115,108,0
3353,0,3244,2,109,94,0
3451,0,3357,3,94,90,0
3471,0,3455,0,16,4,0
3491,0,3475,1,16,4,0
3601,0,3495,2,106,101,0
3666,0,3605,3,61,57,0
3776,0,3670,0,106,90,0
3892,0,3780,1,112,103,0
3975,0,3896,2,79,57,0
4082,0,3979,3,103,80,0
4141,0,4086,0,55,38,0
4200,0,4145,1,55,36,0
4226,0,4204,2,22,13,0
4336,0,4230,3,106,90,0
4428,0,4340,0,88,76,0
4460,0,4432,1,28,13,0
4576,0,4464,2,112,92,0
4674,0,4580,3,94,73,0
4715,0,4678,0,37,20,0
4816,0,4719,1,97,84,0
4911,0,4820,2,91,75,0
4946,0,4915,3,31,11,0
5029,0,4950,0,79,65,0
5100,0,5033,1,67,39,0
5192,0,5104,2,88,71,0
5233,0,5196,3,37,14,0
5337,0,5237,0,100,83,0
5354,0,5341,1,13,0,3
5449,0,5358,2,91,80,0
5529,0,5453,3,76,59,0
5648,0,5533,0,115,101,0
5749,0,5652,1,97,78,0
5772,0,5753,2,19,0,7
5843,0,5776,3,67,47,0
5854,0,5847,0,7,0,4
5964,0,5858,1,106,99,0
6038,0,5968,2,70,34,0
6079,0,6042,3,37,14,0
6201,0,6083,0,118,100,0
6230,0,6205,1,25,3,0
6337,0,6234,2,103,81,0
6444,0,6341,3,103,88,0
6563,0,6448,0,115,100,0
6685,0,6567,1,118,96,0
6702,0,6689,2,13,0,5
6818,0,6706,3,112,97,0
6847,0,6822,0,25,9,0
6861,0,6851,1,10,0,3
6875,0,6865,2,10,0,5
6922,0,6879,3,43,39,0
7032,0,6926,0,106,99,0
7088,0,7036,1,52,38,0
7171,0,7092,2,79,54,0
7200,0,7175,3,25,5,0
7295,0,7204,0,91,82,0
7381,0,7299,1,82,65,0
7482,0,7385,2,97,68,0
7586,0,7486,3,100,54,0
7654,0,7590,0,64,26,0
7710,0,7658,1,52,22,0
7754,0,7714,2,40,10,0
7825,0,7758,3,67,42,0
7947,0,7829,0,118,94,0
7994,0,7951,1,43,16,0
8050,0,7998,2,52,22,0
8157,0,8054,3,103,77,0
8174,0,8161,0,13,0,11
8266,0,8178,1,88,57,0
8340,0,8270,2,70,44,0
8429,0,8344,3,85,58,0
8518,0,8433,0,85,29,0
8529,0,8522,1,7,0,12
8543,0,8533,2,10,0,7
8554,0,8547,3,7,0,4
8598,0,8558,0,40,33,0
8621,0,8602,1,19,0,7
8740,0,8625,2,115,89,0
8826,0,8744,3,82,41,0
8948,0,8830,0,118,78,0
9055,0,8952,1,103,51,0
9177,0,9059,2,118,62,0
9278,0,9181,3,97,51,0
9382,0,9282,0,100,60,0
9408,0,9386,1,22,0,7
9482,0,9412,2,70,49,0
9589,0,9486,3,103,73,0
9711,0,9593,0,118,97,0
9734,0,9715,1,19,0,16
9799,0,9738,2,61,36,0
9855,0,9803,3,52,21,0
9905,0,9859,0,46,30,0
9991,0,9909,1,82,11,0
10035,0,9995,2,40,13,0
10133,0,10039,3,94,69,0
10159,0,10137,0,22,0,3
10212,0,10163,1,49,28,0
10241,0,10216,2,25,9,0
10291,0,10245,3,46,29,0
10362,0,10295,0,67,49,0
10385,0,10366,1,19,0,1
