step,tl_id,start_at_step,cycle_time
234,0,-1,239
464,0,238,230
709,0,468,245
945,0,713,236
1232,0,949,287
1570,0,1236,338
1851,0,1574,281
2276,0,1855,425
2566,0,2280,290
2865,0,2570,299
3203,0,2869,338
3532,0,3207,329
3870,0,3536,338
4028,0,3874,158
4300,0,4032,272
4602,0,4304,302
4955,0,4606,353
5230,0,4959,275
5496,0,5234,266
5744,0,5500,248
5926,0,5748,182
6120,0,5930,194
6440,0,6124,320
6595,0,6444,155
6891,0,6599,296
7157,0,6895,266
7438,0,7161,281
7743,0,7442,305
8000,0,7747,257
8359,0,8004,359
8676,0,8363,317
8939,0,8680,263
9085,0,8943,146
9270,0,9089,185
9635,0,9274,365
9862,0,9639,227
10218,0,9866,356
10502,0,10222,284
10774,0,10506,272
11073,0,10778,299
11348,0,11077,275
11563,0,11352,215
11874,0,11567,311
12149,0,11878,275
12499,0,12153,350
12804,0,12503,305
13121,0,12808,317
13375,0,13125,254
13623,0,13379,248
13859,0,13627,236
14197,0,13863,338
14508,0,14201,311
14768,0,14512,260
15067,0,14772,299
15327,0,15071,260
15596,0,15331,269
15928,0,15600,332
16176,0,15932,248
16514,0,16180,338
16720,0,16518,206
16950,0,16724,230
17270,0,16954,320
17551,0,17274,281
17898,0,17555,347
18185,0,17902,287
18406,0,18189,221
18699,0,18410,293
19010,0,18703,311
19372,0,19014,362
19779,0,19376,407
20069,0,19783,290
20377,0,20073,308
20553,0,20381,176
20798,0,20557,245
21157,0,20802,359
21483,0,21161,326
21827,0,21487,344
22105,0,21831,278
22395,0,22109,290
22688,0,22399,293
22933,0,22692,245
23112,0,22937,179
23378,0,23116,266
23722,0,23382,344
23877,0,23726,155
24068,0,23881,191
24325,0,24072,257
24555,0,24329,230
24797,0,24559,242
25027,0,24801,230
25353,0,25031,326
25442,0,25357,89
25657,0,25446,215
26049,0,25661,392
26363,0,26053,314
26620,0,26367,257
26754,0,26624,134
26954,0,26758,200
27238,0,26958,284
27501,0,27242,263
27776,0,27505,275
28123,0,27780,347
28419,0,28127,296
28688,0,28423,269
29023,0,28692,335
29268,0,29027,245
29393,0,29272,125
29791,0,29397,398
29946,0,29795,155
30212,0,29950,266
30598,0,30216,386
30933,0,30602,335
31121,0,30937,188
31444,0,31125,323
31701,0,31448,257
31997,0,31705,296
32194,0,32001,197
32460,0,32198,266
