step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
74,0,25,1,49,48,0
193,0,78,2,115,114,0
204,0,197,3,7,0,0
278,0,208,0,70,61,0
385,0,282,1,103,93,0
504,0,389,2,115,108,0
578,0,508,3,70,50,0
682,0,582,0,100,91,0
717,0,686,1,31,19,0
749,0,721,2,28,16,0
826,0,753,3,73,66,0
879,0,830,0,49,44,0
980,0,883,1,97,96,0
1099,0,984,2,115,103,0
1125,0,1103,3,22,8,0
1145,0,1129,0,16,1,0
1225,0,1149,1,76,66,0
1344,0,1229,2,115,114,0
1451,0,1348,3,103,99,0
1462,0,1455,0,7,0,2
1566,0,1466,1,100,82,0
1625,0,1570,2,55,41,0
1738,0,1629,3,109,104,0
1830,0,1742,0,88,76,0
1907,0,1834,1,73,61,0
2020,0,1911,2,109,93,0
2094,0,2024,3,70,63,0
2111,0,2098,0,13,3,0
2215,0,2115,1,100,90,0
2247,0,2219,2,28,21,0
2258,0,2251,3,7,3,0
2269,0,2262,0,7,6,0
2388,0,2273,1,115,114,0
2408,0,2392,2,16,11,0
2425,0,2412,3,13,8,0
2457,0,2429,0,28,23,0
2510,0,2461,1,49,44,0
2539,0,2514,2,25,20,0
2556,0,2543,3,13,12,0
2645,0,2560,0,85,81,0
2731,0,2649,1,82,76,0
2790,0,2735,2,55,51,0
2855,0,2794,3,61,51,0
2884,0,2859,0,25,15,0
3000,0,2888,1,112,108,0
3011,0,3004,2,7,0,1
3082,0,3015,3,67,58,0
3183,0,3086,0,97,84,0
3257,0,3187,1,70,63,0
3349,0,3261,2,88,77,0
3378,0,3353,3,25,21,0
3410,0,3382,0,28,24,0
3439,0,3414,1,25,18,0
3537,0,3443,2,94,90,0
3566,0,3541,3,25,18,0
3676,0,3570,0,106,94,0
3732,0,3680,1,52,42,0
3848,0,3736,2,112,100,0
3871,0,3852,3,19,0,4
3951,0,3875,0,76,57,0
3974,0,3955,1,19,4,0
4048,0,3978,2,70,59,0
4098,0,4052,3,46,26,0
4187,0,4102,0,85,80,0
4216,0,4191,1,25,8,0
4263,0,4220,2,43,38,0
4292,0,4267,3,25,11,0
4321,0,4296,0,25,18,0
4356,0,4325,1,31,25,0
4403,0,4360,2,43,34,0
4420,0,4407,3,13,3,0
4509,0,4424,0,85,73,0
4538,0,4513,1,25,18,0
4591,0,4542,2,49,35,0
4710,0,4595,3,115,98,0
4772,0,4714,0,58,43,0
4807,0,4776,1,31,17,0
4911,0,4811,2,100,85,0
4973,0,4915,3,58,44,0
5047,0,4977,0,70,54,0
5130,0,5051,1,79,48,0
5213,0,5134,2,79,60,0
5230,0,5217,3,13,0,5
5256,0,5234,0,22,5,0
5276,0,5260,1,16,7,0
5302,0,5280,2,22,17,0
5340,0,5306,3,34,16,0
5366,0,5344,0,22,15,0
5410,0,5370,1,40,36,0
5520,0,5414,2,106,93,0
5600,0,5524,3,76,64,0
5698,0,5604,0,94,75,0
5820,0,5702,1,118,103,0
5909,0,5824,2,85,60,0
5947,0,5913,3,34,10,0
5964,0,5951,0,13,0,1
6005,0,5968,1,37,30,0
6109,0,6009,2,100,91,0
6153,0,6113,3,40,23,0
6245,0,6157,0,88,73,0
6319,0,6249,1,70,53,0
6360,0,6323,2,37,14,0
6425,0,6364,3,61,49,0
6493,0,6429,0,64,53,0
6525,0,6497,1,28,19,0
6647,0,6529,2,118,104,0
6658,0,6651,3,7,0,2
6702,0,6662,0,40,30,0
6725,0,6706,1,19,0,0
6796,0,6729,2,67,60,0
6888,0,6800,3,88,76,0
6950,0,6892,0,58,42,0
7057,0,6954,1,103,86,0
7074,0,7061,2,13,0,3
