step,tl_id,reward_type,previous,current,max,reward
25,0,vehicle_cumulative_delay,0,64,176749.71428571417,0.999637906062487
25,0,reward_with_penalty,0.999637906062487,0.999637906062487,0.22270013882530884,0.7769377672371782
25,0,throughput_queueratio,0.0,0.9937649640861931,3,0.33125498802873105
51,0,vehicle_cumulative_delay,64,800,176749.71428571417,0.9954738257810883
51,0,reward_with_penalty,0.9954738257810883,0.9954738257810883,0.22270013882530884,0.7727736869557795
51,0,throughput_queueratio,0.16666666666666666,0.9812948922585794,3,0.43820940853063756
71,0,vehicle_cumulative_delay,800,2032,176749.71428571417,0.9885035174839644
71,0,reward_with_penalty,0.9885035174839644,0.9885035174839644,0.14804719803168948,0.840456319452275
71,0,throughput_queueratio,0.175,0.9750598563447725,3,0.4416866187815908
136,0,vehicle_cumulative_delay,2032,9178,176749.71428571417,0.9480734662735361
136,0,reward_with_penalty,0.9480734662735361,0.9480734662735361,0.8807970779778823,0.06727638829565374
136,0,throughput_queueratio,0.125,0.9688248204309656,3,0.40627494014365517
228,0,vehicle_cumulative_delay,9178,16999,176749.71428571417,0.9038244555659011
228,0,reward_with_penalty,0.9038244555659011,0.9038244555659011,0.9770226300899744,-0.07319817452407329
228,0,throughput_queueratio,0.5,0.9501197126895451,3,0.6500399042298484
326,0,vehicle_cumulative_delay,16999,30554,176749.71428571417,0.8271340911442168
326,0,reward_with_penalty,0.8271340911442168,0.8271340911442168,0.9859363729567544,-0.15880228181253764
326,0,throughput_queueratio,0.7250000000000001,0.9314146049481244,3,0.7938048683160416
439,0,vehicle_cumulative_delay,30554,45748,176749.71428571417,0.7411707272915371
439,0,reward_with_penalty,0.7411707272915371,0.7411707272915371,0.995929862284104,-0.25475913499256686
439,0,throughput_queueratio,0.7749999999999998,0.9251795690343176,3,0.8250598563447724
552,0,vehicle_cumulative_delay,45748,33552,176749.71428571417,0.8101722532588453
552,0,reward_with_penalty,0.8101722532588453,0.8101722532588453,0.9906840406549333,-0.18051178739608797
552,0,throughput_queueratio,0.8999999999999998,0.9376496408619314,3,0.9125498802873103
578,0,vehicle_cumulative_delay,33552,19083,176749.71428571417,0.8920337717256361
578,0,reward_with_penalty,0.8920337717256361,0.8920337717256361,0.15886910488091513,0.733164666844721
578,0,throughput_queueratio,0.8999999999999998,0.9563547486033519,3,0.9187849162011172
664,0,vehicle_cumulative_delay,19083,15566,176749.71428571417,0.9119319651355265
664,0,reward_with_penalty,0.9119319651355265,0.9119319651355265,0.9525741268224334,-0.04064216168690682
664,0,throughput_queueratio,0.175,0.9625897845171588,3,0.4375299281723863
729,0,vehicle_cumulative_delay,15566,8184,176749.71428571417,0.9536972377405338
729,0,reward_with_penalty,0.9536972377405338,0.9536972377405338,0.791391472673955,0.1623057650665788
729,0,throughput_queueratio,0.675,0.9625897845171588,3,0.7708632615057196
836,0,vehicle_cumulative_delay,8184,19932,176749.71428571417,0.8872303693358162
836,0,reward_with_penalty,0.8872303693358162,0.8872303693358162,0.9933071490757153,-0.10607677973989904
836,0,throughput_queueratio,0.5,0.9376496408619314,3,0.6458832136206438
931,0,vehicle_cumulative_delay,19932,22338,176749.71428571417,0.8736179003724394
931,0,reward_with_penalty,0.8736179003724394,0.8736179003724394,0.9788208895449324,-0.10520298917249304
931,0,throughput_queueratio,0.8500000000000002,0.9376496408619314,3,0.8792165469539772
966,0,vehicle_cumulative_delay,22338,25657,176749.71428571417,0.8548399350817297
966,0,reward_with_penalty,0.8548399350817297,0.8548399350817297,0.3775406687981454,0.4772992662835843
966,0,throughput_queueratio,0.75,0.9314146049481244,3,0.8104715349827082
1013,0,vehicle_cumulative_delay,25657,13737,176749.71428571417,0.9222799309435132
1013,0,reward_with_penalty,0.9222799309435132,0.9222799309435132,0.35816595491126907,0.5641139760322442
1013,0,throughput_queueratio,0.25,0.9501197126895451,3,0.4833732375631817
1024,0,vehicle_cumulative_delay,13737,5856,176749.71428571417,0.9668684047175667
1024,0,reward_with_penalty,0.9668684047175667,0.9668684047175667,0.04742587317756678,0.91944253154
1024,0,throughput_queueratio,0.35,0.9563547486033519,3,0.5521182495344507
1113,0,vehicle_cumulative_delay,5856,12266,176749.71428571417,0.9306024337885371
1113,0,reward_with_penalty,0.9306024337885371,0.9306024337885371,0.9655548043337887,-0.034952370545251576
1113,0,throughput_queueratio,0.05,0.9563547486033519,3,0.35211824953445064
1139,0,vehicle_cumulative_delay,12266,12626,176749.71428571417,0.9285656553900269
1139,0,reward_with_penalty,0.9285656553900269,0.9285656553900269,0.1824255238063564,0.7461401315836704
1139,0,throughput_queueratio,0.7,0.9625897845171588,3,0.7875299281723862
1255,0,vehicle_cumulative_delay,12626,30472,176749.71428571417,0.8275980240016552
1255,0,reward_with_penalty,0.8275980240016552,0.8275980240016552,0.9975273768433653,-0.16992935284171018
1255,0,throughput_queueratio,0.175,0.9314146049481244,3,0.42713820164937477
1299,0,vehicle_cumulative_delay,30472,21511,176749.71428571417,0.8782968329712393
1299,0,reward_with_penalty,0.8782968329712393,0.8782968329712393,0.3775406687981454,0.5007561641730939
1299,0,throughput_queueratio,0.925,0.9314146049481244,3,0.9271382016493748
1394,0,vehicle_cumulative_delay,21511,37353,176749.71428571417,0.7886672680012413
1394,0,reward_with_penalty,0.7886672680012413,0.7886672680012413,0.9820137900379085,-0.19334652203666713
1394,0,throughput_queueratio,0.32499999999999996,0.9251795690343176,3,0.5250598563447725
1426,0,vehicle_cumulative_delay,37353,12901,176749.71428571417,0.927009783002276
1426,0,reward_with_penalty,0.927009783002276,0.927009783002276,0.11072731797236826,0.8162824650299078
1426,0,throughput_queueratio,0.75,0.9625897845171588,3,0.8208632615057195
1470,0,vehicle_cumulative_delay,12901,6869,176749.71428571417,0.9611371366128698
1470,0,reward_with_penalty,0.9611371366128698,0.9611371366128698,0.437823499114202,0.5233136374986678
1470,0,throughput_queueratio,0.22499999999999995,0.9688248204309656,3,0.4729416068103218
1487,0,vehicle_cumulative_delay,6869,4137,176749.71428571417,0.9765940215704532
1487,0,reward_with_penalty,0.9765940215704532,0.9765940215704532,0.09534946489910949,0.8812445566713437
1487,0,throughput_queueratio,0.32499999999999996,0.9688248204309656,3,0.5396082734769885
1498,0,vehicle_cumulative_delay,4137,2758,176749.71428571417,0.9843960143803021
1498,0,reward_with_penalty,0.9843960143803021,0.9843960143803021,0.07585818002124355,0.9085378343590585
1498,0,throughput_queueratio,0.1,0.9750598563447725,3,0.39168661878159083
1593,0,vehicle_cumulative_delay,2758,8266,176749.71428571417,0.9532333048830953
1593,0,reward_with_penalty,0.9532333048830953,0.9532333048830953,0.9820137900379085,-0.02878048515481313
1593,0,throughput_queueratio,0.05,0.9625897845171588,3,0.3541965948390529
1625,0,vehicle_cumulative_delay,8266,6810,176749.71428571417,0.9614709419615146
1625,0,reward_with_penalty,0.9614709419615146,0.9614709419615146,0.22270013882530884,0.7387708031362058
1625,0,throughput_queueratio,0.75,0.9563547486033519,3,0.8187849162011173
1672,0,vehicle_cumulative_delay,6810,8663,176749.71428571417,0.9509871909269605
1672,0,reward_with_penalty,0.9509871909269605,0.9509871909269605,0.5621765008857982,0.3888106900411623
1672,0,throughput_queueratio,0.22499999999999995,0.9501197126895451,3,0.466706570896515
1689,0,vehicle_cumulative_delay,8663,6568,176749.71428571417,0.9628401096627354
1689,0,reward_with_penalty,0.9628401096627354,0.9628401096627354,0.07585818002124355,0.8869819296414918
1689,0,throughput_queueratio,0.35,0.9625897845171588,3,0.5541965948390529
1763,0,vehicle_cumulative_delay,6568,6736,176749.71428571417,0.9618896130767639
1763,0,reward_with_penalty,0.9618896130767639,0.9618896130767639,0.8807970779778823,0.08109253509888159
1763,0,throughput_queueratio,0.1,0.9688248204309656,3,0.38960827347698856
1819,0,vehicle_cumulative_delay,6736,6352,176749.71428571417,0.9640621767018415
1819,0,reward_with_penalty,0.9640621767018415,0.9640621767018415,0.7143624294910559,0.24969974721078558
1819,0,throughput_queueratio,0.575,0.9688248204309656,3,0.7062749401436551
