step,tl_id,start_at_step,cycle_time
177,0,-1,182
440,0,181,263
667,0,444,227
939,0,671,272
1208,0,943,269
1411,0,1212,203
1650,0,1415,239
1910,0,1654,260
2086,0,1914,176
2403,0,2090,317
2681,0,2407,278
2878,0,2685,197
3093,0,2882,215
3284,0,3097,191
3565,0,3288,281
3729,0,3569,164
4016,0,3733,287
4258,0,4020,242
4632,0,4262,374
4895,0,4636,263
5224,0,4899,329
5475,0,5228,251
5699,0,5479,224
5920,0,5703,221
6138,0,5924,218
6374,0,6142,236
6571,0,6378,197
6846,0,6575,275
7076,0,6850,230
7261,0,7080,185
7494,0,7265,233
7640,0,7498,146
7960,0,7644,320
8265,0,7964,305
8552,0,8269,287
8851,0,8556,299
9162,0,8855,311
9551,0,9166,389
9787,0,9555,236
9927,0,9791,140
10226,0,9931,299
10456,0,10230,230
10788,0,10460,332
11030,0,10792,242
11323,0,11034,293
11652,0,11327,329
11891,0,11656,239
12112,0,11895,221
12363,0,12116,251
12617,0,12367,254
12877,0,12621,260
13098,0,12881,221
13394,0,13102,296
13579,0,13398,185
13896,0,13583,317
14024,0,13900,128
14260,0,14028,236
14445,0,14264,185
14651,0,14449,206
14989,0,14655,338
15246,0,14993,257
15485,0,15250,239
15709,0,15489,224
15966,0,15713,257
16223,0,15970,257
16465,0,16227,242
16743,0,16469,278
16907,0,16747,164
17029,0,16911,122
17106,0,17033,77
17168,0,17110,62
17356,0,17172,188
17667,0,17360,311
18023,0,17671,356
18265,0,18027,242
18621,0,18269,356
18911,0,18625,290
19165,0,18915,254
19539,0,19169,374
19856,0,19543,317
20155,0,19860,299
20406,0,20159,251
20723,0,20410,317
21016,0,20727,293
21420,0,21020,404
21746,0,21424,326
21913,0,21750,167
22122,0,21917,209
22250,0,22126,128
22549,0,22254,299
22854,0,22553,305
23093,0,22858,239
23452,0,23097,359
23652,0,23456,200
23789,0,23656,137
24061,0,23793,272
24270,0,24065,209
24539,0,24274,269
24781,0,24543,242
25098,0,24785,317
25271,0,25102,173
25495,0,25275,224
25596,0,25499,101
25895,0,25600,299
26131,0,25899,236
26283,0,26135,152
26573,0,26287,290
26827,0,26577,254
27177,0,26831,350
27488,0,27181,311
27688,0,27492,200
27825,0,27692,137
28016,0,27829,191
28210,0,28020,194
28488,0,28214,278
28814,0,28492,326
28960,0,28818,146
29181,0,28964,221
29447,0,29185,266
29632,0,29451,185
29877,0,29636,245
30113,0,29881,236
30316,0,30117,203
30543,0,30320,227
30689,0,30547,146
30823,0,30693,134
31047,0,30827,224
31262,0,31051,215
31393,0,31266,131
31656,0,31397,263
31808,0,31660,152
32017,0,31812,209
32298,0,32021,281
32525,0,32302,227
