step,tl_id,new_state
21,0,1
41,0,2
88,0,3
204,0,0
257,0,1
352,0,2
465,0,3
488,0,0
559,0,1
633,0,2
713,0,3
745,0,0
855,0,1
899,0,2
961,0,3
1083,0,0
1205,0,1
1216,0,2
1302,0,3
1364,0,0
1459,0,1
1488,0,2
1538,0,3
1648,0,0
1680,0,1
1733,0,2
1855,0,3
1881,0,0
1970,0,1
2011,0,2
2037,0,3
2129,0,0
2167,0,1
2280,0,2
2324,0,3
2422,0,0
2439,0,1
2525,0,2
2572,0,3
2613,0,0
2729,0,1
2833,0,2
2928,0,3
2975,0,0
3001,0,1
3087,0,2
3116,0,3
3217,0,0
3318,0,1
3440,0,2
3559,0,3
3678,0,0
3782,0,1
3826,0,2
3861,0,3
3908,0,0
4021,0,1
4032,0,2
4148,0,3
4225,0,0
4263,0,1
4295,0,2
4357,0,3
4389,0,0
4460,0,1
4471,0,2
4533,0,3
4583,0,0
4609,0,1
4656,0,2
4751,0,3
4843,0,0
4866,0,1
4919,0,2
4933,0,3
4989,0,0
5003,0,1
5095,0,2
5130,0,3
5246,0,0
5281,0,1
5364,0,2
5441,0,3
5506,0,0
5574,0,1
5618,0,2
5653,0,3
5709,0,0
5804,0,1
5815,0,2
5901,0,3
5981,0,0
6019,0,1
6072,0,2
6095,0,3
6208,0,0
6240,0,1
6278,0,2
6295,0,3
6312,0,0
6392,0,1
6481,0,2
6501,0,3
6563,0,0
6655,0,1
6666,0,2
6701,0,3
6769,0,0
6792,0,1
6824,0,2
6940,0,3
7026,0,0
7127,0,1
7219,0,2
7251,0,3
7325,0,0
7354,0,1
7410,0,2
7493,0,3
7558,0,0
7608,0,1
7679,0,2
7801,0,3
7911,0,0
8018,0,1
8032,0,2
8112,0,3
8177,0,0
8287,0,1
8367,0,2
8423,0,3
8479,0,0
8505,0,1
8615,0,2
8626,0,3
8748,0,0
8819,0,1
8839,0,2
8907,0,3
9011,0,0
9082,0,1
9195,0,2
9221,0,3
9325,0,0
9429,0,1
9518,0,2
9538,0,3
9609,0,0
9698,0,1
9808,0,2
9930,0,3
9998,0,0
10063,0,1
10074,0,2
10187,0,3
10276,0,0
10323,0,1
10361,0,2
10381,0,3
10416,0,0
10436,0,1
10534,0,2
10557,0,3
10610,0,0
10639,0,1
10665,0,2
10760,0,3
10771,0,0
10821,0,1
10886,0,2
11008,0,3
11124,0,0
11153,0,1
11245,0,2
11259,0,3
11315,0,0
11332,0,1
11409,0,2
11432,0,3
11500,0,0
11520,0,1
11567,0,2
11611,0,3
11712,0,0
11753,0,1
11767,0,2
11889,0,3
11945,0,0
11968,0,1
12033,0,2
12047,0,3
12112,0,0
12123,0,1
12140,0,2
12208,0,3
12270,0,0
12392,0,1
12445,0,2
12498,0,3
12578,0,0
12676,0,1
12777,0,2
12881,0,3
12979,0,0
13101,0,1
13118,0,2
13237,0,3
13332,0,0
13388,0,1
13441,0,2
13470,0,3
13535,0,0
13588,0,1
13668,0,2
13721,0,3
13798,0,0
13860,0,1
13922,0,2
14026,0,3
14085,0,0
14204,0,1
14239,0,2
14280,0,3
14378,0,0
14401,0,1
14448,0,2
14477,0,3
14581,0,0
14607,0,1
14681,0,2
14722,0,3
14775,0,0
14837,0,1
14851,0,2
14919,0,3
14957,0,0
15070,0,1
15162,0,2
15233,0,3
15292,0,0
15360,0,1
15380,0,2
15451,0,3
15480,0,0
15584,0,1
15604,0,2
15666,0,3
15698,0,0
15793,0,1
15837,0,2
15881,0,3
15904,0,0
16011,0,1
16025,0,2
16075,0,3
16122,0,0
16172,0,1
16273,0,2
16341,0,3
16358,0,0
16474,0,1
16539,0,2
16646,0,3
16735,0,0
16839,0,1
16952,0,2
17023,0,3
17109,0,0
17156,0,1
17191,0,2
17211,0,3
17258,0,0
17365,0,1
17412,0,2
17504,0,3
17626,0,0
17733,0,1
17783,0,2
17881,0,3
17973,0,0
17990,0,1
18007,0,2
18102,0,3
18113,0,0
18169,0,1
18237,0,2
18347,0,3
18427,0,0
18510,0,1
18536,0,2
18574,0,3
18627,0,0
18698,0,1
18730,0,2
18783,0,3
18902,0,0
18985,0,1
19020,0,2
19103,0,3
19144,0,0
19245,0,1
19289,0,2
19396,0,3
19419,0,0
19499,0,1
19528,0,2
19560,0,3
19589,0,0
19690,0,1
19782,0,2
19904,0,3
19930,0,0
19968,0,1
20075,0,2
20140,0,3
20244,0,0
20255,0,1
20368,0,2
20412,0,3
20501,0,0
20623,0,1
20694,0,2
20798,0,3
20908,0,0
20937,0,1
20960,0,2
20989,0,3
21042,0,0
21095,0,1
21142,0,2
21162,0,3
21218,0,0
21244,0,1
21288,0,2
21395,0,3
21466,0,0
21561,0,1
21680,0,2
21691,0,3
21798,0,0
21866,0,1
21898,0,2
21942,0,3
21998,0,0
22114,0,1
22164,0,2
22232,0,3
22324,0,0
22422,0,1
22508,0,2
22525,0,3
22623,0,0
22721,0,1
22801,0,2
22908,0,3
23012,0,0
23092,0,1
23133,0,2
23162,0,3
23212,0,0
23247,0,1
23351,0,2
23389,0,3
23424,0,0
23456,0,1
23491,0,2
23514,0,3
23624,0,0
23635,0,1
23703,0,2
23819,0,3
23908,0,0
23946,0,1
23984,0,2
24100,0,3
24201,0,0
24275,0,1
24298,0,2
24318,0,3
24329,0,0
24409,0,1
24462,0,2
24482,0,3
24499,0,0
