step,tl_id,start_at_step,cycle_time
288,0,-1,293
650,0,292,362
919,0,654,269
1233,0,923,314
1433,0,1237,200
1633,0,1437,200
1836,0,1637,203
2129,0,1840,293
2398,0,2133,269
2646,0,2402,248
2840,0,2650,194
3154,0,2844,314
3426,0,3158,272
3692,0,3430,266
3883,0,3696,191
4188,0,3887,305
4433,0,4192,245
4711,0,4437,278
5013,0,4715,302
5204,0,5017,191
5512,0,5208,308
5625,0,5516,113
5972,0,5629,347
6247,0,5976,275
6456,0,6251,209
6731,0,6460,275
7051,0,6735,320
7248,0,7055,197
7577,0,7252,329
7729,0,7581,152
8019,0,7733,290
8318,0,8023,299
8743,0,8322,425
9015,0,8747,272
9218,0,9019,203
9478,0,9222,260
9672,0,9482,194
9863,0,9676,191
10150,0,9867,287
10407,0,10154,257
10781,0,10411,374
10990,0,10785,209
11256,0,10994,266
11600,0,11260,344
11932,0,11604,332
12342,0,11936,410
12524,0,12346,182
12874,0,12528,350
13188,0,12878,314
13412,0,13192,224
13702,0,13416,290
13968,0,13706,266
14186,0,13972,218
14422,0,14190,236
14736,0,14426,314
15002,0,14740,266
15241,0,15006,239
15645,0,15245,404
15914,0,15649,269
16300,0,15918,386
16662,0,16304,362
16967,0,16666,305
17233,0,16971,266
17448,0,17237,215
17699,0,17452,251
17917,0,17703,218
18291,0,17921,374
18503,0,18295,212
18712,0,18507,209
18939,0,18716,227
19133,0,18943,194
19444,0,19137,311
19668,0,19448,224
19880,0,19672,212
20224,0,19884,344
20433,0,20228,209
20660,0,20437,227
20917,0,20664,257
21150,0,20921,233
21362,0,21154,212
21766,0,21366,404
22065,0,21770,299
22319,0,22069,254
22495,0,22323,176
22710,0,22499,215
22958,0,22714,248
23155,0,22962,197
23448,0,23159,293
23708,0,23452,260
24085,0,23712,377
24381,0,24089,296
24602,0,24385,221
24820,0,24606,218
24978,0,24824,158
25136,0,24982,158
25456,0,25140,320
25725,0,25460,269
26018,0,25729,293
26308,0,26022,290
26478,0,26312,170
26744,0,26482,266
27046,0,26748,302
27378,0,27050,332
27719,0,27382,341
28036,0,27723,317
28410,0,28040,374
28697,0,28414,287
29023,0,28701,326
29403,0,29027,380
29708,0,29407,305
29974,0,29712,266
30207,0,29978,233
30503,0,30211,296
30757,0,30507,254
30909,0,30761,152
31184,0,30913,275
31456,0,31188,272
31680,0,31460,224
31850,0,31684,170
32038,0,31854,188
32298,0,32042,260
32603,0,32302,305
