step,tl_id,previous_state,current_state,action,reward
25,0,0_0_2_0_2,1_1_0_0_1,25,0.9885335867626606
42,0,1_1_0_0_1,1_1_1_0_2,4,0.9835267680024482
152,0,1_1_1_0_2,2_1_0_1_3,35,0.955220062481767
181,0,2_1_0_1_3,2_2_0_1_0,8,0.9571326240342249
192,0,2_2_0_1_0,1_1_0_1_1,2,0.9698087898130965
293,0,1_1_0_1_1,1_0_1_2_2,32,0.956717743159138
415,0,1_0_1_2_2,2_1_1_2_3,39,0.9365046804981288
507,0,2_1_1_2_3,2_2_1_0_0,29,0.9470293781473227
551,0,2_2_1_0_0,1_2_1_1_1,13,0.9518309530798635
661,0,1_2_1_1_1,1_0_2_1_2,35,0.9552113885536504
687,0,1_0_2_1_2,1_1_1_1_3,7,0.9676415196948307
734,0,1_1_1_1_3,1_1_1_0_0,14,0.9638187754722598
823,0,1_1_1_0_0,1_1_2_1_1,28,0.9593147986715682
846,0,1_1_2_1_1,1_0_2_1_2,6,0.9516574188264181
872,0,1_0_2_1_2,1_0_1_1_3,7,0.9684713718019996
940,0,1_0_1_1_3,2_1_1_1_0,21,0.9653541862298245
990,0,2_1_1_1_0,1_1_2_1_1,15,0.9658347823974387
1007,0,1_1_2_1_1,1_1_2_1_2,4,0.96824707794032
1057,0,1_1_2_1_2,2_1_1_1_3,15,0.9714162360018834
1095,0,2_1_1_1_3,1_1_1_1_0,11,0.9703784107162057
1130,0,1_1_1_1_0,1_2_1_1_1,10,0.9683821842331154
1150,0,1_2_1_1_1,1_1_1_1_2,5,0.9771914135175863
1194,0,1_1_1_1_2,1_1_0_1_3,13,0.9653775672738382
1280,0,1_1_0_1_3,1_2_1_0_0,27,0.9477304789831703
1384,0,1_2_1_0_0,0_3_1_1_1,33,0.9337080492380357
1497,0,0_3_1_1_1,1_1_2_1_2,36,0.9523847129105899
1607,0,1_1_2_1_2,2_1_0_1_3,35,0.9462819589393342
1729,0,2_1_0_1_3,2_2_1_0_0,39,0.9321890444770901
1806,0,2_2_1_0_0,1_3_2_1_1,24,0.9307772622107957
1859,0,1_3_2_1_1,2_0_2_1_2,16,0.9457248647407268
1954,0,2_0_2_1_2,2_1_0_1_3,30,0.9465512101530847
2025,0,2_1_0_1_3,2_1_1_1_0,22,0.9466082206771086
