step,tl_id,start_at_step,cycle_time
135,0,-1,140
488,0,139,353
736,0,492,248
930,0,740,194
1181,0,934,251
1459,0,1185,278
1743,0,1463,284
2021,0,1747,278
2269,0,2025,248
2640,0,2273,371
2816,0,2644,176
3058,0,2820,242
3276,0,3062,218
3584,0,3280,308
3685,0,3588,101
3915,0,3689,230
4226,0,3919,311
4522,0,4230,296
4824,0,4526,302
5129,0,4828,305
5434,0,5133,305
5667,0,5438,233
5918,0,5671,251
6220,0,5922,302
6420,0,6224,200
6728,0,6424,308
7012,0,6732,284
7317,0,7016,305
7733,0,7321,416
7888,0,7737,155
8127,0,7892,239
8324,0,8131,197
8515,0,8328,191
8751,0,8519,236
9005,0,8755,254
9214,0,9009,209
9513,0,9218,299
9800,0,9517,287
9976,0,9804,176
10302,0,9980,326
10562,0,10306,260
10993,0,10566,431
11289,0,10997,296
11564,0,11293,275
11905,0,11568,341
12117,0,11909,212
12464,0,12121,347
12718,0,12468,254
12993,0,12722,275
13136,0,12997,143
13462,0,13140,326
13701,0,13466,239
13922,0,13705,221
14137,0,13926,215
14379,0,14141,242
14657,0,14383,278
14959,0,14661,302
15210,0,14963,251
15527,0,15214,317
15835,0,15531,308
15981,0,15839,146
16223,0,15985,242
16507,0,16227,284
16848,0,16511,341
17180,0,16852,332
17443,0,17184,263
17718,0,17447,275
17990,0,17722,272
18358,0,17994,368
18654,0,18362,296
18827,0,18658,173
19003,0,18831,176
19179,0,19007,176
19532,0,19183,353
19771,0,19536,239
20046,0,19775,275
20309,0,20050,263
20614,0,20313,305
20757,0,20618,143
20999,0,20761,242
21256,0,21003,257
21606,0,21260,350
21788,0,21610,182
22069,0,21792,281
22275,0,22073,206
22628,0,22279,353
22819,0,22632,191
23019,0,22823,200
23282,0,23023,263
23509,0,23286,227
23727,0,23513,218
24026,0,23731,299
24316,0,24030,290
24678,0,24320,362
24845,0,24682,167
25219,0,24849,374
25389,0,25223,170
25661,0,25393,272
25978,0,25665,317
26181,0,25982,203
26444,0,26185,263
26800,0,26448,356
27048,0,26804,248
27233,0,27052,185
27499,0,27237,266
27744,0,27503,245
28004,0,27748,260
28366,0,28008,362
28626,0,28370,260
28922,0,28630,296
29305,0,28926,383
29532,0,29309,227
29720,0,29536,188
30022,0,29724,302
30327,0,30026,305
30647,0,30331,320
30880,0,30651,233
31185,0,30884,305
31517,0,31189,332
31717,0,31521,200
31944,0,31721,227
32309,0,31948,365
32584,0,32313,275
