step,tl_id,new_state
21,0,1
35,0,2
115,0,3
204,0,0
260,0,1
373,0,2
438,0,3
530,0,0
637,0,1
708,0,2
785,0,3
862,0,0
942,0,1
1019,0,2
1033,0,3
1134,0,0
1184,0,1
1225,0,2
1263,0,3
1346,0,0
1402,0,1
1488,0,2
1601,0,3
1633,0,0
1665,0,1
1787,0,2
1804,0,3
1908,0,0
1994,0,1
2065,0,2
2154,0,3
2261,0,0
2332,0,1
2409,0,2
2459,0,3
2572,0,0
2622,0,1
2666,0,2
2776,0,3
2847,0,0
2921,0,1
2995,0,2
3102,0,3
3215,0,0
3244,0,1
3321,0,2
3338,0,3
3358,0,0
3471,0,1
3530,0,2
3598,0,3
3651,0,0
3752,0,1
3868,0,2
3918,0,3
3938,0,0
4042,0,1
4095,0,2
4205,0,3
4309,0,0
4350,0,1
4445,0,2
4468,0,3
4560,0,0
4646,0,1
4663,0,2
4755,0,3
4787,0,0
4828,0,1
4947,0,2
5048,0,3
5170,0,0
5208,0,1
5318,0,2
5431,0,3
5520,0,0
5549,0,1
5602,0,2
5661,0,3
5693,0,0
5761,0,1
5814,0,2
5858,0,3
5890,0,0
5976,0,1
6044,0,2
6163,0,3
6228,0,0
6290,0,1
6331,0,2
6357,0,3
6389,0,0
6421,0,1
6432,0,2
6497,0,3
6547,0,0
6663,0,1
6686,0,2
6787,0,3
6822,0,0
6881,0,1
6904,0,2
6966,0,3
7055,0,0
7075,0,1
7197,0,2
7244,0,3
7327,0,0
7365,0,1
7442,0,2
7522,0,3
7557,0,0
7655,0,1
7774,0,2
7887,0,3
7979,0,0
8029,0,1
8058,0,2
8090,0,3
8101,0,0
8220,0,1
8240,0,2
8251,0,3
8355,0,0
8453,0,1
8566,0,2
8586,0,3
8705,0,0
8731,0,1
8784,0,2
8882,0,3
8950,0,0
9063,0,1
9137,0,2
9250,0,3
9342,0,0
9434,0,1
9523,0,2
9633,0,3
9644,0,0
9763,0,1
9798,0,2
9914,0,3
10003,0,0
10014,0,1
10079,0,2
10174,0,3
10206,0,0
10280,0,1
10381,0,2
10455,0,3
10502,0,0
10555,0,1
10674,0,2
10754,0,3
10831,0,0
10908,0,1
10922,0,2
10939,0,3
11016,0,0
11111,0,1
11230,0,2
11253,0,3
11339,0,0
11362,0,1
11439,0,2
11456,0,3
11494,0,0
11580,0,1
11675,0,2
11689,0,3
11727,0,0
11828,0,1
11893,0,2
11961,0,3
11996,0,0
12043,0,1
12066,0,2
12182,0,3
12295,0,0
12312,0,1
12362,0,2
12463,0,3
12477,0,0
12575,0,1
12646,0,2
12693,0,3
12761,0,0
12796,0,1
12915,0,2
12989,0,3
13099,0,0
13134,0,1
13217,0,2
13240,0,3
13278,0,0
13304,0,1
13315,0,2
13398,0,3
13451,0,0
13471,0,1
13563,0,2
13652,0,3
13699,0,0
13821,0,1
13928,0,2
13957,0,3
13980,0,0
14048,0,1
14101,0,2
14178,0,3
14228,0,0
14320,0,1
14433,0,2
14459,0,3
14470,0,0
14586,0,1
14627,0,2
14713,0,3
14826,0,0
14867,0,1
14947,0,2
15021,0,3
15125,0,0
15217,0,1
15252,0,2
15368,0,3
15382,0,0
15405,0,1
15509,0,2
15622,0,3
15717,0,0
15836,0,1
15877,0,2
15966,0,3
16067,0,0
16162,0,1
16245,0,2
16256,0,3
16294,0,0
16368,0,1
16382,0,2
16429,0,3
16488,0,0
16580,0,1
16633,0,2
16674,0,3
16709,0,0
16750,0,1
16815,0,2
16838,0,3
16873,0,0
16980,0,1
17009,0,2
17098,0,3
17154,0,0
17180,0,1
17191,0,2
17241,0,3
17255,0,0
17311,0,1
17364,0,2
17483,0,3
17584,0,0
17643,0,1
17765,0,2
17833,0,3
17922,0,0
17936,0,1
18001,0,2
18096,0,3
18110,0,0
18169,0,1
18219,0,2
18281,0,3
18307,0,0
18408,0,1
18458,0,2
18577,0,3
18624,0,0
18701,0,1
18754,0,2
18774,0,3
18791,0,0
18829,0,1
18858,0,2
18905,0,3
18988,0,0
19092,0,1
19205,0,2
19228,0,3
19254,0,0
19298,0,1
19408,0,2
19512,0,3
19553,0,0
19570,0,1
19647,0,2
19730,0,3
19822,0,0
19884,0,1
19955,0,2
20005,0,3
20073,0,0
20096,0,1
20182,0,2
20220,0,3
20312,0,0
20383,0,1
20499,0,2
20570,0,3
20605,0,0
20706,0,1
20750,0,2
20782,0,3
20895,0,0
20912,0,1
21019,0,2
21126,0,3
21209,0,0
21322,0,1
21405,0,2
21446,0,3
21514,0,0
21549,0,1
21671,0,2
21772,0,3
21813,0,0
21893,0,1
21940,0,2
21981,0,3
22076,0,0
22126,0,1
22221,0,2
22319,0,3
22363,0,0
22446,0,1
22532,0,2
22627,0,3
22740,0,0
22814,0,1
22936,0,2
22971,0,3
23069,0,0
23176,0,1
23250,0,2
23261,0,3
23335,0,0
23418,0,1
23492,0,2
23509,0,3
23565,0,0
23669,0,1
23788,0,2
23817,0,3
23870,0,0
23908,0,1
23931,0,2
24005,0,3
24016,0,0
24063,0,1
24113,0,2
24211,0,3
24288,0,0
24404,0,1
24508,0,2
24582,0,3
24668,0,0
24706,0,1
24765,0,2
24836,0,3
