step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
47.00,1_0,0.00,47.00,617.75,2.00,1,15.83
82.00,1_5,-0.71,47.00,596.93,0.00,0,8.14
106.00,1_10,-0.43,35.00,615.10,0.00,0,5.55
115.00,1_11,-0.57,37.00,615.10,0.00,0,5.50
126.00,1_4,-0.57,98.00,596.93,55.00,1,67.39
128.00,1_8,-0.14,71.00,615.10,25.00,1,36.92
130.00,1_7,0.00,80.00,617.75,32.00,1,42.43
179.00,1_6,-0.86,137.00,596.93,92.00,1,106.19
181.00,1_14,0.00,81.00,617.75,34.00,1,48.10
182.00,1_9,-0.29,118.00,615.10,69.00,1,80.97
182.00,1_18,-0.57,54.00,615.10,5.00,2,19.86
184.00,1_16,-0.29,70.00,615.10,20.00,1,33.90
186.00,1_19,-0.71,51.00,615.10,4.00,1,23.08
208.00,1_23,-0.29,44.00,596.93,0.00,0,8.53
228.00,1_26,-0.71,43.00,596.93,0.00,0,8.94
238.00,1_28,0.00,38.00,617.75,0.00,0,7.89
265.00,1_3,-0.43,244.00,617.75,201.00,1,213.69
265.00,1_12,-0.71,180.00,615.10,135.00,1,149.52
267.00,1_1,-0.14,260.00,615.10,214.00,1,225.78
268.00,1_2,-0.29,254.00,596.93,209.00,1,221.84
268.00,1_13,-0.86,176.00,617.75,130.00,1,146.50
268.00,1_21,0.00,118.00,615.10,69.00,1,86.02
270.00,1_29,-0.14,63.00,615.10,14.00,1,28.84
273.00,1_15,-0.14,166.00,617.75,116.00,1,130.05
275.00,1_20,-0.86,133.00,617.75,83.00,1,100.17
297.00,1_37,-0.29,33.00,615.10,0.00,0,6.12
318.00,1_39,-0.57,40.00,615.10,0.00,0,4.76
322.00,1_40,-0.71,37.00,615.10,0.00,0,5.60
334.00,1_41,-0.86,42.00,596.93,0.00,0,8.34
376.00,1_44,-0.29,62.00,615.10,16.00,1,30.88
377.00,1_17,-0.43,256.00,596.93,210.00,1,221.94
379.00,1_22,-0.14,222.00,596.93,176.00,1,189.26
380.00,1_24,-0.43,209.00,617.75,157.00,1,169.04
381.00,1_32,-0.57,153.00,596.93,106.00,1,120.56
382.00,1_25,-0.57,204.00,617.75,153.00,1,166.09
383.00,1_35,0.00,133.00,617.75,85.00,1,100.82
413.00,1_53,-0.57,35.00,615.10,0.00,0,5.49
434.00,1_55,-0.86,42.00,617.75,0.00,0,7.97
441.00,1_57,-0.14,34.00,615.10,0.00,0,5.46
474.00,1_61,-0.71,39.00,617.75,0.00,0,8.91
482.00,1_62,-0.86,40.00,596.93,0.00,0,8.93
498.00,1_27,-0.86,306.00,596.93,259.00,1,272.18
498.00,1_31,-0.43,277.00,617.75,233.00,1,247.68
499.00,1_30,-0.29,285.00,596.93,242.00,1,257.61
500.00,1_48,-0.86,158.00,615.10,108.00,1,121.84
502.00,1_54,-0.71,117.00,615.10,68.00,2,84.87
503.00,1_59,-0.43,82.00,615.10,31.00,1,49.34
504.00,1_49,0.00,154.00,617.75,103.00,1,114.53
505.00,1_56,0.00,105.00,617.75,56.00,1,68.26
506.00,1_50,-0.14,149.00,596.93,96.00,1,111.46
506.00,1_65,-0.29,42.00,615.10,0.00,0,5.67
545.00,1_71,-0.14,38.00,615.10,0.00,0,5.10
561.00,1_73,-0.43,40.00,596.93,0.00,0,10.16
570.00,1_33,-0.71,335.00,596.93,301.00,1,308.62
570.00,1_74,-0.57,42.00,596.93,0.00,0,8.33
581.00,1_64,-0.14,124.00,615.10,72.00,1,90.15
582.00,1_34,-0.86,340.00,617.75,293.00,1,306.54
582.00,1_43,-0.14,275.00,596.93,231.00,1,244.18
582.00,1_45,-0.43,261.00,615.10,214.00,1,231.00
585.00,1_36,-0.14,328.00,617.75,280.00,1,294.16
586.00,1_72,-0.29,72.00,596.93,25.00,1,38.09
587.00,1_38,-0.43,316.00,617.75,267.00,1,285.49
589.00,1_42,0.00,289.00,617.75,243.00,1,258.63
592.00,1_46,-0.57,264.00,617.75,213.00,1,230.28
594.00,1_63,0.00,144.00,617.75,94.00,1,110.22
598.00,1_67,-0.57,120.00,617.75,65.00,1,84.08
625.00,1_82,-0.71,40.00,617.75,0.00,0,7.38
645.00,1_51,-0.29,281.00,617.75,237.00,1,252.13
646.00,1_58,-0.29,232.00,615.10,187.00,1,200.38
647.00,1_76,-0.86,105.00,615.10,61.00,1,74.25
648.00,1_47,-0.71,313.00,615.10,265.00,1,277.06
648.00,1_52,-0.43,277.00,596.93,232.00,1,245.12
649.00,1_60,-0.57,221.00,596.93,175.00,1,191.53
649.00,1_85,-0.14,42.00,615.10,0.00,0,8.96
652.00,1_77,0.00,102.00,617.75,54.00,1,68.22
675.00,1_68,-0.71,190.00,615.10,146.00,1,158.85
675.00,1_69,-0.86,183.00,615.10,139.00,1,151.16
677.00,1_66,-0.43,206.00,615.10,159.00,1,170.40
677.00,1_70,0.00,177.00,615.10,132.00,1,145.44
677.00,1_75,-0.71,142.00,615.10,94.00,1,109.02
678.00,1_84,0.00,78.00,615.10,24.00,2,50.20
681.00,1_81,-0.57,103.00,617.75,54.00,1,69.18
684.00,1_88,-0.57,56.00,617.75,7.00,1,22.82
703.00,1_87,-0.43,82.00,615.10,38.00,1,51.39
705.00,1_78,-0.14,148.00,617.75,103.00,1,114.89
705.00,1_83,-0.86,113.00,615.10,66.00,1,79.43
705.00,1_89,-0.71,70.00,615.10,24.00,1,38.77
707.00,1_79,-0.29,143.00,617.75,97.00,1,112.55
709.00,1_80,-0.43,138.00,617.75,91.00,1,106.33
710.00,1_93,-0.29,46.00,615.10,0.00,0,11.56
726.00,1_96,-0.71,41.00,617.75,0.00,0,7.76
733.00,1_86,-0.29,119.00,615.10,73.00,1,86.46
