step,tl_id,start_at_step,stage,stage_time,time_beyond_queue_clearance,residual_queue
21,0,-1,0,22,21,0
41,0,25,1,16,15,0
64,0,45,2,19,18,0
174,0,68,3,106,105,0
185,0,178,0,7,0,1
250,0,189,1,61,54,0
303,0,254,2,49,42,0
323,0,307,3,16,6,0
376,0,327,0,49,45,0
408,0,380,1,28,27,0
428,0,412,2,16,12,0
475,0,432,3,43,42,0
540,0,479,0,61,57,0
581,0,544,1,37,30,0
649,0,585,2,64,57,0
681,0,653,3,28,24,0
746,0,685,0,61,57,0
868,0,750,1,118,113,0
927,0,872,2,55,41,0
1022,0,931,3,91,79,0
1039,0,1026,0,13,0,4
1104,0,1043,1,61,52,0
1220,0,1108,2,112,103,0
1291,0,1224,3,67,60,0
1305,0,1295,0,10,0,4
1328,0,1309,1,19,7,0
1411,0,1332,2,79,74,0
1479,0,1415,3,64,60,0
1526,0,1483,0,43,28,0
1579,0,1530,1,49,34,0
1647,0,1583,2,64,55,0
1757,0,1651,3,106,102,0
1843,0,1761,0,82,72,0
1854,0,1847,1,7,0,2
1886,0,1858,2,28,16,0
1900,0,1890,3,10,9,0
1980,0,1904,0,76,66,0
2036,0,1984,1,52,45,0
2047,0,2040,2,7,0,0
2142,0,2051,3,91,82,0
2192,0,2146,0,46,45,0
2266,0,2196,1,70,63,0
2334,0,2270,2,64,54,0
2444,0,2338,3,106,99,0
2473,0,2448,0,25,20,0
2553,0,2477,1,76,65,0
2645,0,2557,2,88,81,0
2668,0,2649,3,19,12,0
2730,0,2672,0,58,49,0
2840,0,2734,1,106,99,0
2860,0,2844,2,16,9,0
2952,0,2864,3,88,79,0
2984,0,2956,0,28,20,0
3034,0,2988,1,46,42,0
3129,0,3038,2,91,84,0
3152,0,3133,3,19,15,0
3166,0,3156,0,10,1,0
3216,0,3170,1,46,36,0
3329,0,3220,2,109,102,0
3352,0,3333,3,19,18,0
3438,0,3356,0,82,73,0
3536,0,3442,1,94,82,0
3559,0,3540,2,19,12,0
3573,0,3563,3,10,0,0
3623,0,3577,0,46,34,0
3733,0,3627,1,106,105,0
3747,0,3737,2,10,0,1
3830,0,3751,3,79,64,0
3874,0,3834,0,40,18,0
3897,0,3878,1,19,11,0
3953,0,3901,2,52,37,0
4042,0,3957,3,85,76,0
4140,0,4046,0,94,87,0
4262,0,4144,1,118,98,0
4363,0,4266,2,97,80,0
4407,0,4367,3,40,18,0
4484,0,4411,0,73,58,0
4495,0,4488,1,7,0,2
4539,0,4499,2,40,25,0
4577,0,4543,3,34,20,0
4675,0,4581,0,94,84,0
4692,0,4679,1,13,0,1
4787,0,4696,2,91,76,0
4861,0,4791,3,70,45,0
4983,0,4865,0,118,101,0
5030,0,4987,1,43,12,0
5092,0,5034,2,58,45,0
5133,0,5096,3,37,21,0
5171,0,5137,0,34,25,0
5251,0,5175,1,76,66,0
5361,0,5255,2,106,99,0
5381,0,5365,3,16,2,0
5494,0,5385,0,109,94,0
5610,0,5498,1,112,98,0
5636,0,5614,2,22,2,0
5695,0,5640,3,55,35,0
5751,0,5699,0,52,36,0
5810,0,5755,1,55,40,0
5833,0,5814,2,19,0,2
5922,0,5837,3,85,68,0
6035,0,5926,0,109,97,0
6049,0,6039,1,10,0,5
6123,0,6053,2,70,53,0
6227,0,6127,3,100,83,0
6340,0,6231,0,109,93,0
6426,0,6344,1,82,53,0
6515,0,6430,2,85,59,0
6574,0,6519,3,55,35,0
6696,0,6578,0,118,100,0
6737,0,6700,1,37,7,0
6802,0,6741,2,61,46,0
6885,0,6806,3,79,64,0
6989,0,6889,0,100,83,0
7018,0,6993,1,25,10,0
7044,0,7022,2,22,10,0
7103,0,7048,3,55,40,0
7120,0,7107,0,13,9,0
7215,0,7124,1,91,79,0
7232,0,7219,2,13,2,0
7309,0,7236,3,73,62,0
7374,0,7313,0,61,37,0
7451,0,7378,1,73,59,0
7543,0,7455,2,88,53,0
7584,0,7547,3,37,6,0
7691,0,7588,0,103,82,0
7708,0,7695,1,13,0,10
7824,0,7712,2,112,83,0
7838,0,7828,3,10,0,12
7921,0,7842,0,79,57,0
7944,0,7925,1,19,0,15
8006,0,7948,2,58,38,0
8020,0,8010,3,10,0,14
8040,0,8024,0,16,0,1
8096,0,8044,1,52,0,0
8176,0,8100,2,76,69,0
8247,0,8180,3,67,17,0
8357,0,8251,0,106,69,0
8443,0,8361,1,82,47,0
8562,0,8447,2,115,76,0
8591,0,8566,3,25,0,6
8650,0,8595,0,55,25,0
8673,0,8654,1,19,0,0
8732,0,8677,2,55,33,0
8818,0,8736,3,82,39,0
8895,0,8822,0,73,49,0
8984,0,8899,1,85,56,0
9037,0,8988,2,49,11,0
9066,0,9041,3,25,0,2
9143,0,9070,0,73,54,0
9253,0,9147,1,106,87,0
9309,0,9257,2,52,30,0
9380,0,9313,3,67,26,0
9466,0,9384,0,82,60,0
9576,0,9470,1,106,73,0
9614,0,9580,2,34,11,0
9628,0,9618,3,10,0,9
9738,0,9632,0,106,89,0
9779,0,9742,1,37,16,0
9832,0,9783,2,49,32,0
9942,0,9836,3,106,55,0
10016,0,9946,0,70,44,0
10114,0,10020,1,94,66,0
10152,0,10118,2,34,9,0
10193,0,10156,3,37,2,0
10267,0,10197,0,70,55,0
10314,0,10271,1,43,21,0
10367,0,10318,2,49,26,0
10441,0,10371,3,70,48,0
10470,0,10445,0,25,0,2
10577,0,10474,1,103,86,0
10600,0,10581,2,19,0,7
10674,0,10604,3,70,47,0
10691,0,10678,0,13,0,12
10792,0,10695,1,97,79,0
10899,0,10796,2,103,62,0
11018,0,10903,3,115,91,0
11083,0,11022,0,61,0,9
11103,0,11087,1,16,0,20
11195,0,11107,2,88,55,0
11311,0,11199,3,112,73,0
11361,0,11315,0,46,0,11
11384,0,11365,1,19,0,31
11437,0,11388,2,49,3,0
11493,0,11441,3,52,40,0
11609,0,11497,0,112,50,0
11665,0,11613,1,52,0,12
11763,0,11669,2,94,37,0
11792,0,11767,3,25,0,9
11884,0,11796,0,88,60,0
